Municipio,Ano,Area
Abadia_dos_Dourados,2012,52
Abadia_dos_Dourados,2013,29
Abadia_dos_Dourados,2014,31
Abadia_dos_Dourados,2015,63
Abadia_dos_Dourados,2016,67
Abadia_dos_Dourados,2017,36
Abadia_dos_Dourados,2018,120
Abadia_dos_Dourados,2019,70
Abadia_dos_Dourados,2020,190
Abadia_dos_Dourados,2021,165
Abadia_dos_Dourados,2022,182
Abadia_dos_Dourados,2023,165
Abadia_dos_Dourados,2024,224
Abre_Campo,2012,5280
Abre_Campo,2013,5280
Abre_Campo,2014,5400
Abre_Campo,2015,5250
Abre_Campo,2016,5250
Abre_Campo,2017,3270
Abre_Campo,2018,3500
Abre_Campo,2019,3500
Abre_Campo,2020,3700
Abre_Campo,2021,4000
Abre_Campo,2022,4100
Abre_Campo,2023,4100
Abre_Campo,2024,4100
Acucena,2012,50
Acucena,2013,50
Acucena,2014,50
Acucena,2015,80
Acucena,2016,100
Acucena,2017,13
Acucena,2018,7
Acucena,2019,7
Acucena,2020,12
Acucena,2021,10
Acucena,2022,8
Acucena,2023,3
Acucena,2024,3
Agua_Boa,2012,2400
Agua_Boa,2013,2400
Agua_Boa,2014,2400
Agua_Boa,2015,2300
Agua_Boa,2016,2300
Agua_Boa,2017,1570
Agua_Boa,2018,1700
Agua_Boa,2019,2100
Agua_Boa,2020,2200
Agua_Boa,2021,2100
Agua_Boa,2022,2200
Agua_Boa,2023,2200
Agua_Boa,2024,2310
Aguanil,2012,1328
Aguanil,2013,1368
Aguanil,2014,1368
Aguanil,2015,1368
Aguanil,2016,1301
Aguanil,2017,975
Aguanil,2018,900
Aguanil,2019,1000
Aguanil,2020,1070
Aguanil,2021,1360
Aguanil,2022,1375
Aguanil,2023,1474
Aguanil,2024,1917
Aguas_Vermelhas,2012,185
Aguas_Vermelhas,2013,385
Aguas_Vermelhas,2014,400
Aguas_Vermelhas,2015,350
Aguas_Vermelhas,2016,460
Aguas_Vermelhas,2017,462
Aguas_Vermelhas,2018,700
Aguas_Vermelhas,2019,500
Aguas_Vermelhas,2020,560
Aguas_Vermelhas,2021,700
Aguas_Vermelhas,2022,780
Aguas_Vermelhas,2023,803
Aguas_Vermelhas,2024,798
Aimores,2012,412
Aimores,2013,1081
Aimores,2014,960
Aimores,2015,760
Aimores,2016,765
Aimores,2017,783
Aimores,2018,350
Aimores,2019,359
Aimores,2020,380
Aimores,2021,268
Aimores,2022,430
Aimores,2023,580
Aimores,2024,680
Aiuruoca,2012,32
Aiuruoca,2013,32
Aiuruoca,2014,32
Aiuruoca,2015,32
Aiuruoca,2016,32
Aiuruoca,2017,10
Aiuruoca,2018,13
Aiuruoca,2019,13
Aiuruoca,2020,10
Aiuruoca,2021,10
Aiuruoca,2022,10
Aiuruoca,2023,10
Aiuruoca,2024,10
Albertina,2012,1500
Albertina,2013,1505
Albertina,2014,1800
Albertina,2015,1800
Albertina,2016,1500
Albertina,2017,1400
Albertina,2018,1400
Albertina,2019,1450
Albertina,2020,1500
Albertina,2021,1500
Albertina,2022,1500
Albertina,2023,1500
Albertina,2024,1500
Alfenas,2012,10900
Alfenas,2013,10205
Alfenas,2014,10400
Alfenas,2015,9700
Alfenas,2016,10775
Alfenas,2017,8670
Alfenas,2018,11674
Alfenas,2019,11500
Alfenas,2020,9200
Alfenas,2021,8266
Alfenas,2022,9920
Alfenas,2023,13065
Alfenas,2024,12785
Almenara,2012,480
Almenara,2013,480
Almenara,2014,480
Almenara,2015,440
Almenara,2016,440
Almenara,2017,440
Almenara,2018,150
Almenara,2019,70
Almenara,2020,50
Almenara,2021,50
Almenara,2022,50
Almenara,2023,50
Almenara,2024,50
Alpinopolis,2012,3410
Alpinopolis,2013,3410
Alpinopolis,2014,4264
Alpinopolis,2015,4350
Alpinopolis,2016,4600
Alpinopolis,2017,3750
Alpinopolis,2018,4344
Alpinopolis,2019,5098
Alpinopolis,2020,5188
Alpinopolis,2021,5252
Alpinopolis,2022,5660
Alpinopolis,2023,5600
Alpinopolis,2024,6600
Alterosa,2012,3530
Alterosa,2013,3490
Alterosa,2014,3595
Alterosa,2015,3665
Alterosa,2016,3910
Alterosa,2017,3815
Alterosa,2018,3655
Alterosa,2019,3953
Alterosa,2020,4255
Alterosa,2021,3900
Alterosa,2022,3820
Alterosa,2023,4040
Alterosa,2024,5335
Alto_Caparao,2012,3900
Alto_Caparao,2013,3900
Alto_Caparao,2014,3200
Alto_Caparao,2015,3100
Alto_Caparao,2016,3200
Alto_Caparao,2017,2840
Alto_Caparao,2018,2900
Alto_Caparao,2019,2900
Alto_Caparao,2020,3200
Alto_Caparao,2021,2250
Alto_Caparao,2022,2500
Alto_Caparao,2023,2500
Alto_Caparao,2024,2550
Alvarenga,2012,840
Alvarenga,2013,915
Alvarenga,2014,902
Alvarenga,2015,917
Alvarenga,2016,1060
Alvarenga,2017,820
Alvarenga,2018,821
Alvarenga,2019,821
Alvarenga,2020,950
Alvarenga,2021,820
Alvarenga,2022,680
Alvarenga,2023,8
Alvarenga,2024,8
Amparo_do_Serra,2012,230
Amparo_do_Serra,2013,230
Amparo_do_Serra,2014,205
Amparo_do_Serra,2015,255
Amparo_do_Serra,2016,225
Amparo_do_Serra,2017,152
Amparo_do_Serra,2018,180
Amparo_do_Serra,2019,230
Amparo_do_Serra,2020,255
Amparo_do_Serra,2021,360
Amparo_do_Serra,2022,360
Amparo_do_Serra,2023,360
Amparo_do_Serra,2024,360
Andradas,2012,7770
Andradas,2013,7640
Andradas,2014,7600
Andradas,2015,6640
Andradas,2016,7085
Andradas,2017,7410
Andradas,2018,9040
Andradas,2019,7100
Andradas,2020,7000
Andradas,2021,3800
Andradas,2022,5600
Andradas,2023,5400
Andradas,2024,6900
Andrelandia,2012,253
Andrelandia,2013,253
Andrelandia,2014,300
Andrelandia,2015,370
Andrelandia,2016,240
Andrelandia,2017,300
Andrelandia,2018,310
Andrelandia,2019,310
Andrelandia,2020,320
Andrelandia,2021,320
Andrelandia,2022,320
Andrelandia,2023,275
Andrelandia,2024,310
Angelandia,2012,4160
Angelandia,2013,4460
Angelandia,2014,4160
Angelandia,2015,4100
Angelandia,2016,4200
Angelandia,2017,2990
Angelandia,2018,3000
Angelandia,2019,4100
Angelandia,2020,3432
Angelandia,2021,3335
Angelandia,2022,3435
Angelandia,2023,3920
Angelandia,2024,3720
Antonio_Dias,2012,80
Antonio_Dias,2013,80
Antonio_Dias,2014,80
Antonio_Dias,2015,60
Antonio_Dias,2016,50
Antonio_Dias,2017,1
Antonio_Dias,2018,5
Antonio_Dias,2019,5
Antonio_Dias,2020,6
Antonio_Dias,2021,44
Antonio_Dias,2022,44
Antonio_Dias,2023,44
Antonio_Dias,2024,44
Antonio_Prado_de_Minas,2012,105
Antonio_Prado_de_Minas,2013,110
