Ano,Safra Real (IBGE),Feature por cluster,Significancia por feature,Ajuste base,modelo simetrico,modelo simetrico simulado,MPAE Ponderado,seed por cluster,modelo simetrico 2026,Estimativa CONAB,Diferença % (Feature por cluster),Diferença % (Significancia por feature),Diferença % (Ajuste base),Diferença % (modelo simetrico),Diferença % (modelo simetrico simulado),Diferença % (MPAE Ponderado),Diferença % (seed por cluster),Diferença % (modelo simetrico 2026),Diferença % (Estimativa CONAB)
2017,23919000.00,,21973388.98,,,,,,,,,-8.13,,,,,,,
2018,31296200.00,,26846217.12,,,,,,,,,-14.22,,,,,,,
2019,24574516.67,,26650465.99,,,,,,,,,8.45,,,,,,,
2020,33996366.67,35426852.85,30375024.22,30707189.67,28777071.56,28596076.12,28776616.76,26773352.56,28596076.12,31074550.00,4.21,-10.65,-9.68,-15.35,-15.88,-15.35,-21.25,-15.88,-8.59
2021,22345000.00,27933555.42,26701213.85,26171775.40,25222597.70,27205463.78,28605957.94,29382040.01,27205463.78,20661300.00,25.01,19.50,17.13,12.88,21.75,28.02,31.49,21.75,-7.54
2022,22818800.00,33752861.73,31636312.48,28506598.98,24883306.86,25410956.02,25671373.81,25869416.29,25410956.02,26687400.00,47.92,38.64,24.93,9.05,11.36,12.50,13.37,11.36,16.95
2023,28483900.00,27825387.20,23490659.49,23606269.63,26007173.45,25687665.71,23468987.89,22648205.60,25687665.71,27101900.00,-2.31,-17.53,-17.12,-8.70,-9.82,-17.61,-20.49,-9.82,-4.85
2024,27650983.33,24864461.17,26271875.31,25713587.14,26008182.80,25728033.87,26610690.67,26529579.74,25728033.87,29836400.00,-10.08,-4.99,-7.01,-5.94,-6.95,-3.76,-4.06,-6.95,7.90
2025,0.00,22058228.38,26487858.04,25942721.45,25573074.84,25827343.62,26462741.98,26028336.55,25827343.62,24703900.00,inf,inf,inf,inf,inf,inf,inf,inf,inf
2026,0.00,,,,,,,,26844780.06,31821800.00,,,,,,,,inf,inf
