treino_id,unique_id,ds,y,y_pred,diferença_%,flag,dataset,modelo,comentario,data_treino
V43_cluster_0_2020,Aguanil,2019-12-31T00:00:00,1.8000000000000005,2.0379934,13.22,validacao,V44,LSTM,"./Treinos/27_01_2026_ajuste_base/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Sim.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração na arquitetura do modelo ou no dataset.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster/resultados_otimizacao_geral.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: V44
   - transformação logarítmica: True
   - ponderar erro por área: False


Hyperparams:
input_size: 6, h: 1, lr: 3.109424051239887e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-27T12:04:13
V43_cluster_0_2020,Alfenas,2019-12-31T00:00:00,1.7572173913043478,2.3284397,32.51,validacao,V44,LSTM,"./Treinos/27_01_2026_ajuste_base/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Sim.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração na arquitetura do modelo ou no dataset.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster/resultados_otimizacao_geral.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: V44
   - transformação logarítmica: True
   - ponderar erro por área: False


Hyperparams:
input_size: 6, h: 1, lr: 3.109424051239887e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-27T12:04:13
V43_cluster_0_2020,Alto_Caparao,2019-12-31T00:00:00,1.32,1.6249437,23.1,validacao,V44,LSTM,"./Treinos/27_01_2026_ajuste_base/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Sim.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração na arquitetura do modelo ou no dataset.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster/resultados_otimizacao_geral.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: V44
   - transformação logarítmica: True
   - ponderar erro por área: False


Hyperparams:
input_size: 6, h: 1, lr: 3.109424051239887e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-27T12:04:13
V43_cluster_0_2020,Alto_Jequitiba,2019-12-31T00:00:00,1.5,1.5519329,3.46,validacao,V44,LSTM,"./Treinos/27_01_2026_ajuste_base/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Sim.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração na arquitetura do modelo ou no dataset.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster/resultados_otimizacao_geral.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: V44
   - transformação logarítmica: True
   - ponderar erro por área: False


Hyperparams:
input_size: 6, h: 1, lr: 3.109424051239887e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-27T12:04:13
V43_cluster_0_2020,Amparo_do_Serra,2019-12-31T00:00:00,1.260869565217391,1.3837364,9.74,validacao,V44,LSTM,"./Treinos/27_01_2026_ajuste_base/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Sim.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração na arquitetura do modelo ou no dataset.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster/resultados_otimizacao_geral.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: V44
   - transformação logarítmica: True
   - ponderar erro por área: False


Hyperparams:
input_size: 6, h: 1, lr: 3.109424051239887e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-27T12:04:13
V43_cluster_0_2020,Araponga,2019-12-31T00:00:00,0.9,1.4668307,62.98,validacao,V44,LSTM,"./Treinos/27_01_2026_ajuste_base/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Sim.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração na arquitetura do modelo ou no dataset.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster/resultados_otimizacao_geral.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: V44
   - transformação logarítmica: True
   - ponderar erro por área: False


Hyperparams:
input_size: 6, h: 1, lr: 3.109424051239887e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-27T12:04:13
V43_cluster_0_2020,Astolfo_Dutra,2019-12-31T00:00:00,1.2,1.7629857,46.92,validacao,V44,LSTM,"./Treinos/27_01_2026_ajuste_base/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Sim.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração na arquitetura do modelo ou no dataset.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster/resultados_otimizacao_geral.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: V44
   - transformação logarítmica: True
   - ponderar erro por área: False


Hyperparams:
input_size: 6, h: 1, lr: 3.109424051239887e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-27T12:04:13
V43_cluster_0_2020,Bambui,2019-12-31T00:00:00,1.26,1.7965559,42.58,validacao,V44,LSTM,"./Treinos/27_01_2026_ajuste_base/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Sim.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração na arquitetura do modelo ou no dataset.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster/resultados_otimizacao_geral.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: V44
   - transformação logarítmica: True
   - ponderar erro por área: False


Hyperparams:
input_size: 6, h: 1, lr: 3.109424051239887e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-27T12:04:13
V43_cluster_0_2020,Boa_Esperanca,2019-12-31T00:00:00,1.92,2.235549,16.43,validacao,V44,LSTM,"./Treinos/27_01_2026_ajuste_base/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Sim.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração na arquitetura do modelo ou no dataset.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster/resultados_otimizacao_geral.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: V44
   - transformação logarítmica: True
   - ponderar erro por área: False


Hyperparams:
input_size: 6, h: 1, lr: 3.109424051239887e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-27T12:04:13
V43_cluster_0_2020,Bom_Jesus_do_Galho,2019-12-31T00:00:00,1.080232558139535,1.3704729,26.87,validacao,V44,LSTM,"./Treinos/27_01_2026_ajuste_base/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Sim.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração na arquitetura do modelo ou no dataset.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster/resultados_otimizacao_geral.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: V44
   - transformação logarítmica: True
   - ponderar erro por área: False


Hyperparams:
input_size: 6, h: 1, lr: 3.109424051239887e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-27T12:04:13
