number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_learning_rate,params_n_layers,state
0,0.10778426246547476,2026-01-17 17:30:10.840672,2026-01-17 17:30:20.670682,0 days 00:00:09.830010,0.4464704583099741,16,5.6115164153345e-05,3,COMPLETE
1,0.14643643401545844,2026-01-17 17:30:21.440901,2026-01-17 17:30:31.404080,0 days 00:00:09.963179,0.17336180394137352,32,0.00015930522616241006,3,COMPLETE
2,0.11105468073583669,2026-01-17 17:30:32.037408,2026-01-17 17:30:41.351427,0 days 00:00:09.314019,0.2465447373174767,64,4.059611610484306e-05,2,COMPLETE
3,0.2023639275842619,2026-01-17 17:30:41.364880,2026-01-17 17:30:52.560640,0 days 00:00:11.195760,0.16820964947491662,128,8.168455894760161e-05,3,COMPLETE
4,0.11363845903872825,2026-01-17 17:30:52.572089,2026-01-17 17:31:02.421049,0 days 00:00:09.848960,0.27606099749584057,16,1.3492834268013232e-05,3,COMPLETE
5,0.10382292815184209,2026-01-17 17:31:03.156748,2026-01-17 17:31:12.590789,0 days 00:00:09.434041,0.3080272084711243,32,1.7541893487450798e-05,2,COMPLETE
6,0.1091818920319787,2026-01-17 17:31:12.604246,2026-01-17 17:31:21.718634,0 days 00:00:09.114388,,16,0.00012399967836846095,1,COMPLETE
7,0.2585402282929962,2026-01-17 17:31:21.729809,2026-01-17 17:31:31.065735,0 days 00:00:09.335926,,96,0.0006978281265126031,1,COMPLETE
8,0.18234566547710654,2026-01-17 17:31:31.076575,2026-01-17 17:31:40.574464,0 days 00:00:09.497889,0.4947547746402069,96,0.00045443839603360173,2,COMPLETE
9,0.15066495682641223,2026-01-17 17:31:40.585777,2026-01-17 17:31:49.708931,0 days 00:00:09.123154,,32,0.0003503398491158688,1,COMPLETE
10,0.10334703594324092,2026-01-17 17:31:49.719927,2026-01-17 17:31:59.092755,0 days 00:00:09.372828,0.36850754592708684,32,1.1014512904527948e-05,2,COMPLETE
11,0.10332785822980986,2026-01-17 17:31:59.105001,2026-01-17 17:32:08.651483,0 days 00:00:09.546482,0.3906255458091984,32,1.0708868272561698e-05,2,COMPLETE
12,0.10444701948082534,2026-01-17 17:32:09.693850,2026-01-17 17:32:19.165023,0 days 00:00:09.471173,0.37886235933603785,32,2.4463433288702815e-05,2,COMPLETE
13,0.10335523473712269,2026-01-17 17:32:19.176083,2026-01-17 17:32:28.453943,0 days 00:00:09.277860,0.38088754289219606,32,1.1141186106662803e-05,2,COMPLETE
14,0.1095625975878317,2026-01-17 17:32:28.463652,2026-01-17 17:32:37.771469,0 days 00:00:09.307817,0.37919507237109834,64,2.7538597967232048e-05,2,COMPLETE
15,0.12216204934649183,2026-01-17 17:32:37.782094,2026-01-17 17:32:47.249479,0 days 00:00:09.467385,,128,2.6605845465529855e-05,1,COMPLETE
16,0.1034322717421734,2026-01-17 17:32:47.259781,2026-01-17 17:32:56.496812,0 days 00:00:09.237031,0.3392658596019897,32,1.2328062566476195e-05,2,COMPLETE
17,0.14021079543792506,2026-01-17 17:32:56.507809,2026-01-17 17:33:05.472695,0 days 00:00:08.964886,,32,0.00022270414378132143,1,COMPLETE
18,0.10698237234846915,2026-01-17 17:33:05.485089,2026-01-17 17:33:15.586667,0 days 00:00:10.101578,0.4493246691718298,32,4.984538658320679e-05,3,COMPLETE
19,0.10910828709888326,2026-01-17 17:33:16.092338,2026-01-17 17:33:25.585255,0 days 00:00:09.492917,0.22647280529813094,96,1.87874823264791e-05,2,COMPLETE
20,0.10939212209744695,2026-01-17 17:33:25.630506,2026-01-17 17:33:34.980273,0 days 00:00:09.349767,0.43480569071707414,64,1.0674654872780286e-05,2,COMPLETE
21,0.10333432730587536,2026-01-17 17:33:34.990330,2026-01-17 17:33:44.233624,0 days 00:00:09.243294,0.372404834934724,32,1.0811947030859866e-05,2,COMPLETE
22,0.10403306393882734,2026-01-17 17:33:44.244082,2026-01-17 17:33:53.760103,0 days 00:00:09.516021,0.3389793990165979,32,1.981030429206634e-05,2,COMPLETE
23,0.10525080274501755,2026-01-17 17:33:53.783397,2026-01-17 17:34:03.384774,0 days 00:00:09.601377,0.3990153414671527,32,3.534130933779718e-05,2,COMPLETE
24,0.10328553930460793,2026-01-17 17:34:04.392495,2026-01-17 17:34:13.972084,0 days 00:00:09.579589,0.3207913984386177,32,1.0054095520406994e-05,2,COMPLETE
25,0.10386722763645098,2026-01-17 17:34:15.009021,2026-01-17 17:34:25.090369,0 days 00:00:10.081348,0.29583475453644953,128,1.594632483403424e-05,2,COMPLETE
26,0.11069989813838879,2026-01-17 17:34:25.642165,2026-01-17 17:34:34.941367,0 days 00:00:09.299202,,32,8.570128976983309e-05,1,COMPLETE
27,0.10931141857045756,2026-01-17 17:34:34.952019,2026-01-17 17:34:44.937349,0 days 00:00:09.985330,0.3280789066710515,32,3.1610120186087045e-05,3,COMPLETE
28,0.10416583548622452,2026-01-17 17:34:45.578090,2026-01-17 17:34:55.654859,0 days 00:00:10.076769,0.41293968702980505,32,2.128683392739557e-05,2,COMPLETE
29,0.10781933722041027,2026-01-17 17:34:56.212158,2026-01-17 17:35:07.038001,0 days 00:00:10.825843,0.47335124934283485,16,5.26451532204125e-05,3,COMPLETE
30,0.10929610635741326,2026-01-17 17:35:07.048144,2026-01-17 17:35:17.006813,0 days 00:00:09.958669,0.2597178593275226,96,1.566012080106603e-05,2,COMPLETE
31,0.10328651660049211,2026-01-17 17:35:17.671252,2026-01-17 17:35:27.177929,0 days 00:00:09.506677,0.35718566700495674,32,1.0061898849528774e-05,2,COMPLETE
32,0.1033143218253049,2026-01-17 17:35:27.231506,2026-01-17 17:35:36.677215,0 days 00:00:09.445709,0.34981165044661144,32,1.0500436719149436e-05,2,COMPLETE
33,0.10360623073512323,2026-01-17 17:35:36.687121,2026-01-17 17:35:46.218707,0 days 00:00:09.531586,0.3286345930795012,32,1.4854697869731528e-05,2,COMPLETE
34,0.10945791868220714,2026-01-17 17:35:46.241001,2026-01-17 17:35:56.087696,0 days 00:00:09.846695,0.41515505649165857,64,1.0062779966662865e-05,2,COMPLETE
35,0.1043409928388911,2026-01-17 17:35:56.857950,2026-01-17 17:36:07.949398,0 days 00:00:11.091448,0.35639617443185645,128,1.4343211107447253e-05,3,COMPLETE
36,0.10564909359946591,2026-01-17 17:36:07.959683,2026-01-17 17:36:17.550337,0 days 00:00:09.590654,0.3097273120080341,32,4.1064867581824e-05,2,COMPLETE
37,0.1421246760545169,2026-01-17 17:36:18.578766,2026-01-17 17:36:28.234300,0 days 00:00:09.655534,0.12460261712821155,16,6.458357486192491e-05,2,COMPLETE
38,0.10392485843464706,2026-01-17 17:36:29.191664,2026-01-17 17:36:38.987594,0 days 00:00:09.795930,0.28959209696975163,32,1.8714467267577117e-05,2,COMPLETE
39,0.13898220386491356,2026-01-17 17:36:39.812301,2026-01-17 17:36:49.718959,0 days 00:00:09.906658,0.22885437505718148,32,0.00013220916822802013,3,COMPLETE
40,0.11514616339442982,2026-01-17 17:36:50.438741,2026-01-17 17:36:59.445466,0 days 00:00:09.006725,,16,1.384424272049468e-05,1,COMPLETE
41,0.10329191298827424,2026-01-17 17:36:59.455081,2026-01-17 17:37:08.879076,0 days 00:00:09.423995,0.35620425928780813,32,1.0149099624081798e-05,2,COMPLETE
42,0.10329134819646535,2026-01-17 17:37:08.889079,2026-01-17 17:37:18.776700,0 days 00:00:09.887621,0.3447023317445143,32,1.014196411577172e-05,2,COMPLETE
43,0.10348508375814466,2026-01-17 17:37:19.493534,2026-01-17 17:37:28.896821,0 days 00:00:09.403287,0.3510117965121292,32,1.3121825895415107e-05,2,COMPLETE
44,0.13827807292187652,2026-01-17 17:37:28.906742,2026-01-17 17:37:38.464593,0 days 00:00:09.557851,0.3152392025176218,32,0.0008524827212533644,2,COMPLETE
45,0.10421780374720134,2026-01-17 17:37:39.500551,2026-01-17 17:37:49.471715,0 days 00:00:09.971164,0.2759669061386944,32,2.1867763897668987e-05,2,COMPLETE
46,0.10936174443078941,2026-01-17 17:37:50.130963,2026-01-17 17:37:59.655450,0 days 00:00:09.524487,0.35460338630395066,96,1.6617226957124254e-05,2,COMPLETE
47,0.10945750767068609,2026-01-17 17:37:59.693317,2026-01-17 17:38:09.500945,0 days 00:00:09.807628,0.32027450155992543,64,1.0059751002814229e-05,2,COMPLETE
48,0.10345636748324381,2026-01-17 17:38:10.307353,2026-01-17 17:38:20.170676,0 days 00:00:09.863323,0.2783925840282404,32,1.2705345923293031e-05,2,COMPLETE
49,0.14758735786826607,2026-01-17 17:38:20.928584,2026-01-17 17:38:30.779714,0 days 00:00:09.851130,,32,0.00028922391550510794,1,COMPLETE
50,0.10444809895498756,2026-01-17 17:38:31.544391,2026-01-17 17:38:42.185043,0 days 00:00:10.640652,0.3551177719523986,128,2.4256761797830214e-05,2,COMPLETE
51,0.10343019706550936,2026-01-17 17:38:42.195705,2026-01-17 17:38:52.200561,0 days 00:00:10.004856,0.39800551134842216,32,1.2285023853884219e-05,2,COMPLETE
52,0.10328658118710027,2026-01-17 17:38:52.827135,2026-01-17 17:39:02.195295,0 days 00:00:09.368160,0.394140815630254,32,1.0062432527504514e-05,2,COMPLETE
53,0.10346858886526876,2026-01-17 17:39:02.205454,2026-01-17 17:39:11.826940,0 days 00:00:09.621486,0.4316109859429884,32,1.2865755167735968e-05,2,COMPLETE
54,0.10376088981703602,2026-01-17 17:39:12.830261,2026-01-17 17:39:22.136250,0 days 00:00:09.305989,0.36654816807553947,32,1.6734359762985363e-05,2,COMPLETE
55,0.1032927390669869,2026-01-17 17:39:22.147912,2026-01-17 17:39:31.637679,0 days 00:00:09.489767,0.33548663812178303,32,1.0164319728056157e-05,2,COMPLETE
56,0.10343404280559289,2026-01-17 17:39:31.648600,2026-01-17 17:39:41.116800,0 days 00:00:09.468200,0.33213758503193397,32,1.2365868799202134e-05,2,COMPLETE
57,0.10390422794278298,2026-01-17 17:39:41.127203,2026-01-17 17:39:50.819979,0 days 00:00:09.692776,0.3915093425783368,32,1.8420881867820637e-05,2,COMPLETE
58,0.12408132849822268,2026-01-17 17:39:51.742795,2026-01-17 17:40:01.105589,0 days 00:00:09.362794,0.2984932149645029,32,0.0005359053200598249,2,COMPLETE
59,0.11071657148865048,2026-01-17 17:40:01.116475,2026-01-17 17:40:10.653807,0 days 00:00:09.537332,0.4136381555699679,96,2.988369793014389e-05,2,COMPLETE
60,0.10911986082676793,2026-01-17 17:40:10.673052,2026-01-17 17:40:20.277099,0 days 00:00:09.604047,0.3688054749677434,64,1.4619106582348089e-05,2,COMPLETE
61,0.10336192557591081,2026-01-17 17:40:21.292069,2026-01-17 17:40:32.251510,0 days 00:00:10.959441,0.34640862428498675,32,1.125084668762509e-05,2,COMPLETE
62,0.10329063441577564,2026-01-17 17:40:32.264741,2026-01-17 17:40:42.114616,0 days 00:00:09.849875,0.37670400692099987,32,1.0130417187132135e-05,2,COMPLETE
63,0.10330803332740139,2026-01-17 17:40:42.908711,2026-01-17 17:40:52.639715,0 days 00:00:09.731004,0.3828340141186271,32,1.0404177662151964e-05,2,COMPLETE
64,0.10341300803629999,2026-01-17 17:40:53.538775,2026-01-17 17:41:02.980513,0 days 00:00:09.441738,0.368705755182134,32,1.2032430994042919e-05,2,COMPLETE
65,0.10429741202023646,2026-01-17 17:41:02.990445,2026-01-17 17:41:12.619050,0 days 00:00:09.628605,0.3356226346171082,32,2.273242495246118e-05,2,COMPLETE
66,0.15353427954377508,2026-01-17 17:41:13.612491,2026-01-17 17:41:22.961267,0 days 00:00:09.348776,0.45042144446322596,16,1.6680500598653218e-05,2,COMPLETE
67,0.10386003510494908,2026-01-17 17:41:22.971259,2026-01-17 17:41:32.991355,0 days 00:00:10.020096,0.4048301750101476,128,1.4467153728545551e-05,2,COMPLETE
68,0.10329083913190497,2026-01-17 17:41:33.602680,2026-01-17 17:41:43.138601,0 days 00:00:09.535921,0.3832396312173463,32,1.013201788195187e-05,2,COMPLETE
69,0.12123048764203338,2026-01-17 17:41:43.164397,2026-01-17 17:41:52.646483,0 days 00:00:09.482086,0.42346952740317045,32,0.0001812986884825413,2,COMPLETE
70,0.10836660163665535,2026-01-17 17:41:52.656588,2026-01-17 17:42:01.744500,0 days 00:00:09.087912,,32,1.1658739287894778e-05,1,COMPLETE
71,0.1032892479462909,2026-01-17 17:42:01.755670,2026-01-17 17:42:11.089977,0 days 00:00:09.334307,0.3882614360598611,32,1.0105072637690565e-05,2,COMPLETE
72,0.10348957895206767,2026-01-17 17:42:11.100110,2026-01-17 17:42:20.818836,0 days 00:00:09.718726,0.3800319936886011,32,1.3183741912054138e-05,2,COMPLETE
73,0.10328710959171328,2026-01-17 17:42:21.735418,2026-01-17 17:42:31.306869,0 days 00:00:09.571451,0.390449853155085,32,1.0072810078882256e-05,2,COMPLETE
74,0.10400101750563345,2026-01-17 17:42:31.323225,2026-01-17 17:42:40.831353,0 days 00:00:09.508128,0.39496179911045043,32,1.952123167447049e-05,2,COMPLETE
75,0.10339455937098406,2026-01-17 17:42:40.841964,2026-01-17 17:42:50.357092,0 days 00:00:09.515128,0.43690767606142533,32,1.17461438868329e-05,2,COMPLETE
76,0.10364950384627492,2026-01-17 17:42:50.367382,2026-01-17 17:43:00.090965,0 days 00:00:09.723583,0.38620379773498253,32,1.5360727196100173e-05,2,COMPLETE
77,0.1093180547341361,2026-01-17 17:43:01.011959,2026-01-17 17:43:10.549819,0 days 00:00:09.537860,0.4030872364108103,96,1.3472270188744893e-05,2,COMPLETE
78,0.10337908458373588,2026-01-17 17:43:10.586441,2026-01-17 17:43:20.017211,0 days 00:00:09.430770,0.4533088716390337,32,1.150462992473679e-05,2,COMPLETE
79,0.15391511167709793,2026-01-17 17:43:20.028014,2026-01-17 17:43:29.430093,0 days 00:00:09.402079,0.36052262065456386,16,1.6047847805578502e-05,2,COMPLETE
80,0.105012975292086,2026-01-17 17:43:29.439824,2026-01-17 17:43:39.662595,0 days 00:00:10.222771,0.3759814318032305,64,1.4331850752715453e-05,3,COMPLETE
81,0.10328826053927766,2026-01-17 17:43:40.088669,2026-01-17 17:43:49.661889,0 days 00:00:09.573220,0.32239961448850546,32,1.0093698372780763e-05,2,COMPLETE
82,0.10336420131101143,2026-01-17 17:43:50.720845,2026-01-17 17:44:00.115827,0 days 00:00:09.394982,0.316826212130221,32,1.1294021860152052e-05,2,COMPLETE
83,0.10330144639858051,2026-01-17 17:44:00.127260,2026-01-17 17:44:09.648388,0 days 00:00:09.521128,0.3465350069662672,32,1.0300996341151624e-05,2,COMPLETE
84,0.10351932929188278,2026-01-17 17:44:09.695265,2026-01-17 17:44:19.342651,0 days 00:00:09.647386,0.3241145511968017,32,1.3624577153713089e-05,2,COMPLETE
85,0.10386429308944155,2026-01-17 17:44:20.321199,2026-01-17 17:44:29.760708,0 days 00:00:09.439509,0.41128387306163317,32,1.795396982597683e-05,2,COMPLETE
86,0.10339485188832906,2026-01-17 17:44:29.770565,2026-01-17 17:44:39.332423,0 days 00:00:09.561858,0.30621735685712753,32,1.1767329624390294e-05,2,COMPLETE
87,0.10392436147367115,2026-01-17 17:44:40.385292,2026-01-17 17:44:50.465437,0 days 00:00:10.080145,0.3904641682570452,128,1.1197907456265421e-05,2,COMPLETE
88,0.10328862810623385,2026-01-17 17:44:51.014566,2026-01-17 17:45:01.217281,0 days 00:00:10.202715,0.3627344469274168,32,1.009837020892535e-05,2,COMPLETE
89,0.1041017995928969,2026-01-17 17:45:01.647050,2026-01-17 17:45:11.687958,0 days 00:00:10.040908,0.42130479603221144,32,2.0551839741321652e-05,2,COMPLETE
90,0.10686639689127839,2026-01-17 17:45:12.269261,2026-01-17 17:45:22.163223,0 days 00:00:09.893962,0.17885920692355806,32,6.131249179778487e-05,2,COMPLETE
91,0.10346499482148412,2026-01-17 17:45:22.893553,2026-01-17 17:45:32.322835,0 days 00:00:09.429282,0.34322761013996045,32,1.2825250109470791e-05,2,COMPLETE
