number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_learning_rate,params_n_layers,state
0,0.17891014905666938,2026-01-04 05:27:48.726385,2026-01-04 05:27:58.599866,0 days 00:00:09.873481,0.12323344486727979,32,5.6115164153345e-05,3,COMPLETE
1,0.24534482429309526,2026-01-04 05:27:58.618154,2026-01-04 05:28:08.177548,0 days 00:00:09.559394,0.18493564427131048,96,0.0005399484409787432,2,COMPLETE
2,0.1770916866648864,2026-01-04 05:28:08.189352,2026-01-04 05:28:17.168605,0 days 00:00:08.979253,,64,2.3102018878452926e-05,1,COMPLETE
3,0.1709211632005816,2026-01-04 05:28:17.182085,2026-01-04 05:28:26.379830,0 days 00:00:09.197745,,128,0.00016738085788752134,1,COMPLETE
4,0.16132716057374608,2026-01-04 05:28:26.393187,2026-01-04 05:28:35.861221,0 days 00:00:09.468034,0.12602063719411183,96,2.5081156860452307e-05,2,COMPLETE
5,0.22180555248389422,2026-01-04 05:28:35.875571,2026-01-04 05:28:45.794226,0 days 00:00:09.918655,0.27606099749584057,32,0.000790261954970823,3,COMPLETE
6,0.1645633122605026,2026-01-04 05:28:45.805460,2026-01-04 05:28:55.066284,0 days 00:00:09.260824,0.2246844304357644,64,1.7541893487450798e-05,2,COMPLETE
7,0.1659208410533551,2026-01-04 05:28:55.085284,2026-01-04 05:29:04.426747,0 days 00:00:09.341463,0.4579309401710595,64,0.00010968217207529509,2,COMPLETE
8,0.2325997109170392,2026-01-04 05:29:04.438790,2026-01-04 05:29:15.325325,0 days 00:00:10.886535,0.25547091587579285,128,0.0001569639638866114,3,COMPLETE
9,0.14301359110657946,2026-01-04 05:29:15.336076,2026-01-04 05:29:25.586404,0 days 00:00:10.250328,0.42087879230161584,96,3.488976654890367e-05,3,COMPLETE
10,0.1465787196231894,2026-01-04 05:29:25.599241,2026-01-04 05:29:35.829537,0 days 00:00:10.230296,0.42168550519136694,96,5.406608285998605e-05,3,COMPLETE
11,0.14637430228720194,2026-01-04 05:29:35.840332,2026-01-04 05:29:45.942048,0 days 00:00:10.101716,0.4305092770905965,96,5.185290336874033e-05,3,COMPLETE
12,0.14626452137871046,2026-01-04 05:29:45.952672,2026-01-04 05:29:56.070461,0 days 00:00:10.117789,0.367325029259439,96,4.9222802567279355e-05,3,COMPLETE
13,0.17578097049036223,2026-01-04 05:29:56.082333,2026-01-04 05:30:06.157246,0 days 00:00:10.074913,0.35763235235792945,96,1.1771642277037634e-05,3,COMPLETE
14,0.14237323859201584,2026-01-04 05:30:06.168755,2026-01-04 05:30:16.397340,0 days 00:00:10.228585,0.35834257628129645,96,3.764301535503421e-05,3,COMPLETE
15,0.1548418471865286,2026-01-04 05:30:16.410623,2026-01-04 05:30:25.789951,0 days 00:00:09.379328,0.3446375233559841,96,3.163046348021374e-05,2,COMPLETE
16,0.19897284008723443,2026-01-04 05:30:25.801981,2026-01-04 05:30:35.934128,0 days 00:00:10.132147,0.4984066126989743,96,0.000312003015764045,3,COMPLETE
17,0.1750859905136176,2026-01-04 05:30:35.946249,2026-01-04 05:30:45.304354,0 days 00:00:09.358105,,128,1.4352407941995743e-05,1,COMPLETE
18,0.15801662473796668,2026-01-04 05:30:45.316478,2026-01-04 05:30:55.197429,0 days 00:00:09.880951,0.32630598715179865,32,8.183317584875987e-05,3,COMPLETE
19,0.14948013025631832,2026-01-04 05:30:55.208962,2026-01-04 05:31:04.657164,0 days 00:00:09.448202,0.40285193425118887,96,3.857679947555624e-05,2,COMPLETE
20,0.17071774104219303,2026-01-04 05:31:04.668713,2026-01-04 05:31:14.047835,0 days 00:00:09.379122,0.3086108307954942,96,1.0255659848880406e-05,2,COMPLETE
21,0.14424720706987432,2026-01-04 05:31:14.059457,2026-01-04 05:31:24.193526,0 days 00:00:10.134069,0.3647080858469189,96,8.399922197680107e-05,3,COMPLETE
22,0.14573360243477207,2026-01-04 05:31:24.203951,2026-01-04 05:31:34.280288,0 days 00:00:10.076337,0.38494775459857,96,8.79222585536091e-05,3,COMPLETE
23,0.16862843711209619,2026-01-04 05:31:34.292613,2026-01-04 05:31:44.594714,0 days 00:00:10.302101,0.4643951817148193,96,0.0001683610262113646,3,COMPLETE
24,0.1474600342053259,2026-01-04 05:31:44.605313,2026-01-04 05:31:54.972031,0 days 00:00:10.366718,0.38858799654617926,96,3.0900872149208355e-05,3,COMPLETE
25,0.18471126976142874,2026-01-04 05:31:54.982963,2026-01-04 05:32:05.122666,0 days 00:00:10.139703,0.29468841509135957,96,0.0002605646822037708,3,COMPLETE
26,0.18432913604233442,2026-01-04 05:32:05.135624,2026-01-04 05:32:15.976016,0 days 00:00:10.840392,0.44692601121445624,128,8.145866532843516e-05,3,COMPLETE
27,0.16070180673457685,2026-01-04 05:32:15.987121,2026-01-04 05:32:25.142724,0 days 00:00:09.155603,0.49969685805884007,32,2.0054952873735595e-05,2,COMPLETE
28,0.16535762186550754,2026-01-04 05:32:25.154087,2026-01-04 05:32:34.841034,0 days 00:00:09.686947,0.3363285362900662,64,0.00012003513100094325,3,COMPLETE
29,0.18694238253101303,2026-01-04 05:32:34.851866,2026-01-04 05:32:44.681212,0 days 00:00:09.829346,0.3902171865448858,32,3.7570439614255624e-05,3,COMPLETE
30,0.14643656517136736,2026-01-04 05:32:44.691782,2026-01-04 05:32:54.870519,0 days 00:00:10.178737,0.4187517672184333,96,6.106643456369213e-05,3,COMPLETE
31,0.1459789007451414,2026-01-04 05:32:54.882105,2026-01-04 05:33:05.014812,0 days 00:00:10.132707,0.3747077870550275,96,7.370294635670617e-05,3,COMPLETE
32,0.14474576158883254,2026-01-04 05:33:05.025997,2026-01-04 05:33:15.153509,0 days 00:00:10.127512,0.36078860780243077,96,4.283845313740889e-05,3,COMPLETE
33,0.14401542072465714,2026-01-04 05:33:15.165085,2026-01-04 05:33:25.391337,0 days 00:00:10.226252,0.3069410260856267,96,4.0640504634374805e-05,3,COMPLETE
34,0.15757798435268167,2026-01-04 05:33:25.404443,2026-01-04 05:33:35.457452,0 days 00:00:10.053009,0.31703188624729445,96,2.5165167665983467e-05,3,COMPLETE
35,0.17870585642395886,2026-01-04 05:33:35.468707,2026-01-04 05:33:44.313444,0 days 00:00:08.844737,,96,3.0396431769713012e-05,1,COMPLETE
36,0.14483605368111577,2026-01-04 05:33:44.326168,2026-01-04 05:33:54.162854,0 days 00:00:09.836686,0.24474056011993617,64,6.301043396761378e-05,3,COMPLETE
37,0.16685505867944952,2026-01-04 05:33:54.173984,2026-01-04 05:34:03.532058,0 days 00:00:09.358074,0.19414660923214883,96,1.7123747192798426e-05,2,COMPLETE
38,0.22623637054212226,2026-01-04 05:34:03.543859,2026-01-04 05:34:13.622004,0 days 00:00:10.078145,0.2873700191928998,128,0.00013494172211004433,2,COMPLETE
39,0.15786024513885877,2026-01-04 05:34:13.633190,2026-01-04 05:34:23.863332,0 days 00:00:10.230142,0.11149488744110653,96,2.4734700464740644e-05,3,COMPLETE
40,0.2099144240199826,2026-01-04 05:34:23.875155,2026-01-04 05:34:33.161368,0 days 00:00:09.286213,0.2641587946853242,32,0.0009237126438812644,2,COMPLETE
41,0.14458175392576283,2026-01-04 05:34:33.173136,2026-01-04 05:34:43.492806,0 days 00:00:10.319670,0.3498900177598596,96,4.239135130586646e-05,3,COMPLETE
42,0.14464024908693762,2026-01-04 05:34:43.505092,2026-01-04 05:34:53.823873,0 days 00:00:10.318781,0.3465474984548887,96,4.251000421951834e-05,3,COMPLETE
43,0.1422906867125731,2026-01-04 05:34:53.835026,2026-01-04 05:35:03.943221,0 days 00:00:10.108195,0.4036007400787756,96,3.5777220963144456e-05,3,COMPLETE
44,0.145510865983842,2026-01-04 05:35:03.956334,2026-01-04 05:35:13.834820,0 days 00:00:09.878486,0.4005512196789525,64,6.799365760846227e-05,3,COMPLETE
45,0.16578452747416408,2026-01-04 05:35:13.845960,2026-01-04 05:35:24.002800,0 days 00:00:10.156840,0.4112934418475257,96,2.0564235398179273e-05,3,COMPLETE
46,0.14850083658660157,2026-01-04 05:35:24.014560,2026-01-04 05:35:34.137157,0 days 00:00:10.122597,0.4395621703975887,96,0.00010088316810233472,3,COMPLETE
47,0.14795875707864806,2026-01-04 05:35:34.147971,2026-01-04 05:35:44.377537,0 days 00:00:10.229566,0.3230070606291231,96,3.024879578412915e-05,3,COMPLETE
48,0.1590287646075538,2026-01-04 05:35:44.389526,2026-01-04 05:35:55.284412,0 days 00:00:10.894886,0.4764140882890596,128,4.7292442460507144e-05,3,COMPLETE
49,0.14698112190081186,2026-01-04 05:35:55.295415,2026-01-04 05:36:05.481655,0 days 00:00:10.186240,0.13652119167005636,96,5.510316869471516e-05,3,COMPLETE
50,0.14227071837938268,2026-01-04 05:36:05.492508,2026-01-04 05:36:15.756452,0 days 00:00:10.263944,0.36851364943417264,96,3.736099182115252e-05,3,COMPLETE
51,0.14383860647720254,2026-01-04 05:36:15.770402,2026-01-04 05:36:26.059748,0 days 00:00:10.289346,0.37196869783821734,96,3.381476516255971e-05,3,COMPLETE
52,0.1443934939517908,2026-01-04 05:36:26.069867,2026-01-04 05:36:36.361219,0 days 00:00:10.291352,0.42639263698004615,96,3.355084020024915e-05,3,COMPLETE
53,0.17383565801508516,2026-01-04 05:36:36.372053,2026-01-04 05:36:46.575745,0 days 00:00:10.203692,0.37845297264834626,96,1.4213391999681355e-05,3,COMPLETE
54,0.18070928223793234,2026-01-04 05:36:46.586609,2026-01-04 05:36:55.581961,0 days 00:00:08.995352,,96,2.3790779923546638e-05,1,COMPLETE
55,0.14259345217474204,2026-01-04 05:36:55.593029,2026-01-04 05:37:05.836242,0 days 00:00:10.243213,0.3348612823548619,96,3.50178046433688e-05,3,COMPLETE
56,0.15344397062378803,2026-01-04 05:37:05.846675,2026-01-04 05:37:15.949408,0 days 00:00:10.102733,0.3285484931124334,96,2.725999422093765e-05,3,COMPLETE
57,0.16311489168875162,2026-01-04 05:37:15.960755,2026-01-04 05:37:25.697025,0 days 00:00:09.736270,0.4019974921226645,64,2.0515998903469193e-05,3,COMPLETE
58,0.1435560525709176,2026-01-04 05:37:25.708179,2026-01-04 05:37:36.039524,0 days 00:00:10.331345,0.36689739004466454,96,3.406898612986203e-05,3,COMPLETE
59,0.15772338524021792,2026-01-04 05:37:36.050185,2026-01-04 05:37:45.330648,0 days 00:00:09.280463,0.3407569012780539,32,5.015390781252203e-05,2,COMPLETE
60,0.17080358976925655,2026-01-04 05:37:45.347626,2026-01-04 05:37:55.419732,0 days 00:00:10.072106,0.4391296346054891,96,1.705514943058606e-05,3,COMPLETE
61,0.14325679519159729,2026-01-04 05:37:55.430671,2026-01-04 05:38:05.501740,0 days 00:00:10.071069,0.36739032998246723,96,3.432376917630234e-05,3,COMPLETE
62,0.14232111671907102,2026-01-04 05:38:05.513057,2026-01-04 05:38:15.863462,0 days 00:00:10.350405,0.35751020205667494,96,3.670310826833312e-05,3,COMPLETE
63,0.1530935454737816,2026-01-04 05:38:15.874415,2026-01-04 05:38:26.060710,0 days 00:00:10.186295,0.3879260643204472,96,2.7632469657530103e-05,3,COMPLETE
64,0.14236640102684012,2026-01-04 05:38:26.076803,2026-01-04 05:38:36.242589,0 days 00:00:10.165786,0.35154784826709157,96,3.7547824275721136e-05,3,COMPLETE
65,0.1605297302436854,2026-01-04 05:38:36.255330,2026-01-04 05:38:47.180477,0 days 00:00:10.925147,0.35601003618309446,128,4.76790264873098e-05,3,COMPLETE
66,0.2088562359476599,2026-01-04 05:38:47.191710,2026-01-04 05:38:57.362541,0 days 00:00:10.170831,0.40887024531505295,96,0.00047900524313294543,3,COMPLETE
67,0.14651103632239568,2026-01-04 05:38:57.374851,2026-01-04 05:39:07.591288,0 days 00:00:10.216437,0.33522836584824595,96,6.014186587484717e-05,3,COMPLETE
68,0.16546279808256806,2026-01-04 05:39:07.602765,2026-01-04 05:39:17.880671,0 days 00:00:10.277906,0.4559762129507337,96,2.0850856355397244e-05,3,COMPLETE
69,0.1739787845568652,2026-01-04 05:39:17.891148,2026-01-04 05:39:28.074354,0 days 00:00:10.183206,0.39537589182739225,96,1.404069926960911e-05,3,COMPLETE
70,0.14222525658550056,2026-01-04 05:39:28.085524,2026-01-04 05:39:38.250758,0 days 00:00:10.165234,0.31675566720915577,96,3.7337250442655667e-05,3,COMPLETE
71,0.15001383468346818,2026-01-04 05:39:38.263996,2026-01-04 05:39:48.359399,0 days 00:00:10.095403,0.28873623384284547,96,2.8794838898574744e-05,3,COMPLETE
72,0.1431792296996673,2026-01-04 05:39:48.371581,2026-01-04 05:39:58.768783,0 days 00:00:10.397202,0.3116153074403395,96,3.9268894774670736e-05,3,COMPLETE
73,0.1422689240180492,2026-01-04 05:39:58.779489,2026-01-04 05:40:08.895355,0 days 00:00:10.115866,0.3506274439937224,96,3.640764761427671e-05,3,COMPLETE
74,0.14566554597894843,2026-01-04 05:40:08.906287,2026-01-04 05:40:19.064533,0 days 00:00:10.158246,0.30303425668016887,96,4.563559709715945e-05,3,COMPLETE
75,0.14662601285414484,2026-01-04 05:40:19.076182,2026-01-04 05:40:29.218466,0 days 00:00:10.142284,0.35226133997255965,96,5.4452781579189165e-05,3,COMPLETE
76,0.18635796332370774,2026-01-04 05:40:29.229410,2026-01-04 05:40:39.036992,0 days 00:00:09.807582,0.27370156754738456,32,3.8960338398108376e-05,3,COMPLETE
77,0.1487982280515437,2026-01-04 05:40:39.047780,2026-01-04 05:40:48.810850,0 days 00:00:09.763070,0.3272112598069263,64,7.19633851185768e-05,3,COMPLETE
78,0.1541832124511868,2026-01-04 05:40:48.822244,2026-01-04 05:40:59.020608,0 days 00:00:10.198364,0.34154685456202394,96,2.6955864776878066e-05,3,COMPLETE
79,0.18062564564399636,2026-01-04 05:40:59.032041,2026-01-04 05:41:07.995027,0 days 00:00:08.962986,,96,2.402664935618623e-05,1,COMPLETE
80,0.1502501322016619,2026-01-04 05:41:08.005747,2026-01-04 05:41:18.955251,0 days 00:00:10.949504,0.38131118636993777,128,3.671818066461161e-05,3,COMPLETE
81,0.14233431180286088,2026-01-04 05:41:18.967057,2026-01-04 05:41:29.167797,0 days 00:00:10.200740,0.35901408590453365,96,3.624331209591867e-05,3,COMPLETE
82,0.1470774352590269,2026-01-04 05:41:29.179227,2026-01-04 05:41:39.304546,0 days 00:00:10.125319,0.3168975848436091,96,3.086816504079546e-05,3,COMPLETE
83,0.14541274499422632,2026-01-04 05:41:39.316032,2026-01-04 05:41:49.499577,0 days 00:00:10.183545,0.35819620442645317,96,4.513990394290076e-05,3,COMPLETE
84,0.14257758420570407,2026-01-04 05:41:49.510066,2026-01-04 05:41:59.704805,0 days 00:00:10.194739,0.3319619269562063,96,3.813204315889157e-05,3,COMPLETE
85,0.14650092908740875,2026-01-04 05:41:59.716165,2026-01-04 05:42:09.902700,0 days 00:00:10.186535,0.373806725580466,96,5.226393022242684e-05,3,COMPLETE
86,0.14645996043010104,2026-01-04 05:42:09.913555,2026-01-04 05:42:20.122243,0 days 00:00:10.208688,0.34937545981401696,96,6.18776912989997e-05,3,COMPLETE
87,0.14420111250411033,2026-01-04 05:42:20.133657,2026-01-04 05:42:30.413651,0 days 00:00:10.279994,0.29656225721964136,96,4.09433953647934e-05,3,COMPLETE
88,0.14241813696271488,2026-01-04 05:42:30.424375,2026-01-04 05:42:40.573709,0 days 00:00:10.149334,0.361171983367267,96,3.770728386710726e-05,3,COMPLETE
89,0.15512302012102053,2026-01-04 05:42:40.585758,2026-01-04 05:42:50.714306,0 days 00:00:10.128548,0.36054869678850304,96,2.6546610700457973e-05,3,COMPLETE
90,0.1891101837999971,2026-01-04 05:42:50.725913,2026-01-04 05:43:00.414054,0 days 00:00:09.688141,0.3801858863227138,32,3.146242443406607e-05,3,COMPLETE
91,0.14221820464561763,2026-01-04 05:43:00.426146,2026-01-04 05:43:10.707945,0 days 00:00:10.281799,0.32216063666781625,96,3.651851268373474e-05,3,COMPLETE
92,0.14533364087265058,2026-01-04 05:43:10.720417,2026-01-04 05:43:20.967570,0 days 00:00:10.247153,0.3161243844249523,96,4.400967579271008e-05,3,COMPLETE
93,0.16316152105931486,2026-01-04 05:43:20.978834,2026-01-04 05:43:31.188076,0 days 00:00:10.209242,0.34360162442726294,96,2.2129847933116724e-05,3,COMPLETE
94,0.16881309727435714,2026-01-04 05:43:31.199480,2026-01-04 05:43:41.331966,0 days 00:00:10.132486,0.39045089083797274,96,1.8465121004232937e-05,3,COMPLETE
95,0.14651847761659825,2026-01-04 05:43:41.342987,2026-01-04 05:43:51.560937,0 days 00:00:10.217950,0.36548077787109673,96,5.083843134130433e-05,3,COMPLETE
96,0.15742112348716408,2026-01-04 05:43:51.572328,2026-01-04 05:44:01.357392,0 days 00:00:09.785064,0.3252295396834172,64,3.203347714493263e-05,3,COMPLETE
97,0.15853396404617942,2026-01-04 05:44:01.368574,2026-01-04 05:44:11.526776,0 days 00:00:10.158202,0.35800389077703243,96,0.00018942998009978848,3,COMPLETE
98,0.14226300124165311,2026-01-04 05:44:11.538339,2026-01-04 05:44:21.655241,0 days 00:00:10.116902,0.3514019555458186,96,3.7357681391781996e-05,3,COMPLETE
99,0.15033555983530883,2026-01-04 05:44:21.666217,2026-01-04 05:44:31.950732,0 days 00:00:10.284515,0.4165384078341331,96,2.915975481875306e-05,3,COMPLETE
100,0.1704170066497907,2026-01-04 05:44:31.961260,2026-01-04 05:44:42.728507,0 days 00:00:10.767247,0.3448139068262577,128,5.9647904579928554e-05,3,COMPLETE
101,0.1422741560791407,2026-01-04 05:44:42.739535,2026-01-04 05:44:52.939908,0 days 00:00:10.200373,0.36972308849782776,96,3.660187048148736e-05,3,COMPLETE
102,0.14243168940490336,2026-01-04 05:44:52.951141,2026-01-04 05:45:03.235421,0 days 00:00:10.284280,0.37619525668572795,96,3.571903329402816e-05,3,COMPLETE
103,0.14417485283228787,2026-01-04 05:45:03.245924,2026-01-04 05:45:13.491846,0 days 00:00:10.245922,0.3501063613001353,96,4.140744454233025e-05,3,COMPLETE
104,0.1461760261678219,2026-01-04 05:45:13.503309,2026-01-04 05:45:23.600873,0 days 00:00:10.097564,0.33839055396075746,96,4.916089403761755e-05,3,COMPLETE
105,0.14448300611331188,2026-01-04 05:45:23.613255,2026-01-04 05:45:33.766859,0 days 00:00:10.153604,0.32082316154475715,96,3.3088125999187e-05,3,COMPLETE
106,0.1578148062776653,2026-01-04 05:45:33.780436,2026-01-04 05:45:44.007056,0 days 00:00:10.226620,0.3926211330703288,96,2.526391052339451e-05,3,COMPLETE
107,0.14490875042019355,2026-01-04 05:45:44.018343,2026-01-04 05:45:54.269043,0 days 00:00:10.250700,0.370882478195204,96,4.329294546125956e-05,3,COMPLETE
108,0.14570431510542062,2026-01-04 05:45:54.280292,2026-01-04 05:46:04.386675,0 days 00:00:10.106383,0.30927224850364693,96,6.800942017100121e-05,3,COMPLETE
109,0.14925388435538364,2026-01-04 05:46:04.397870,2026-01-04 05:46:13.905889,0 days 00:00:09.508019,0.39857770830650024,96,5.6866015781100135e-05,2,COMPLETE
110,0.14209440754355204,2026-01-04 05:46:13.919792,2026-01-04 05:46:24.102862,0 days 00:00:10.183070,0.38309111006241264,96,3.611155632798021e-05,3,COMPLETE
111,0.14226418448483608,2026-01-04 05:46:24.115748,2026-01-04 05:46:34.367082,0 days 00:00:10.251334,0.4068622352915764,96,3.620373999303804e-05,3,COMPLETE
112,0.14243590262295835,2026-01-04 05:46:34.381542,2026-01-04 05:46:44.595570,0 days 00:00:10.214028,0.4081499763274093,96,3.5649434187945936e-05,3,COMPLETE
113,0.149264881337659,2026-01-04 05:46:44.606827,2026-01-04 05:46:54.748059,0 days 00:00:10.141232,0.4271839199872416,96,2.979050057402288e-05,3,COMPLETE
114,0.16294631207305965,2026-01-04 05:46:54.759154,2026-01-04 05:47:05.068305,0 days 00:00:10.309151,0.41436421266992307,96,2.24019927166345e-05,3,COMPLETE
115,0.14543685321077524,2026-01-04 05:47:05.080545,2026-01-04 05:47:15.230974,0 days 00:00:10.150429,0.38419142256245997,96,4.49037366948687e-05,3,COMPLETE
116,0.14311362073690834,2026-01-04 05:47:15.242161,2026-01-04 05:47:25.532369,0 days 00:00:10.290208,0.3686095237050887,96,3.9524360256289545e-05,3,COMPLETE
117,0.18821476854116892,2026-01-04 05:47:25.542993,2026-01-04 05:47:35.310990,0 days 00:00:09.767997,0.35201027471121654,32,3.397850339082458e-05,3,COMPLETE
118,0.1503236443751679,2026-01-04 05:47:35.322822,2026-01-04 05:47:45.529749,0 days 00:00:10.206927,0.40319163954785775,96,2.9100833261470768e-05,3,COMPLETE
119,0.16038851413585772,2026-01-04 05:47:45.541461,2026-01-04 05:47:55.559475,0 days 00:00:10.018014,0.3832231532334208,64,2.6353255783213603e-05,3,COMPLETE
120,0.1460737780307015,2026-01-04 05:47:55.570845,2026-01-04 05:48:05.764055,0 days 00:00:10.193210,0.2803577016781992,96,4.690917230556147e-05,3,COMPLETE
121,0.14248947222500366,2026-01-04 05:48:05.774942,2026-01-04 05:48:16.036666,0 days 00:00:10.261724,0.333997350731959,96,3.8209997196036425e-05,3,COMPLETE
122,0.14411408520907712,2026-01-04 05:48:16.048587,2026-01-04 05:48:26.312301,0 days 00:00:10.263714,0.37473705598309726,96,4.145361653392653e-05,3,COMPLETE
123,0.14557249142347123,2026-01-04 05:48:26.323250,2026-01-04 05:48:36.584525,0 days 00:00:10.261275,0.35525194359287365,96,3.2227169605785716e-05,3,COMPLETE
124,0.1423287366148492,2026-01-04 05:48:36.596059,2026-01-04 05:48:46.903582,0 days 00:00:10.307523,0.3648619088891706,96,3.619293377650322e-05,3,COMPLETE
125,0.1423379113364404,2026-01-04 05:48:46.914972,2026-01-04 05:48:57.287913,0 days 00:00:10.372941,0.36433751928944347,96,3.6128983264366904e-05,3,COMPLETE
126,0.14265249235956773,2026-01-04 05:48:57.298580,2026-01-04 05:49:07.519051,0 days 00:00:10.220471,0.3918801821166124,96,3.492958582420348e-05,3,COMPLETE
127,0.15107309203343577,2026-01-04 05:49:07.530023,2026-01-04 05:49:17.591158,0 days 00:00:10.061135,0.36433620661386934,96,2.8497167256561067e-05,3,COMPLETE
128,0.16515956456141997,2026-01-04 05:49:17.602269,2026-01-04 05:49:28.563097,0 days 00:00:10.960828,0.38421157663104755,128,5.2843806797553545e-05,3,COMPLETE
129,0.17350640004997903,2026-01-04 05:49:28.573688,2026-01-04 05:49:37.596017,0 days 00:00:09.022329,,96,4.6884817598799434e-05,1,COMPLETE
130,0.15985871094566553,2026-01-04 05:49:37.606875,2026-01-04 05:49:47.787895,0 days 00:00:10.181020,0.43832892283477903,96,2.4294122116178966e-05,3,COMPLETE
131,0.1425467776667394,2026-01-04 05:49:47.799047,2026-01-04 05:49:58.084652,0 days 00:00:10.285605,0.3438176584919185,96,3.820849219811635e-05,3,COMPLETE
132,0.14636871149563857,2026-01-04 05:49:58.096045,2026-01-04 05:50:08.337011,0 days 00:00:10.240966,0.37411593920113073,96,3.1653826473188244e-05,3,COMPLETE
133,0.1423572546788748,2026-01-04 05:50:08.348984,2026-01-04 05:50:18.434912,0 days 00:00:10.085928,0.3623680719365307,96,3.6098645194828376e-05,3,COMPLETE
134,0.14464931920938254,2026-01-04 05:50:18.446069,2026-01-04 05:50:28.672041,0 days 00:00:10.225972,0.3654055526540967,96,4.260559237977653e-05,3,COMPLETE
135,0.1422632546956296,2026-01-04 05:50:28.683121,2026-01-04 05:50:38.949437,0 days 00:00:10.266316,0.32751530356880487,96,3.6074574870152465e-05,3,COMPLETE
136,0.14532028650250745,2026-01-04 05:50:38.960245,2026-01-04 05:50:49.276671,0 days 00:00:10.316426,0.30170450327976645,96,3.2151314936803135e-05,3,COMPLETE
137,0.1437941163625077,2026-01-04 05:50:49.288539,2026-01-04 05:50:59.468331,0 days 00:00:10.179792,0.329990592382539,96,4.043724889471043e-05,3,COMPLETE
