number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.3261338096305477,2025-12-23 01:34:51.124677,2025-12-23 01:35:18.186436,0 days 00:00:27.061759,5.6115164153345e-05,COMPLETE
1,0.41148832462416696,2025-12-23 01:35:18.202839,2025-12-23 01:35:44.953731,0 days 00:00:26.750892,0.0007969454818643932,COMPLETE
2,0.40071994708089437,2025-12-23 01:35:44.965544,2025-12-23 01:36:11.763230,0 days 00:00:26.797686,0.000291063591313307,COMPLETE
3,0.35437043813859803,2025-12-23 01:36:11.774185,2025-12-23 01:36:38.567659,0 days 00:00:26.793474,0.00015751320499779721,COMPLETE
4,0.33615347893076525,2025-12-23 01:36:38.579029,2025-12-23 01:37:05.402302,0 days 00:00:26.823273,2.0513382630874486e-05,COMPLETE
5,0.33611046300274716,2025-12-23 01:37:05.418888,2025-12-23 01:37:32.176507,0 days 00:00:26.757619,2.0511104188433963e-05,COMPLETE
6,0.3379528390778851,2025-12-23 01:37:32.187817,2025-12-23 01:37:58.998949,0 days 00:00:26.811132,1.3066739238053272e-05,COMPLETE
7,0.37718990979420547,2025-12-23 01:37:59.010679,2025-12-23 01:38:25.971102,0 days 00:00:26.960423,0.0005399484409787432,COMPLETE
8,0.35225810223078186,2025-12-23 01:38:25.996415,2025-12-23 01:38:53.042556,0 days 00:00:27.046141,0.00015930522616241006,COMPLETE
9,0.4061513552316989,2025-12-23 01:38:53.054116,2025-12-23 01:39:19.771172,0 days 00:00:26.717056,0.0002607024758370766,COMPLETE
10,0.3261634565859671,2025-12-23 01:39:19.783110,2025-12-23 01:39:46.626077,0 days 00:00:26.842967,5.6098759789230884e-05,COMPLETE
11,0.32668332266230227,2025-12-23 01:39:46.638817,2025-12-23 01:40:13.499397,0 days 00:00:26.860580,5.686536606827121e-05,COMPLETE
12,0.3256438067026326,2025-12-23 01:40:13.511547,2025-12-23 01:40:40.295618,0 days 00:00:26.784071,5.039509209159561e-05,COMPLETE
13,0.3254069133923183,2025-12-23 01:40:40.316229,2025-12-23 01:41:07.038460,0 days 00:00:26.722231,4.939713749567097e-05,COMPLETE
14,0.3300916571571556,2025-12-23 01:41:07.051968,2025-12-23 01:41:33.841257,0 days 00:00:26.789289,3.062334729257135e-05,COMPLETE
15,0.3301238307427666,2025-12-23 01:41:33.853682,2025-12-23 01:42:00.641417,0 days 00:00:26.787735,8.494630813197924e-05,COMPLETE
16,0.3293220276227097,2025-12-23 01:42:00.654453,2025-12-23 01:42:27.440778,0 days 00:00:26.786325,3.242551761422184e-05,COMPLETE
17,0.3329927694735231,2025-12-23 01:42:27.451424,2025-12-23 01:42:54.245895,0 days 00:00:26.794471,9.619571376625283e-05,COMPLETE
18,0.3280378592345914,2025-12-23 01:42:54.257151,2025-12-23 01:43:21.148819,0 days 00:00:26.891668,3.463299283560326e-05,COMPLETE
19,0.3381611388595304,2025-12-23 01:43:21.163374,2025-12-23 01:43:48.009975,0 days 00:00:26.846601,1.0625600049713467e-05,COMPLETE
20,0.35045637210874314,2025-12-23 01:43:48.021044,2025-12-23 01:44:14.807316,0 days 00:00:26.786272,0.00015058008464242467,COMPLETE
21,0.32731710037218453,2025-12-23 01:44:14.819049,2025-12-23 01:44:41.707964,0 days 00:00:26.888915,5.991914990598357e-05,COMPLETE
22,0.32598940078103605,2025-12-23 01:44:41.719475,2025-12-23 01:45:08.662088,0 days 00:00:26.942613,4.332180833565662e-05,COMPLETE
23,0.32713145865467885,2025-12-23 01:45:08.673368,2025-12-23 01:45:35.535052,0 days 00:00:26.861684,3.9787072366008616e-05,COMPLETE
24,0.3363054282758696,2025-12-23 01:45:35.546686,2025-12-23 01:46:02.380961,0 days 00:00:26.834275,2.007791212320696e-05,COMPLETE
25,0.3317407721333096,2025-12-23 01:46:02.392602,2025-12-23 01:46:29.380853,0 days 00:00:26.988251,8.698938832177327e-05,COMPLETE
26,0.325623705578862,2025-12-23 01:46:29.392830,2025-12-23 01:46:56.137877,0 days 00:00:26.745047,4.726978340520755e-05,COMPLETE
27,0.33397107039533874,2025-12-23 01:46:56.149492,2025-12-23 01:47:23.000296,0 days 00:00:26.850804,2.51060806359171e-05,COMPLETE
28,0.33673860694895436,2025-12-23 01:47:23.015087,2025-12-23 01:47:49.943366,0 days 00:00:26.928279,0.0001188380618011536,COMPLETE
29,0.3265620870549074,2025-12-23 01:47:49.957122,2025-12-23 01:48:16.874407,0 days 00:00:26.917285,6.564900935481755e-05,COMPLETE
30,0.3370543696172306,2025-12-23 01:48:16.886263,2025-12-23 01:48:43.642826,0 days 00:00:26.756563,1.5657424020089615e-05,COMPLETE
31,0.32616687098884745,2025-12-23 01:48:43.654167,2025-12-23 01:49:10.440626,0 days 00:00:26.786459,4.4008275954576724e-05,COMPLETE
32,0.3250029111338952,2025-12-23 01:49:10.451677,2025-12-23 01:49:37.400477,0 days 00:00:26.948800,5.151249544836531e-05,COMPLETE
33,0.32731227571725524,2025-12-23 01:49:37.414473,2025-12-23 01:50:04.233586,0 days 00:00:26.819113,7.134277568584108e-05,COMPLETE
34,0.3253550119293497,2025-12-23 01:50:04.245078,2025-12-23 01:50:31.711408,0 days 00:00:27.466330,4.9575472370886464e-05,COMPLETE
35,0.33251328969720984,2025-12-23 01:50:31.722525,2025-12-23 01:50:58.597822,0 days 00:00:26.875297,2.681121655804333e-05,COMPLETE
36,0.33017972932238165,2025-12-23 01:50:58.609733,2025-12-23 01:51:25.333879,0 days 00:00:26.724146,7.829635602463645e-05,COMPLETE
37,0.3361945127372575,2025-12-23 01:51:25.345866,2025-12-23 01:51:52.050018,0 days 00:00:26.704152,0.00011947813841552474,COMPLETE
38,0.3831056551783683,2025-12-23 01:51:52.061640,2025-12-23 01:52:18.814284,0 days 00:00:26.752644,0.00021078924756928624,COMPLETE
39,0.36298717407531844,2025-12-23 01:52:18.825796,2025-12-23 01:52:45.664798,0 days 00:00:26.839002,0.0007220497208826457,COMPLETE
40,0.4027395071134356,2025-12-23 01:52:45.676426,2025-12-23 01:53:12.374688,0 days 00:00:26.698262,0.00039796520336972803,COMPLETE
41,0.32560913508540096,2025-12-23 01:53:12.385728,2025-12-23 01:53:39.141646,0 days 00:00:26.755918,5.060668291014843e-05,COMPLETE
42,0.32556345759383043,2025-12-23 01:53:39.153745,2025-12-23 01:54:06.069573,0 days 00:00:26.915828,4.782776455211801e-05,COMPLETE
43,0.3268899640743185,2025-12-23 01:54:06.081205,2025-12-23 01:54:32.866838,0 days 00:00:26.785633,3.733191422805812e-05,COMPLETE
44,0.3355574295193201,2025-12-23 01:54:32.879209,2025-12-23 01:54:59.599544,0 days 00:00:26.720335,2.3032646938706953e-05,COMPLETE
45,0.3264076479602993,2025-12-23 01:54:59.610624,2025-12-23 01:55:26.378062,0 days 00:00:26.767438,6.443753079189615e-05,COMPLETE
46,0.3353903982334199,2025-12-23 01:55:26.389745,2025-12-23 01:55:53.210019,0 days 00:00:26.820274,0.00010833067673170484,COMPLETE
47,0.3370115233943628,2025-12-23 01:55:53.221113,2025-12-23 01:56:20.010390,0 days 00:00:26.789277,1.6176503729330003e-05,COMPLETE
48,0.3300080385518722,2025-12-23 01:56:20.021792,2025-12-23 01:56:46.793659,0 days 00:00:26.771867,3.0781540479049396e-05,COMPLETE
49,0.3260889705487457,2025-12-23 01:56:46.804720,2025-12-23 01:57:13.686668,0 days 00:00:26.881948,5.563824140592574e-05,COMPLETE
