municipio,ano,target,cdd_6,cdd_9,prcptot_2,prcptot_3,precomediocafe,tnn_5,tnn_6,tnn_7,tnn_8,txx_11,txx_12,wd30_12,wd30_3,wd30_9,tmin2_8,wd30_11,txx_10,txx_9,txx_3,cdd_7,frost_8,wd30_2,prcptot_10,cdd_5,wd30_10,tmin2_6,prcptot_12,cdd_8,tmin2_7
Aiuruoca,2012,1.0,18.0,12.0,95.25,79.19,255.14083333333332,8.58,3.09,4.42,3.34,30.03,30.95,4.0,3.0,9.0,0.0,1.0,33.58,32.53,31.67,16.0,0.0,10.0,200.0,8.0,5.0,0.0,98.94,15.0,0.0
Aiuruoca,2013,1.0,11.0,19.0,114.88,181.56,172.1825,7.78,8.74,4.55,7.57,31.38,32.1,15.0,6.0,8.0,0.0,4.0,34.93,33.46,30.63,23.0,0.0,12.0,67.44,13.0,15.0,0.0,100.81,16.0,0.0
Aiuruoca,2014,1.0,12.0,7.0,115.19,107.56,137.595,6.6,9.63,4.95,6.21,32.1,32.04,9.0,3.0,3.0,0.0,6.0,32.28,31.7,31.29,17.0,0.0,22.0,131.0,14.0,6.0,0.0,89.25,16.0,0.0
Albertina,2012,1.2,18.0,12.0,110.31,80.69,255.14083333333332,6.58,1.95,3.48,1.22,29.39,30.17,1.0,2.0,8.0,1.0,0.0,33.06,33.24,30.7,16.0,0.0,5.0,220.25,9.0,5.0,1.0,109.62,15.0,0.0
Albertina,2013,1.2,11.0,19.0,162.88,201.44,172.1825,7.58,8.14,3.83,6.94,32.62,31.81,7.0,1.0,5.0,0.0,4.0,33.86,31.76,30.25,23.0,0.0,2.0,95.44,8.0,12.0,0.0,160.25,16.0,0.0
Albertina,2014,1.08,12.0,7.0,202.62,135.25,137.595,8.99,9.33,2.92,3.7,31.69,32.01,3.0,3.0,3.0,0.0,3.0,31.37,30.65,30.52,18.0,0.0,16.0,171.56,14.0,2.0,0.0,100.88,31.0,0.0
Baependi,2012,1.199737187910644,18.0,12.0,95.25,79.19,255.14083333333332,8.88,2.49,2.72,2.24,30.33,31.66,5.0,11.0,12.0,0.0,3.0,34.21,33.84,32.96,16.0,0.0,14.0,200.0,8.0,8.0,0.0,98.94,15.0,0.0
Baependi,2013,1.319714656290532,11.0,19.0,114.88,181.56,172.1825,7.94,8.51,4.89,7.76,32.45,32.73,20.0,7.0,12.0,0.0,6.0,35.49,33.56,31.54,23.0,0.0,16.0,67.44,13.0,19.0,0.0,100.81,16.0,0.0
Baependi,2014,1.079741379310345,12.0,7.0,115.19,107.56,137.595,6.41,9.78,4.01,6.11,32.81,32.1,10.0,11.0,7.0,0.0,7.0,31.71,32.6,31.33,17.0,0.0,22.0,131.0,14.0,8.0,0.0,89.25,16.0,0.0
Bandeira_do_Sul,2012,1.44,18.0,13.0,94.62,85.25,255.14083333333332,7.36,-0.19,0.26,-1.84,29.25,29.27,0.0,1.0,9.0,1.0,0.0,32.45,33.45,31.11,16.0,1.0,2.0,156.62,9.0,6.0,3.0,94.94,17.0,1.0
Bandeira_do_Sul,2013,1.32,9.0,18.0,91.88,137.69,172.1825,7.31,8.57,3.51,7.14,31.41,30.59,5.0,0.0,4.0,0.0,2.0,33.52,31.48,29.03,23.0,0.0,0.0,57.94,16.0,8.0,0.0,106.88,16.0,0.0
Bandeira_do_Sul,2014,1.32,12.0,6.0,113.81,102.44,137.595,8.33,8.14,2.79,5.2,31.92,31.1,4.0,2.0,2.0,0.0,3.0,29.48,30.72,30.31,17.0,0.0,15.0,125.81,14.0,0.0,0.0,91.69,16.0,0.0
Borda_da_Mata,2012,1.2,15.0,12.0,125.38,85.25,255.14083333333332,6.71,1.46,3.21,0.79,30.18,30.23,2.0,3.0,10.0,1.0,1.0,32.38,32.9,31.72,16.0,0.0,7.0,227.69,11.0,5.0,1.0,112.62,15.0,0.0
Borda_da_Mata,2013,1.2,11.0,19.0,164.06,209.38,172.1825,7.08,8.35,4.04,6.95,33.24,31.61,12.0,6.0,13.0,0.0,4.0,34.27,32.57,30.67,14.0,0.0,9.0,104.5,8.0,14.0,0.0,161.75,16.0,0.0
Borda_da_Mata,2014,0.78,12.0,7.0,207.56,138.81,137.595,9.38,9.66,4.59,4.24,32.01,32.56,5.0,6.0,4.0,0.0,4.0,32.23,31.9,31.02,18.0,0.0,17.0,178.88,14.0,6.0,0.0,103.88,31.0,0.0
Brazopolis,2012,1.2,18.0,12.0,97.94,71.75,255.14083333333332,5.74,-0.25,3.36,1.31,28.98,30.29,2.0,11.0,6.0,1.0,0.0,32.02,31.27,32.01,14.0,0.0,8.0,218.38,11.0,3.0,1.0,96.31,17.0,0.0
Brazopolis,2013,1.5,11.0,19.0,152.88,189.31,172.1825,5.62,6.99,3.3,5.41,31.88,32.64,14.0,7.0,6.0,0.0,5.0,33.77,32.86,31.71,14.0,0.0,14.0,95.62,8.0,14.0,0.0,143.69,15.0,0.0
Brazopolis,2014,1.079816513761468,12.0,7.0,170.0,131.44,137.595,6.72,8.08,4.54,2.72,33.92,31.18,3.0,5.0,3.0,0.0,4.0,31.08,31.0,30.83,18.0,0.0,15.0,163.88,16.0,3.0,0.0,97.12,31.0,0.0
Bueno_Brandao,2012,1.32,18.0,12.0,97.94,71.75,255.14083333333332,5.66,0.83,1.97,0.04,28.44,29.45,0.0,2.0,2.0,1.0,0.0,31.9,31.98,30.35,14.0,0.0,4.0,218.38,11.0,2.0,2.0,96.31,17.0,1.0
Bueno_Brandao,2013,1.32,11.0,19.0,152.88,189.31,172.1825,6.92,6.93,2.92,5.34,31.87,30.7,3.0,0.0,3.0,0.0,1.0,32.93,30.97,29.58,14.0,0.0,0.0,95.62,8.0,9.0,0.0,143.69,15.0,0.0
Bueno_Brandao,2014,1.08,12.0,7.0,170.0,131.44,137.595,8.67,8.42,3.96,3.2,30.72,31.22,3.0,1.0,1.0,0.0,2.0,30.13,30.25,30.02,18.0,0.0,15.0,163.88,16.0,1.0,0.0,97.12,31.0,0.0
Cachoeira_de_Minas,2012,1.559712230215827,15.0,12.0,130.19,81.31,255.14083333333332,6.12,0.0,3.94,3.24,30.38,31.08,5.0,13.0,5.0,0.0,1.0,33.79,31.9,32.99,15.0,0.0,14.0,230.06,11.0,1.0,2.0,113.56,17.0,0.0
Cachoeira_de_Minas,2013,1.559712230215827,11.0,19.0,163.88,219.62,172.1825,6.37,7.46,3.7,2.71,33.64,33.16,21.0,9.0,12.0,0.0,7.0,34.59,33.43,31.72,14.0,0.0,17.0,107.12,8.0,20.0,0.0,161.88,16.0,0.0
Cachoeira_de_Minas,2014,1.08,12.0,7.0,197.62,138.0,137.595,7.31,8.51,4.77,3.59,32.73,32.42,10.0,13.0,4.0,0.0,8.0,32.02,32.04,32.2,18.0,0.0,20.0,181.56,16.0,7.0,0.0,106.38,31.0,0.0
Caldas,2012,1.32,18.0,12.0,95.25,79.19,255.14083333333332,2.46,-1.35,-1.65,-3.55,28.85,29.16,0.0,2.0,7.0,1.0,0.0,31.65,32.35,30.35,16.0,1.0,2.0,200.0,8.0,3.0,5.0,98.94,15.0,2.0
Caldas,2013,1.8,11.0,19.0,114.88,181.56,172.1825,3.06,4.95,0.35,3.05,30.85,30.33,4.0,0.0,4.0,0.0,1.0,33.35,31.75,29.56,23.0,0.0,2.0,67.44,13.0,10.0,0.0,100.81,16.0,5.0
Caldas,2014,1.32,12.0,7.0,115.19,107.56,137.595,3.76,5.45,-0.25,0.65,32.05,31.26,3.0,0.0,1.0,2.0,2.0,29.75,31.45,29.26,17.0,0.0,11.0,131.0,14.0,0.0,0.0,89.25,16.0,5.0
Cambuquira,2012,1.145454545454546,18.0,12.0,90.56,82.25,255.14083333333332,8.55,3.33,4.29,2.92,29.81,30.74,6.0,8.0,11.0,0.0,0.0,33.69,32.73,32.88,16.0,0.0,12.0,171.19,9.0,9.0,0.0,90.12,15.0,0.0
Cambuquira,2013,1.2,11.0,19.0,102.5,170.62,172.1825,8.27,8.58,4.26,7.51,33.62,32.31,8.0,1.0,13.0,0.0,4.0,35.27,33.21,30.36,23.0,0.0,4.0,66.81,8.0,19.0,0.0,98.69,16.0,0.0
Cambuquira,2014,1.08,12.0,7.0,116.0,105.12,137.595,7.58,9.98,4.82,6.12,32.58,32.09,11.0,11.0,4.0,0.0,8.0,31.46,32.44,31.59,17.0,0.0,21.0,129.69,14.0,7.0,0.0,87.25,16.0,0.0
