municipio,ano,target,cdd_6,prcptot_1,prcptot_10,precomediocafe,tnn_5,tnn_8,txx_1,txx_10,txx_12,txx_2,txx_3,wd30_2,wd30_3,wd30_9,tnn_7,wd30_10,cdd_8,tnn_6,wd30_1,prcptot_12,prcptot_2,tnn_9,cdd_9,txx_9,altitude_Terras Baixas,altitude_Terras de Média Altitude,altitude_Terras Altas,altitude_Terras Muito Altas
Almenara,2012,0.45,20.0,327.25,119.56,255.14083333333332,18.14,13.29,34.05,34.33,34.85,35.44,35.4,29.0,29.0,18.0,11.95,17.0,31.0,12.71,28.0,202.12,161.19,11.83,11.0,34.83,False,True,False,False
Almenara,2013,0.9,15.0,400.5,43.44,172.1825,16.12,13.82,36.02,37.92,36.65,36.44,39.1,28.0,30.0,17.0,13.78,25.0,31.0,15.52,29.0,156.19,322.31,13.23,15.0,35.22,False,True,False,False
Almenara,2014,0.9,22.0,206.75,130.06,137.595,14.87,12.4,34.41,36.41,35.75,34.63,35.34,28.0,30.0,9.0,14.58,20.0,31.0,14.96,31.0,334.12,232.81,16.54,18.0,34.54,False,True,False,False
Almenara,2015,1.079545454545455,28.0,225.44,92.94,168.48333333333332,16.6,11.84,35.51,35.65,34.12,34.56,34.61,25.0,30.0,21.0,13.99,21.0,31.0,14.02,31.0,363.81,238.69,13.79,13.0,37.15,False,True,False,False
Almenara,2016,0.8409090909090909,30.0,301.19,72.12,129.3216666666667,15.2,14.01,40.54,36.65,39.71,36.92,36.81,29.0,31.0,29.0,15.93,29.0,26.0,15.92,25.0,192.88,134.12,14.68,13.0,35.05,False,True,False,False
Alpinopolis,2012,2.7,20.0,164.31,115.19,255.14083333333332,8.48,1.21,30.29,34.4,31.45,32.86,32.69,11.0,7.0,14.0,4.83,10.0,18.0,2.55,2.0,53.44,62.5,8.27,12.0,34.28,False,False,True,False
Alpinopolis,2013,2.711436950146628,12.0,95.56,36.0,172.1825,8.12,8.91,32.03,36.07,33.13,32.24,32.21,13.0,9.0,15.0,4.21,17.0,16.0,9.36,8.0,80.88,89.62,8.22,18.0,34.47,False,False,True,False
Alpinopolis,2014,1.680112570356473,10.0,139.75,139.06,137.595,9.36,3.46,33.01,32.76,32.12,33.32,31.41,23.0,12.0,7.0,4.15,11.0,31.0,11.49,26.0,52.69,79.75,10.04,7.0,34.26,False,False,True,False
Alpinopolis,2015,1.82,21.0,135.31,21.44,168.48333333333332,11.83,8.81,35.04,37.49,33.25,32.73,30.69,8.0,3.0,16.0,7.7,20.0,17.0,8.92,25.0,151.62,189.19,11.32,11.0,34.22,False,False,True,False
Alpinopolis,2016,2.4,15.0,264.56,64.25,129.3216666666667,9.29,9.56,32.11,36.87,32.44,33.07,32.14,24.0,11.0,18.0,10.86,26.0,27.0,9.14,6.0,150.0,148.81,12.34,13.0,35.88,False,False,True,False
Alterosa,2012,1.590084985835694,19.0,158.88,81.62,255.14083333333332,7.56,0.65,30.05,34.35,30.74,32.45,32.57,11.0,4.0,13.0,3.33,11.0,16.0,1.46,1.0,87.38,84.06,5.4,20.0,34.35,False,False,True,False
Alterosa,2013,1.440114613180516,13.0,92.69,21.25,172.1825,7.57,7.85,30.62,35.17,31.86,31.45,30.94,10.0,7.0,13.0,4.25,17.0,31.0,9.0,2.0,68.94,41.19,5.42,18.0,33.54,False,False,True,False
Alterosa,2014,1.2,13.0,201.06,132.38,137.595,9.21,5.08,33.28,31.7,32.46,33.22,31.41,19.0,10.0,6.0,3.78,10.0,31.0,9.33,26.0,87.5,101.81,9.18,6.0,32.74,False,False,True,False
Alterosa,2015,1.079945429740791,21.0,206.12,11.62,168.48333333333332,10.49,7.69,35.13,36.67,33.05,31.7,30.57,10.0,1.0,13.0,6.22,16.0,17.0,7.57,21.0,91.31,131.88,11.28,11.0,32.28,False,False,True,False
Alterosa,2016,1.919948849104859,15.0,286.94,92.44,129.3216666666667,7.19,9.12,31.55,35.86,31.85,32.87,31.27,16.0,8.0,16.0,8.97,21.0,26.0,7.87,6.0,90.75,147.69,12.97,15.0,34.67,False,False,True,False
