municipio,ano,target,cdd_5,cdd_9,prcptot_3,precomediocafe,tnn_5,tnn_6,tnn_7,txx_11,txx_9,wd30_10,wd30_11,wd30_9,cdd_6,tnn_8,prcptot_2,prcptot_11,wd30_2,wd30_3,txx_10,altitude_Terras Baixas,altitude_Terras de Média Altitude,altitude_Terras Altas,altitude_Terras Muito Altas
Abadia_dos_Dourados,2012,2.0,10.0,13.0,82.38,255.14083333333332,9.25,7.86,10.88,31.26,33.7,8.0,6.0,20.0,20.0,7.77,149.06,97.81,8.0,6.0,33.22,False,False,True,False
Abadia_dos_Dourados,2013,1.96551724137931,29.0,19.0,216.12,172.1825,9.83,11.69,5.41,31.42,35.29,24.0,8.0,15.0,13.0,11.17,150.81,179.19,14.0,11.0,36.43,False,False,True,False
Abadia_dos_Dourados,2014,2.290322580645161,20.0,15.0,203.12,137.595,9.83,13.49,8.94,33.69,34.26,11.0,11.0,12.0,22.0,6.55,210.31,81.88,16.0,6.0,33.06,False,False,True,False
Abadia_dos_Dourados,2015,1.968253968253968,5.0,13.0,122.62,168.48333333333332,13.61,12.41,11.74,32.23,34.08,20.0,8.0,19.0,28.0,10.07,176.25,187.12,6.0,4.0,37.52,False,False,True,False
Abadia_dos_Dourados,2016,2.194029850746269,9.0,15.0,127.56,129.3216666666667,11.61,10.15,12.51,33.28,35.74,26.0,19.0,20.0,29.0,11.52,170.44,80.88,17.0,10.0,36.44,False,False,True,False
Abadia_dos_Dourados,2017,0.8333333333333334,13.0,13.0,156.88,155.69750000000002,12.55,7.59,6.98,30.71,34.55,23.0,6.0,26.0,27.0,9.88,141.88,104.0,6.0,13.0,34.81,False,False,True,False
Abadia_dos_Dourados,2018,1.2,16.0,28.0,131.12,139.60083333333333,6.14,11.96,8.77,31.73,32.48,22.0,5.0,11.0,18.0,11.27,203.12,296.69,6.0,17.0,35.75,False,False,True,False
Abadia_dos_Dourados,2019,2.4,10.0,14.0,158.25,109.61,13.22,12.27,11.15,30.35,33.94,16.0,4.0,19.0,30.0,8.06,206.34,186.62,13.0,7.0,33.5,False,False,True,False
Abadia_dos_Dourados,2020,2.584210526315789,7.0,24.0,60.94,110.44833333333334,8.02,10.6,4.83,33.91,36.26,24.0,14.0,27.0,26.0,13.0,309.88,82.5,7.0,8.0,34.7,False,False,True,False
Abadia_dos_Dourados,2021,1.8,21.0,30.0,84.25,114.73333333333332,12.98,11.39,11.47,33.03,36.48,17.0,12.0,25.0,30.0,10.74,83.62,34.38,8.0,11.0,37.79,False,False,True,False
