municipio,ano,target,cdd_8,cdd_9,prcptot_1,prcptot_11,prcptot_12,precomediocafe,tnn_5,tnn_6,tnn_7,tnn_9,txx_1,txx_10,txx_11,txx_2,txx_3,wd30_10,wd30_11,wd30_12,wd30_2,wd30_3,wd30_9,cdd_6,txx_9,txx_12,altitude_Terras Baixas,altitude_Terras de Média Altitude,altitude_Terras Altas,altitude_Terras Muito Altas
Aguanil,2012,1.380271084337349,18.0,12.0,174.0,110.06,74.19,255.14083333333332,9.61,5.71,5.61,6.39,31.09,34.03,31.11,33.5,33.5,10.0,4.0,6.0,13.0,13.0,13.0,20.0,33.73,31.18,False,False,True,False
Aguanil,2013,1.200292397660819,31.0,18.0,84.06,47.25,65.81,172.1825,8.33,9.87,5.21,7.03,31.85,36.0,33.65,32.61,32.2,22.0,9.0,23.0,18.0,11.0,13.0,12.0,34.27,33.35,False,False,True,False
Aguanil,2014,0.8998538011695907,31.0,7.0,177.38,53.75,47.38,137.595,8.96,9.76,7.14,9.78,33.78,33.37,33.59,33.53,31.58,11.0,13.0,15.0,24.0,15.0,7.0,13.0,33.55,33.16,False,False,True,False
Aguanil,2015,0.8998538011695907,17.0,11.0,143.31,127.56,143.69,168.48333333333332,11.4,9.47,8.61,9.03,34.99,36.55,32.7,32.81,31.32,17.0,15.0,12.0,14.0,5.0,14.0,21.0,33.64,32.62,False,False,True,False
Aguanil,2016,1.800153727901614,26.0,13.0,262.88,54.0,113.25,129.3216666666667,8.67,8.13,10.09,11.09,31.82,36.46,33.79,32.63,31.75,26.0,15.0,17.0,23.0,14.0,18.0,15.0,35.44,32.4,False,False,True,False
Aguanil,2017,1.847179487179487,15.0,24.0,196.75,29.81,169.88,155.69750000000002,11.45,5.79,3.34,11.11,33.39,35.48,32.29,32.92,32.52,15.0,9.0,14.0,11.0,17.0,19.0,24.0,34.64,32.98,False,False,True,False
Aguanil,2018,2.1,13.0,28.0,183.38,151.0,183.0,139.60083333333333,5.65,6.85,7.54,9.62,32.49,34.21,31.64,31.09,31.87,17.0,6.0,13.0,6.0,12.0,13.0,17.0,32.54,32.61,False,False,True,False
Aguanil,2019,1.8,15.0,11.0,102.62,78.56,58.12,109.61,8.08,10.28,7.69,8.07,34.28,32.72,31.16,35.35,32.59,9.0,6.0,17.0,15.0,8.0,11.0,17.0,32.84,33.0,False,False,True,False
Aguanil,2020,2.164485981308411,31.0,15.0,184.25,80.12,130.5,110.44833333333334,6.57,7.88,4.42,12.68,32.53,33.18,34.05,31.53,30.39,24.0,8.0,11.0,6.0,6.0,20.0,23.0,35.85,31.49,False,False,True,False
Aguanil,2021,1.738235294117647,15.0,21.0,296.94,73.94,79.81,114.73333333333332,8.87,8.56,9.56,12.01,33.09,37.3,33.59,31.79,31.7,15.0,13.0,11.0,6.0,12.0,22.0,22.0,36.15,32.33,False,False,True,False
