municipio,ano,target,cdd_5,cdd_6,precomediocafe,tnn_5,tnn_6,tnn_7,txx_1,txx_10,txx_12,txx_2,txx_9,wd30_2,prcptot_1,prcptot_11,cdd_8,cdd_9,prcptot_2,wd30_10,prcptot_12,wd30_1,cdd_7,altitude_Terras Baixas,altitude_Terras de Média Altitude,altitude_Terras Altas,altitude_Terras Muito Altas
Abre_Campo,2012,1.079924242424242,10.0,19.0,255.14083333333332,11.95,8.36,5.81,30.97,33.34,30.59,32.84,32.85,13.0,189.69,124.38,15.0,8.0,51.38,5.0,72.5,5.0,21.0,False,False,True,False
Abre_Campo,2013,1.079924242424242,29.0,12.0,172.1825,11.01,9.83,6.88,33.05,36.49,34.7,31.95,34.24,16.0,158.69,68.81,16.0,16.0,144.31,14.0,103.94,11.0,24.0,False,False,True,False
Abre_Campo,2014,0.8,14.0,9.0,137.595,7.53,11.11,7.5,33.45,31.36,32.7,31.99,35.58,21.0,88.0,65.75,31.0,11.0,99.56,4.0,37.62,22.0,29.0,False,False,True,False
Abre_Campo,2015,1.2,10.0,21.0,168.48333333333332,11.04,8.96,8.25,35.13,35.25,34.3,31.93,33.54,15.0,156.56,188.06,31.0,11.0,130.88,10.0,276.75,29.0,9.0,False,False,True,False
Abre_Campo,2016,1.2,13.0,27.0,129.3216666666667,11.55,8.49,10.75,34.52,36.84,31.92,34.04,35.49,26.0,244.81,92.31,27.0,12.0,132.56,16.0,229.88,10.0,20.0,False,False,True,False
Abre_Campo,2017,0.9602446483180428,8.0,22.0,155.69750000000002,10.27,6.74,9.55,33.34,33.91,32.7,30.59,33.0,4.0,274.06,40.25,9.0,13.0,98.06,8.0,199.69,15.0,16.0,False,False,True,False
Abre_Campo,2018,1.2,12.0,21.0,139.60083333333333,8.35,11.2,9.4,33.84,33.76,32.84,31.06,31.61,4.0,128.25,199.44,13.0,28.0,122.56,15.0,167.25,19.0,31.0,False,False,True,False
Abre_Campo,2019,1.5,27.0,17.0,109.61,13.61,10.56,9.64,33.09,32.88,33.67,34.74,32.11,17.0,181.94,142.5,11.0,14.0,108.59,7.0,61.56,26.0,31.0,False,False,True,False
Abre_Campo,2020,1.5,8.0,25.0,110.44833333333334,7.59,9.12,6.61,34.86,34.54,32.16,33.19,34.9,13.0,223.12,102.56,31.0,15.0,81.69,17.0,226.25,14.0,26.0,False,False,True,False
Abre_Campo,2021,1.2,21.0,20.0,114.73333333333332,11.54,8.85,10.26,32.47,36.76,32.12,32.58,36.56,9.0,150.62,109.94,20.0,20.0,56.88,14.0,137.06,23.0,31.0,False,False,True,False
Abre_Campo,2022,1.2,15.0,19.0,218.93666666666664,5.74,9.12,7.95,31.99,33.41,30.29,31.26,35.56,6.0,157.81,125.19,27.0,14.0,93.88,8.0,113.94,14.0,17.0,False,False,True,False
Abre_Campo,2023,1.8,18.0,12.0,208.05916666666667,9.26,7.18,9.69,29.38,31.33,31.5,32.57,32.45,4.0,234.12,64.25,12.0,14.0,199.91,4.0,99.06,0.0,18.0,False,False,True,False
Abre_Campo,2024,1.32,23.0,15.0,191.20333333333332,14.56,7.89,7.3,33.03,33.25,33.82,31.88,35.45,9.0,114.69,152.62,18.0,8.0,44.62,13.0,81.44,14.0,17.0,False,False,True,False
Abre_Campo,2025,0.0,17.0,16.0,328.62583333333333,12.66,10.49,9.3,34.77,35.0,33.1,33.02,32.34,15.0,127.62,132.19,14.0,10.0,136.88,8.0,103.94,11.0,31.0,False,False,True,False
Aimores,2012,1.199029126213592,10.0,20.0,255.14083333333332,15.9,11.89,11.89,35.45,35.86,33.67,36.62,35.56,29.0,206.31,67.62,18.0,13.0,63.06,17.0,119.88,25.0,31.0,False,True,False,False
Aimores,2013,1.199814986123959,23.0,13.0,172.1825,15.97,15.87,13.26,34.79,38.64,38.11,36.93,36.85,28.0,204.44,142.38,31.0,17.0,227.25,29.0,152.25,22.0,16.0,False,True,False,False
Aimores,2014,1.319791666666667,15.0,13.0,137.595,14.22,15.88,13.33,34.9,34.81,37.31,36.89,38.04,26.0,171.0,114.5,31.0,11.0,112.25,15.0,98.44,29.0,19.0,False,True,False,False
Aimores,2015,1.080263157894737,16.0,21.0,168.48333333333332,15.59,15.33,13.8,38.1,35.67,36.36,36.05,36.76,23.0,94.12,93.56,31.0,6.0,183.06,16.0,169.94,31.0,20.0,False,True,False,False
Aimores,2016,1.2,9.0,24.0,129.3216666666667,16.57,14.81,16.24,39.29,38.3,37.66,37.92,38.27,29.0,272.38,84.12,27.0,8.0,94.25,22.0,169.25,22.0,22.0,False,True,False,False
Aimores,2017,1.229885057471264,12.0,26.0,155.69750000000002,15.69,14.09,15.1,35.47,36.49,35.07,34.55,34.7,22.0,168.69,61.19,15.0,24.0,81.44,18.0,178.75,30.0,31.0,False,True,False,False
Aimores,2018,1.2,12.0,21.0,139.60083333333333,15.22,15.7,12.77,35.66,37.73,35.56,33.96,33.29,24.0,145.75,80.5,13.0,28.0,52.12,23.0,112.38,28.0,31.0,False,True,False,False
Aimores,2019,1.49025069637883,27.0,30.0,109.61,18.68,15.14,15.63,35.03,36.99,35.95,37.61,35.8,27.0,149.06,69.88,26.0,14.0,114.81,20.0,53.75,31.0,31.0,False,True,False,False
Aimores,2020,2.063157894736842,8.0,30.0,110.44833333333334,13.3,14.33,13.36,36.2,37.83,35.36,35.88,35.66,24.0,179.5,84.44,31.0,25.0,189.69,25.0,211.38,23.0,26.0,False,True,False,False
Aimores,2021,1.634328358208955,21.0,24.0,114.73333333333332,15.16,13.96,14.65,34.23,36.46,34.08,33.77,35.53,21.0,127.25,10.12,31.0,30.0,70.5,16.0,103.62,29.0,22.0,False,True,False,False
Aimores,2022,2.332558139534884,16.0,19.0,218.93666666666664,13.06,13.67,13.13,36.06,36.08,33.96,34.12,36.38,25.0,122.19,61.44,31.0,25.0,76.88,15.0,176.38,25.0,31.0,False,True,False,False
Aimores,2023,1.544827586206897,28.0,12.0,208.05916666666667,15.65,13.56,14.37,32.18,34.28,35.31,34.87,35.82,26.0,158.56,28.12,12.0,7.0,196.12,19.0,120.12,22.0,31.0,False,True,False,False
Aimores,2024,0.9455882352941176,24.0,14.0,191.20333333333332,18.28,15.05,13.72,37.05,37.06,38.67,35.37,37.31,23.0,66.94,79.44,20.0,11.0,132.81,22.0,104.81,22.0,31.0,False,True,False,False
Aimores,2025,0.0,9.0,30.0,328.62583333333333,16.92,17.31,17.12,35.92,36.72,34.22,35.0,35.35,28.0,124.19,99.06,14.0,15.0,103.5,19.0,146.19,21.0,31.0,False,True,False,False
Alvarenga,2012,0.9595238095238096,10.0,30.0,255.14083333333332,14.68,10.43,8.74,32.2,34.27,32.15,35.69,35.44,27.0,213.38,60.75,18.0,13.0,65.06,9.0,121.38,14.0,31.0,False,False,True,False
Alvarenga,2013,0.9005464480874317,23.0,13.0,172.1825,13.97,12.69,11.12,34.38,38.91,35.86,33.47,36.2,26.0,203.94,148.19,31.0,17.0,228.19,19.0,152.56,18.0,16.0,False,False,True,False
Alvarenga,2014,0.8403547671840355,15.0,13.0,137.595,10.78,12.84,10.31,33.91,32.16,34.15,33.22,37.19,26.0,174.75,114.44,31.0,11.0,119.19,9.0,109.56,26.0,19.0,False,False,True,False
Alvarenga,2015,0.7797164667393675,16.0,21.0,168.48333333333332,13.06,12.17,12.01,37.09,35.92,35.16,33.53,34.62,22.0,90.38,92.69,31.0,6.0,186.0,13.0,163.31,31.0,20.0,False,False,True,False
Alvarenga,2016,0.7358490566037735,9.0,26.0,129.3216666666667,14.18,11.33,13.36,36.51,37.48,33.66,35.12,36.38,27.0,268.88,82.56,27.0,8.0,92.0,23.0,152.5,17.0,22.0,False,False,True,False
Alvarenga,2017,0.6341463414634146,12.0,27.0,155.69750000000002,13.02,9.59,11.84,33.88,34.99,33.6,31.39,33.61,13.0,168.31,61.69,15.0,24.0,80.81,15.0,155.5,26.0,31.0,False,False,True,False
Alvarenga,2018,0.7198538367844093,14.0,21.0,139.60083333333333,12.49,12.7,11.0,34.85,35.22,32.9,32.05,31.31,19.0,149.38,75.62,13.0,28.0,48.44,21.0,104.56,29.0,31.0,False,False,True,False
Alvarenga,2019,0.6601705237515225,27.0,30.0,109.61,15.76,13.25,12.15,34.13,35.6,34.89,35.67,34.43,23.0,150.31,64.62,31.0,14.0,117.78,19.0,48.34,31.0,31.0,False,False,True,False
Alvarenga,2020,0.9,9.0,30.0,110.44833333333334,9.09,11.86,9.57,35.6,36.21,33.1,34.16,35.44,21.0,172.75,78.0,31.0,25.0,196.94,22.0,181.75,20.0,31.0,False,False,True,False
Alvarenga,2021,0.6304878048780488,21.0,24.0,114.73333333333332,11.95,10.69,11.53,33.1,36.91,32.63,33.34,36.89,14.0,135.0,8.25,31.0,30.0,66.81,14.0,102.0,27.0,22.0,False,False,True,False
Alvarenga,2022,0.9,27.0,19.0,218.93666666666664,7.43,10.91,9.5,33.75,35.17,32.2,32.2,35.77,15.0,116.81,55.25,31.0,25.0,70.38,12.0,143.5,22.0,31.0,False,False,True,False
Alvarenga,2023,1.75,28.0,12.0,208.05916666666667,11.99,9.42,11.56,30.79,33.2,32.52,33.49,34.49,22.0,158.5,22.62,12.0,12.0,192.5,14.0,123.12,8.0,31.0,False,False,True,False
Alvarenga,2024,1.25,24.0,14.0,191.20333333333332,16.11,10.82,10.57,34.82,34.27,35.81,33.07,35.63,20.0,75.44,76.12,20.0,11.0,144.47,19.0,97.38,19.0,31.0,False,False,True,False
Alvarenga,2025,0.0,9.0,30.0,328.62583333333333,15.0,13.14,12.3,35.16,37.36,33.56,33.94,33.61,28.0,157.38,89.94,14.0,15.0,118.12,15.0,153.88,13.0,31.0,False,False,True,False
Andrelandia,2012,0.9011857707509882,9.0,18.0,255.14083333333332,8.9,2.52,4.99,29.97,32.98,31.95,32.48,32.42,5.0,97.62,62.94,17.0,13.0,94.62,3.0,94.94,0.0,16.0,False,False,True,False
Andrelandia,2013,0.9011857707509882,16.0,9.0,172.1825,7.97,9.36,5.03,30.53,34.55,32.43,30.81,33.0,9.0,82.69,147.88,16.0,18.0,91.88,12.0,106.88,2.0,23.0,False,False,True,False
Andrelandia,2014,0.9,14.0,12.0,137.595,7.28,10.03,4.0,34.96,35.43,32.45,33.96,32.93,20.0,139.69,94.69,16.0,6.0,113.81,7.0,91.69,23.0,17.0,False,False,True,False
Andrelandia,2015,1.2,9.0,18.0,168.48333333333332,10.49,8.62,7.52,34.15,34.93,32.32,32.23,33.45,4.0,102.88,192.06,17.0,6.0,156.0,7.0,84.25,22.0,7.0,False,False,True,False
Andrelandia,2016,1.5,6.0,15.0,129.3216666666667,6.52,7.18,8.54,33.45,35.95,32.47,33.95,33.94,17.0,173.31,109.62,26.0,13.0,287.31,12.0,152.94,7.0,6.0,False,False,True,False
Andrelandia,2017,1.4,7.0,23.0,155.69750000000002,10.16,2.99,2.01,32.17,33.72,32.36,32.02,32.78,16.0,155.75,23.0,8.0,13.0,87.25,6.0,198.5,11.0,15.0,False,False,True,False
Andrelandia,2018,1.5,12.0,10.0,139.60083333333333,4.19,7.26,6.96,31.68,33.37,31.51,30.98,31.11,3.0,125.19,91.31,13.0,28.0,158.56,9.0,122.88,7.0,31.0,False,False,True,False
Andrelandia,2019,1.5,24.0,17.0,109.61,7.35,8.96,6.35,33.37,31.75,33.04,33.88,31.02,11.0,82.0,104.5,12.0,10.0,139.0,3.0,39.41,24.0,31.0,False,False,True,False
Andrelandia,2020,1.8,11.0,23.0,110.44833333333334,5.57,7.26,4.44,32.16,31.8,31.41,31.12,34.01,3.0,128.69,104.06,30.0,14.0,147.94,4.0,208.75,9.0,15.0,False,False,True,False
Andrelandia,2021,1.4,30.0,19.0,114.73333333333332,7.46,7.3,9.1,32.09,34.24,31.28,31.34,33.5,5.0,294.75,34.12,13.0,18.0,37.56,9.0,96.56,6.0,30.0,False,False,True,False
Andrelandia,2022,1.8,16.0,20.0,218.93666666666664,4.66,6.87,2.32,30.51,30.47,29.16,29.7,34.13,0.0,63.94,55.38,26.0,8.0,91.0,1.0,49.44,6.0,16.0,False,False,True,False
Andrelandia,2023,1.8,27.0,12.0,208.05916666666667,6.98,5.44,7.05,30.99,30.21,31.34,30.83,31.07,4.0,182.25,46.06,12.0,13.0,270.88,1.0,103.88,1.0,18.0,False,False,True,False
Andrelandia,2024,1.5,18.0,15.0,191.20333333333332,8.74,7.16,5.54,34.0,32.04,33.04,31.55,34.13,5.0,142.62,132.25,12.0,11.0,72.06,8.0,79.75,10.0,18.0,False,False,True,False
Andrelandia,2025,0.0,9.0,29.0,328.62583333333333,9.64,7.91,7.59,33.53,34.34,31.65,32.56,31.87,9.0,175.06,86.75,13.0,14.0,75.38,9.0,135.0,7.0,18.0,False,False,True,False
Antonio_Dias,2012,1.2,10.0,20.0,255.14083333333332,13.44,9.7,9.17,31.92,32.53,31.05,33.59,33.73,21.0,192.44,113.0,31.0,13.0,57.25,7.0,97.19,12.0,31.0,False,False,True,False
Antonio_Dias,2013,1.2,29.0,13.0,172.1825,13.18,11.74,10.03,33.63,36.97,34.77,32.4,34.06,22.0,207.12,125.0,31.0,17.0,212.0,15.0,148.19,12.0,31.0,False,False,True,False
Antonio_Dias,2014,0.9,8.0,13.0,137.595,10.66,12.09,8.93,33.23,31.92,33.48,32.22,36.12,24.0,151.56,98.88,31.0,11.0,102.81,7.0,82.69,22.0,29.0,False,False,True,False
Antonio_Dias,2015,1.083333333333333,16.0,21.0,168.48333333333332,13.67,12.14,11.58,36.03,36.73,35.32,32.63,33.24,17.0,142.75,88.62,31.0,5.0,164.81,11.0,208.94,30.0,23.0,False,False,True,False
Antonio_Dias,2016,0.9,10.0,27.0,129.3216666666667,13.87,11.27,13.52,35.63,36.98,32.79,34.4,36.1,27.0,248.25,73.31,27.0,8.0,104.75,23.0,219.56,11.0,22.0,False,False,True,False
Antonio_Dias,2017,1.0,12.0,22.0,155.69750000000002,12.97,10.12,12.02,33.02,34.29,33.14,30.37,33.34,5.0,186.5,67.25,9.0,13.0,102.44,12.0,231.75,17.0,31.0,False,False,True,False
Antonio_Dias,2018,0.8,12.0,20.0,139.60083333333333,10.0,11.89,9.53,33.27,34.64,31.93,31.45,31.1,6.0,166.31,116.94,13.0,28.0,106.19,13.0,171.56,19.0,31.0,False,False,True,False
Antonio_Dias,2019,1.0,27.0,30.0,109.61,15.41,12.52,12.07,33.46,33.88,34.35,34.85,32.62,18.0,147.12,129.06,25.0,14.0,141.12,12.0,79.47,30.0,31.0,False,False,True,False
Antonio_Dias,2020,1.333333333333333,8.0,26.0,110.44833333333334,9.62,10.88,9.61,35.42,35.82,33.01,33.05,35.98,15.0,199.56,145.0,31.0,16.0,154.44,23.0,258.81,18.0,26.0,False,False,True,False
Antonio_Dias,2021,1.5,21.0,22.0,114.73333333333332,12.1,11.2,12.24,32.09,37.03,31.76,32.63,37.59,8.0,151.06,28.5,20.0,21.0,91.25,15.0,123.5,21.0,21.0,False,False,True,False
Antonio_Dias,2022,1.5,15.0,19.0,218.93666666666664,7.23,10.51,9.61,32.64,34.58,31.4,31.29,35.84,6.0,104.0,76.19,28.0,25.0,110.19,13.0,220.06,18.0,17.0,False,False,True,False
Antonio_Dias,2023,1.477272727272727,28.0,12.0,208.05916666666667,10.95,9.18,12.01,29.95,32.5,31.98,33.26,33.06,10.0,170.19,65.88,12.0,8.0,191.94,8.0,108.44,0.0,18.0,False,False,True,False
Antonio_Dias,2024,1.5,24.0,14.0,191.20333333333332,16.79,10.19,9.86,32.29,33.43,33.2,32.46,34.59,18.0,81.06,83.69,20.0,11.0,114.66,12.0,107.38,14.0,31.0,False,False,True,False
Antonio_Dias,2025,0.0,9.0,30.0,328.62583333333333,14.61,11.96,11.16,34.34,36.87,33.4,32.96,34.19,22.0,124.88,123.5,14.0,15.0,109.44,14.0,148.94,12.0,31.0,False,False,True,False
Antonio_Prado_de_Minas,2012,0.7238095238095238,9.0,20.0,255.14083333333332,13.06,8.68,9.04,33.8,35.74,33.01,35.23,34.78,25.0,171.38,106.31,18.0,12.0,76.31,13.0,72.25,15.0,21.0,False,True,False,False
Antonio_Prado_de_Minas,2013,0.6909090909090909,24.0,12.0,172.1825,13.13,12.68,8.76,35.15,39.09,36.74,35.07,36.71,26.0,81.5,48.25,31.0,18.0,59.62,20.0,70.69,17.0,23.0,False,True,False,False
Antonio_Prado_de_Minas,2014,0.7181818181818181,13.0,10.0,137.595,10.56,13.38,10.11,36.05,34.95,35.21,35.06,35.55,26.0,170.69,43.75,31.0,6.0,104.44,10.0,55.06,30.0,29.0,False,True,False,False
Antonio_Prado_de_Minas,2015,1.077777777777778,7.0,21.0,168.48333333333332,13.39,10.76,9.72,37.7,37.8,37.19,36.23,36.38,25.0,153.19,132.56,17.0,11.0,154.88,16.0,127.69,31.0,10.0,False,True,False,False
Antonio_Prado_de_Minas,2016,0.9,9.0,15.0,129.3216666666667,13.73,11.04,12.45,36.92,39.33,35.34,36.35,37.87,27.0,263.81,62.62,26.0,12.0,169.25,20.0,117.69,19.0,15.0,False,True,False,False
Antonio_Prado_de_Minas,2017,0.8536585365853658,7.0,23.0,155.69750000000002,12.02,8.48,11.22,35.83,35.9,35.59,34.15,35.1,27.0,190.12,28.0,15.0,24.0,60.25,13.0,171.38,29.0,15.0,False,True,False,False
Antonio_Prado_de_Minas,2018,1.204819277108434,12.0,17.0,139.60083333333333,9.83,12.3,10.11,36.19,36.46,36.14,33.71,34.38,19.0,200.56,104.81,13.0,28.0,102.62,23.0,177.06,28.0,31.0,False,True,False,False
