number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_learning_rate,params_n_layers,state
0,0.14056870453476397,2026-01-03 23:09:26.373721,2026-01-03 23:09:37.982466,0 days 00:00:11.608745,0.12323344486727979,32,5.6115164153345e-05,3,COMPLETE
1,0.15099288975245054,2026-01-03 23:09:37.998467,2026-01-03 23:09:48.533594,0 days 00:00:10.535127,0.18493564427131048,96,0.0005399484409787432,2,COMPLETE
2,0.15932232136175442,2026-01-03 23:09:48.545074,2026-01-03 23:09:58.802666,0 days 00:00:10.257592,,64,2.3102018878452926e-05,1,COMPLETE
3,0.18974900044817394,2026-01-03 23:09:58.814427,2026-01-03 23:10:09.213917,0 days 00:00:10.399490,,128,0.00016738085788752134,1,COMPLETE
4,0.1344842455540265,2026-01-03 23:10:09.225481,2026-01-03 23:10:20.166087,0 days 00:00:10.940606,0.12602063719411183,96,2.5081156860452307e-05,2,COMPLETE
5,0.14419783437172493,2026-01-03 23:10:20.179029,2026-01-03 23:10:31.258704,0 days 00:00:11.079675,0.27606099749584057,32,0.000790261954970823,3,COMPLETE
6,0.17778965056928756,2026-01-03 23:10:31.272416,2026-01-03 23:10:41.845856,0 days 00:00:10.573440,0.2246844304357644,64,1.7541893487450798e-05,2,COMPLETE
7,0.14285823564496167,2026-01-03 23:10:41.856198,2026-01-03 23:10:52.466835,0 days 00:00:10.610637,0.4579309401710595,64,0.00010968217207529509,2,COMPLETE
8,0.16081358491722095,2026-01-03 23:10:52.477755,2026-01-03 23:11:04.944327,0 days 00:00:12.466572,0.25547091587579285,128,0.0001569639638866114,3,COMPLETE
9,0.13809257549189757,2026-01-03 23:11:04.955683,2026-01-03 23:11:16.212570,0 days 00:00:11.256887,0.42087879230161584,96,3.488976654890367e-05,3,COMPLETE
10,0.14005923145392715,2026-01-03 23:11:16.223869,2026-01-03 23:11:26.490875,0 days 00:00:10.267006,,96,1.1176284636053914e-05,1,COMPLETE
11,0.13417363929533327,2026-01-03 23:11:26.501951,2026-01-03 23:11:37.696376,0 days 00:00:11.194425,0.4185413303727785,96,4.260390924999258e-05,2,COMPLETE
12,0.13479193254388466,2026-01-03 23:11:37.712671,2026-01-03 23:11:48.382175,0 days 00:00:10.669504,0.37456142900281797,96,6.094046787183484e-05,2,COMPLETE
13,0.13409458282290312,2026-01-03 23:11:48.393781,2026-01-03 23:11:59.076326,0 days 00:00:10.682545,0.4005762462636999,96,3.8678194880473085e-05,2,COMPLETE
14,0.13443840197664642,2026-01-03 23:11:59.089450,2026-01-03 23:12:09.693607,0 days 00:00:10.604157,0.3576566958861141,96,4.999331067889133e-05,2,COMPLETE
15,0.1439976631974292,2026-01-03 23:12:09.704553,2026-01-03 23:12:20.660173,0 days 00:00:10.955620,0.49700582615477323,96,0.00021563835424139933,2,COMPLETE
16,0.16008192348478456,2026-01-03 23:12:20.672070,2026-01-03 23:12:30.985695,0 days 00:00:10.313625,,96,8.5598501211344e-05,1,COMPLETE
17,0.1530897342930533,2026-01-03 23:12:30.996268,2026-01-03 23:12:41.695701,0 days 00:00:10.699433,0.34934720124612645,32,1.0493393330708203e-05,2,COMPLETE
18,0.17355419756172166,2026-01-03 23:12:41.707060,2026-01-03 23:12:54.226158,0 days 00:00:12.519098,0.41227172225449027,128,0.00028961603572682067,3,COMPLETE
19,0.14543542967472223,2026-01-03 23:12:54.236865,2026-01-03 23:13:04.770804,0 days 00:00:10.533939,,96,3.6215740313922745e-05,1,COMPLETE
20,0.1345139827723565,2026-01-03 23:13:04.782908,2026-01-03 23:13:15.818426,0 days 00:00:11.035518,0.31082147283878153,96,8.961987380371809e-05,2,COMPLETE
21,0.13420942809908,2026-01-03 23:13:15.829793,2026-01-03 23:13:26.763777,0 days 00:00:10.933984,0.3520343268820955,96,4.431326257074161e-05,2,COMPLETE
22,0.13411771523272265,2026-01-03 23:13:26.774924,2026-01-03 23:13:38.246981,0 days 00:00:11.472057,0.42067789516749654,96,3.9747358153530675e-05,2,COMPLETE
23,0.13531983485879345,2026-01-03 23:13:38.260857,2026-01-03 23:13:49.337811,0 days 00:00:11.076954,0.4300006433496215,96,1.831086530913489e-05,2,COMPLETE
