number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_learning_rate,params_n_layers,state
0,0.1205438272288584,2026-01-14 21:23:26.632602,2026-01-14 21:23:35.015545,0 days 00:00:08.382943,0.4464704583099741,16,5.6115164153345e-05,3,COMPLETE
1,0.1284592788915925,2026-01-14 21:23:35.028694,2026-01-14 21:23:43.618297,0 days 00:00:08.589603,0.17336180394137352,32,0.00015930522616241006,3,COMPLETE
2,0.1498311706278404,2026-01-14 21:23:43.629644,2026-01-14 21:23:51.504595,0 days 00:00:07.874951,0.2465447373174767,64,4.059611610484306e-05,2,COMPLETE
3,0.11220835105973789,2026-01-14 21:23:51.516212,2026-01-14 21:24:00.918485,0 days 00:00:09.402273,0.16820964947491662,128,8.168455894760161e-05,3,COMPLETE
4,0.12075229964254736,2026-01-14 21:24:00.931805,2026-01-14 21:24:09.447321,0 days 00:00:08.515516,0.27606099749584057,16,1.3492834268013232e-05,3,COMPLETE
5,0.11807257156964973,2026-01-14 21:24:09.458084,2026-01-14 21:24:17.482486,0 days 00:00:08.024402,0.3080272084711243,32,1.7541893487450798e-05,2,COMPLETE
6,0.1270276128342768,2026-01-14 21:24:17.494329,2026-01-14 21:24:25.358250,0 days 00:00:07.863921,,16,0.00012399967836846095,1,COMPLETE
7,0.12685508159187064,2026-01-14 21:24:25.369507,2026-01-14 21:24:33.058017,0 days 00:00:07.688510,,96,0.0006978281265126031,1,COMPLETE
8,0.11921966070299832,2026-01-14 21:24:33.069400,2026-01-14 21:24:41.182831,0 days 00:00:08.113431,0.4947547746402069,96,0.00045443839603360173,2,COMPLETE
9,0.13791990107772223,2026-01-14 21:24:41.195481,2026-01-14 21:24:48.915199,0 days 00:00:07.719718,,32,0.0003503398491158688,1,COMPLETE
10,0.13309342486473877,2026-01-14 21:24:48.926995,2026-01-14 21:24:58.492006,0 days 00:00:09.565011,0.10718475024592788,128,4.194601131160366e-05,3,COMPLETE
11,0.12680411867745445,2026-01-14 21:24:58.503275,2026-01-14 21:25:07.189882,0 days 00:00:08.686607,0.355722082293279,128,1.2081219906763984e-05,2,COMPLETE
12,0.1263643964119398,2026-01-14 21:25:07.201493,2026-01-14 21:25:15.759319,0 days 00:00:08.557826,0.3469817891972084,128,2.0839208825582364e-05,2,COMPLETE
13,0.12484787187620763,2026-01-14 21:25:15.770647,2026-01-14 21:25:23.791771,0 days 00:00:08.021124,0.2099766607425738,32,7.850955853090534e-05,2,COMPLETE
14,0.17424076934684143,2026-01-14 21:25:23.802928,2026-01-14 21:25:32.405641,0 days 00:00:08.602713,0.34738797683506517,64,0.0002145156020800068,3,COMPLETE
15,0.12636176853283926,2026-01-14 21:25:32.416292,2026-01-14 21:25:41.049160,0 days 00:00:08.632868,0.11921763557736928,128,2.4681039543942834e-05,2,COMPLETE
16,0.12524448633250485,2026-01-14 21:25:41.061484,2026-01-14 21:25:49.187246,0 days 00:00:08.125762,0.19085560466035145,32,8.264582178771887e-05,2,COMPLETE
17,0.1293531736766504,2026-01-14 21:25:49.199632,2026-01-14 21:25:58.717797,0 days 00:00:09.518165,0.3035580348527156,128,2.457294813120775e-05,3,COMPLETE
