treino_id,unique_id,ds,y,y_pred,diferença_%,flag,dataset,modelo,comentario,data_treino
V43_cluster_0_2024,Aguanil,2023-12-31T00:00:00,1.717774762550882,1.5019747,12.56,validacao,V44,LSTM,"./Treinos/27_01_2026_sem_tranformacao_log/Modelos/V43_cluster_0_2024_(2024)
Modelo LSTM. Treino: 2012 a 2022. Validação: 2023. Teste: 2024.
Dataset: V44. Log Transform: Não.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração no dataset.
A Arquitetura foi alterada para que as camadas decodificador e decodificador sejam simétricas.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster_modelo_simetrico_sem_tranformacao_log/Teste_1_resultados_otimizacao_geral_14_01_2026.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: Dataset/V44
   - transformação logarítmica: não
   - ponderar erro por área: não


Hyperparams:
input_size: 10, h: 1, lr: 1.0017784287877426e-05, batch: 32, encoder n layers: 2, decoder layers: 2",2026-01-27T12:58:30
V43_cluster_0_2024,Alfenas,2023-12-31T00:00:00,1.698430922311519,1.6491075,2.9,validacao,V44,LSTM,"./Treinos/27_01_2026_sem_tranformacao_log/Modelos/V43_cluster_0_2024_(2024)
Modelo LSTM. Treino: 2012 a 2022. Validação: 2023. Teste: 2024.
Dataset: V44. Log Transform: Não.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração no dataset.
A Arquitetura foi alterada para que as camadas decodificador e decodificador sejam simétricas.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster_modelo_simetrico_sem_tranformacao_log/Teste_1_resultados_otimizacao_geral_14_01_2026.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: Dataset/V44
   - transformação logarítmica: não
   - ponderar erro por área: não


Hyperparams:
input_size: 10, h: 1, lr: 1.0017784287877426e-05, batch: 32, encoder n layers: 2, decoder layers: 2",2026-01-27T12:58:30
V43_cluster_0_2024,Alto_Caparao,2023-12-31T00:00:00,1.32,1.3945054,5.64,validacao,V44,LSTM,"./Treinos/27_01_2026_sem_tranformacao_log/Modelos/V43_cluster_0_2024_(2024)
Modelo LSTM. Treino: 2012 a 2022. Validação: 2023. Teste: 2024.
Dataset: V44. Log Transform: Não.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração no dataset.
A Arquitetura foi alterada para que as camadas decodificador e decodificador sejam simétricas.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster_modelo_simetrico_sem_tranformacao_log/Teste_1_resultados_otimizacao_geral_14_01_2026.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: Dataset/V44
   - transformação logarítmica: não
   - ponderar erro por área: não


Hyperparams:
input_size: 10, h: 1, lr: 1.0017784287877426e-05, batch: 32, encoder n layers: 2, decoder layers: 2",2026-01-27T12:58:30
V43_cluster_0_2024,Alto_Jequitiba,2023-12-31T00:00:00,1.08,1.271186,17.7,validacao,V44,LSTM,"./Treinos/27_01_2026_sem_tranformacao_log/Modelos/V43_cluster_0_2024_(2024)
Modelo LSTM. Treino: 2012 a 2022. Validação: 2023. Teste: 2024.
Dataset: V44. Log Transform: Não.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração no dataset.
A Arquitetura foi alterada para que as camadas decodificador e decodificador sejam simétricas.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster_modelo_simetrico_sem_tranformacao_log/Teste_1_resultados_otimizacao_geral_14_01_2026.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: Dataset/V44
   - transformação logarítmica: não
   - ponderar erro por área: não


Hyperparams:
input_size: 10, h: 1, lr: 1.0017784287877426e-05, batch: 32, encoder n layers: 2, decoder layers: 2",2026-01-27T12:58:30
V43_cluster_0_2024,Amparo_do_Serra,2023-12-31T00:00:00,1.319444444444444,1.2261703,7.07,validacao,V44,LSTM,"./Treinos/27_01_2026_sem_tranformacao_log/Modelos/V43_cluster_0_2024_(2024)
Modelo LSTM. Treino: 2012 a 2022. Validação: 2023. Teste: 2024.
Dataset: V44. Log Transform: Não.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração no dataset.
A Arquitetura foi alterada para que as camadas decodificador e decodificador sejam simétricas.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster_modelo_simetrico_sem_tranformacao_log/Teste_1_resultados_otimizacao_geral_14_01_2026.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: Dataset/V44
   - transformação logarítmica: não
   - ponderar erro por área: não


Hyperparams:
input_size: 10, h: 1, lr: 1.0017784287877426e-05, batch: 32, encoder n layers: 2, decoder layers: 2",2026-01-27T12:58:30
V43_cluster_0_2024,Araponga,2023-12-31T00:00:00,1.5,1.2479724,16.8,validacao,V44,LSTM,"./Treinos/27_01_2026_sem_tranformacao_log/Modelos/V43_cluster_0_2024_(2024)
Modelo LSTM. Treino: 2012 a 2022. Validação: 2023. Teste: 2024.
Dataset: V44. Log Transform: Não.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração no dataset.
A Arquitetura foi alterada para que as camadas decodificador e decodificador sejam simétricas.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster_modelo_simetrico_sem_tranformacao_log/Teste_1_resultados_otimizacao_geral_14_01_2026.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: Dataset/V44
   - transformação logarítmica: não
   - ponderar erro por área: não


Hyperparams:
input_size: 10, h: 1, lr: 1.0017784287877426e-05, batch: 32, encoder n layers: 2, decoder layers: 2",2026-01-27T12:58:30
V43_cluster_0_2024,Astolfo_Dutra,2023-12-31T00:00:00,0.625,1.1399359,82.39,validacao,V44,LSTM,"./Treinos/27_01_2026_sem_tranformacao_log/Modelos/V43_cluster_0_2024_(2024)
Modelo LSTM. Treino: 2012 a 2022. Validação: 2023. Teste: 2024.
Dataset: V44. Log Transform: Não.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração no dataset.
A Arquitetura foi alterada para que as camadas decodificador e decodificador sejam simétricas.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster_modelo_simetrico_sem_tranformacao_log/Teste_1_resultados_otimizacao_geral_14_01_2026.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: Dataset/V44
   - transformação logarítmica: não
   - ponderar erro por área: não


Hyperparams:
input_size: 10, h: 1, lr: 1.0017784287877426e-05, batch: 32, encoder n layers: 2, decoder layers: 2",2026-01-27T12:58:30
V43_cluster_0_2024,Bambui,2023-12-31T00:00:00,1.5,1.4943043,0.38,validacao,V44,LSTM,"./Treinos/27_01_2026_sem_tranformacao_log/Modelos/V43_cluster_0_2024_(2024)
Modelo LSTM. Treino: 2012 a 2022. Validação: 2023. Teste: 2024.
Dataset: V44. Log Transform: Não.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração no dataset.
A Arquitetura foi alterada para que as camadas decodificador e decodificador sejam simétricas.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster_modelo_simetrico_sem_tranformacao_log/Teste_1_resultados_otimizacao_geral_14_01_2026.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: Dataset/V44
   - transformação logarítmica: não
   - ponderar erro por área: não


Hyperparams:
input_size: 10, h: 1, lr: 1.0017784287877426e-05, batch: 32, encoder n layers: 2, decoder layers: 2",2026-01-27T12:58:30
V43_cluster_0_2024,Boa_Esperanca,2023-12-31T00:00:00,1.08,1.5722605,45.58,validacao,V44,LSTM,"./Treinos/27_01_2026_sem_tranformacao_log/Modelos/V43_cluster_0_2024_(2024)
Modelo LSTM. Treino: 2012 a 2022. Validação: 2023. Teste: 2024.
Dataset: V44. Log Transform: Não.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração no dataset.
A Arquitetura foi alterada para que as camadas decodificador e decodificador sejam simétricas.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster_modelo_simetrico_sem_tranformacao_log/Teste_1_resultados_otimizacao_geral_14_01_2026.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: Dataset/V44
   - transformação logarítmica: não
   - ponderar erro por área: não


Hyperparams:
input_size: 10, h: 1, lr: 1.0017784287877426e-05, batch: 32, encoder n layers: 2, decoder layers: 2",2026-01-27T12:58:30
V43_cluster_0_2024,Bom_Jesus_do_Galho,2023-12-31T00:00:00,1.200319233838787,0.9666007,19.47,validacao,V44,LSTM,"./Treinos/27_01_2026_sem_tranformacao_log/Modelos/V43_cluster_0_2024_(2024)
Modelo LSTM. Treino: 2012 a 2022. Validação: 2023. Teste: 2024.
Dataset: V44. Log Transform: Não.
Obs: 27_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.
Neste teste o ajustes base foi feito apenas a ajuste dos hiperparâmetros, sem alteração no dataset.
A Arquitetura foi alterada para que as camadas decodificador e decodificador sejam simétricas.
Arquivo com os hiperparâmetros: Teste_1_reuniao_16_dez_Ajuste_parametros_por_cluster_modelo_simetrico_sem_tranformacao_log/Teste_1_resultados_otimizacao_geral_14_01_2026.json.
Seeds usadas:
   - global seed: 42 # Seed para os pontos que devem ser definidos antes de iniciar algumas bibliotecas.
   - seed modelos: 42 # seed específica obtida via optuna para os modelos e set_reproducibility.

Configuraçẽos do dataset:
   - Dataset: Dataset/V44
   - transformação logarítmica: não
   - ponderar erro por área: não


Hyperparams:
input_size: 10, h: 1, lr: 1.0017784287877426e-05, batch: 32, encoder n layers: 2, decoder layers: 2",2026-01-27T12:58:30
