number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_learning_rate,params_n_layers,state
0,0.2976242399317441,2026-01-17 12:39:10.605479,2026-01-17 12:39:19.446692,0 days 00:00:08.841213,0.4464704583099741,16,5.6115164153345e-05,3,COMPLETE
1,0.4641669674384729,2026-01-17 12:39:19.462571,2026-01-17 12:39:28.369642,0 days 00:00:08.907071,0.17336180394137352,32,0.00015930522616241006,3,COMPLETE
2,0.3930598553872486,2026-01-17 12:39:28.382325,2026-01-17 12:39:36.609918,0 days 00:00:08.227593,0.2465447373174767,64,4.059611610484306e-05,2,COMPLETE
3,0.553082716679525,2026-01-17 12:39:36.621179,2026-01-17 12:39:46.348071,0 days 00:00:09.726892,0.16820964947491662,128,8.168455894760161e-05,3,COMPLETE
4,0.2548646544709832,2026-01-17 12:39:46.360068,2026-01-17 12:39:55.168125,0 days 00:00:08.808057,0.27606099749584057,16,1.3492834268013232e-05,3,COMPLETE
5,0.23476308334056342,2026-01-17 12:39:55.182298,2026-01-17 12:40:03.531731,0 days 00:00:08.349433,0.3080272084711243,32,1.7541893487450798e-05,2,COMPLETE
6,0.2852403090642064,2026-01-17 12:40:03.546863,2026-01-17 12:40:11.533620,0 days 00:00:07.986757,,16,0.00012399967836846095,1,COMPLETE
7,0.35620495494332033,2026-01-17 12:40:11.545189,2026-01-17 12:40:19.381307,0 days 00:00:07.836118,,96,0.0006978281265126031,1,COMPLETE
8,0.5605544908501651,2026-01-17 12:40:19.392626,2026-01-17 12:40:27.730255,0 days 00:00:08.337629,0.4947547746402069,96,0.00045443839603360173,2,COMPLETE
9,0.2996348592780953,2026-01-17 12:40:27.741149,2026-01-17 12:40:35.927034,0 days 00:00:08.185885,,32,0.0003503398491158688,1,COMPLETE
10,0.22218455952725147,2026-01-17 12:40:35.937387,2026-01-17 12:40:44.152034,0 days 00:00:08.214647,0.36850754592708684,32,1.1014512904527948e-05,2,COMPLETE
11,0.22162256014805032,2026-01-17 12:40:44.165873,2026-01-17 12:40:52.572611,0 days 00:00:08.406738,0.3906255458091984,32,1.0708868272561698e-05,2,COMPLETE
12,0.25008110004497486,2026-01-17 12:40:52.585103,2026-01-17 12:41:00.873752,0 days 00:00:08.288649,0.37886235933603785,32,2.4463433288702815e-05,2,COMPLETE
13,0.2224204945449367,2026-01-17 12:41:00.884958,2026-01-17 12:41:09.193370,0 days 00:00:08.308412,0.38088754289219606,32,1.1141186106662803e-05,2,COMPLETE
14,0.37391352659312993,2026-01-17 12:41:09.203832,2026-01-17 12:41:17.409060,0 days 00:00:08.205228,0.37919507237109834,64,2.7538597967232048e-05,2,COMPLETE
15,0.34614637090787564,2026-01-17 12:41:17.420228,2026-01-17 12:41:25.587048,0 days 00:00:08.166820,,128,2.6605845465529855e-05,1,COMPLETE
16,0.224629789508121,2026-01-17 12:41:25.598918,2026-01-17 12:41:34.022787,0 days 00:00:08.423869,0.3392658596019897,32,1.2328062566476195e-05,2,COMPLETE
