number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.5435011023782051,2025-12-22 21:02:53.270579,2025-12-22 21:03:20.658970,0 days 00:00:27.388391,5.6115164153345e-05,COMPLETE
1,0.29927819228427927,2025-12-22 21:03:20.678705,2025-12-22 21:03:47.958656,0 days 00:00:27.279951,0.0007969454818643932,COMPLETE
2,0.5678493755761838,2025-12-22 21:03:47.973707,2025-12-22 21:04:14.993218,0 days 00:00:27.019511,0.000291063591313307,COMPLETE
3,0.7310934921250535,2025-12-22 21:04:15.004115,2025-12-22 21:04:41.643172,0 days 00:00:26.639057,0.00015751320499779721,COMPLETE
4,0.5209184154804041,2025-12-22 21:04:41.653228,2025-12-22 21:05:08.163847,0 days 00:00:26.510619,2.0513382630874486e-05,COMPLETE
5,0.5209185422591427,2025-12-22 21:05:08.178262,2025-12-22 21:05:35.460913,0 days 00:00:27.282651,2.0511104188433963e-05,COMPLETE
6,0.5261668980039804,2025-12-22 21:05:35.472381,2025-12-22 21:06:02.793359,0 days 00:00:27.320978,1.3066739238053272e-05,COMPLETE
7,0.34433866645230665,2025-12-22 21:06:02.804065,2025-12-22 21:06:29.617859,0 days 00:00:26.813794,0.0005399484409787432,COMPLETE
8,0.7303912697679088,2025-12-22 21:06:29.633455,2025-12-22 21:06:56.619722,0 days 00:00:26.986267,0.00015930522616241006,COMPLETE
9,0.6197162358100533,2025-12-22 21:06:56.633279,2025-12-22 21:07:23.159044,0 days 00:00:26.525765,0.0002607024758370766,COMPLETE
10,0.28969481541597736,2025-12-22 21:07:23.169054,2025-12-22 21:07:49.804427,0 days 00:00:26.635373,0.0009098916702684729,COMPLETE
11,0.24410753813910527,2025-12-22 21:07:49.815152,2025-12-22 21:08:16.336917,0 days 00:00:26.521765,0.0007340472227986773,COMPLETE
12,0.28358554646692646,2025-12-22 21:08:16.349463,2025-12-22 21:08:43.126947,0 days 00:00:26.777484,0.0009158884209850541,COMPLETE
13,0.3290970266890836,2025-12-22 21:08:43.140493,2025-12-22 21:09:09.719790,0 days 00:00:26.579297,0.000426942727320054,COMPLETE
14,0.567429935561563,2025-12-22 21:09:09.731796,2025-12-22 21:09:36.465381,0 days 00:00:26.733585,6.52151967342151e-05,COMPLETE
15,0.3419675402967987,2025-12-22 21:09:36.476605,2025-12-22 21:10:03.142253,0 days 00:00:26.665648,0.0005247086148453281,COMPLETE
16,0.28509532679389876,2025-12-22 21:10:03.153483,2025-12-22 21:10:29.848401,0 days 00:00:26.694918,0.0009443567921913516,COMPLETE
17,0.5942162068449692,2025-12-22 21:10:29.860163,2025-12-22 21:10:56.403049,0 days 00:00:26.542886,0.0002786459809444611,COMPLETE
18,0.7079248983509321,2025-12-22 21:10:56.414652,2025-12-22 21:11:22.974921,0 days 00:00:26.560269,0.00012448484478535575,COMPLETE
19,0.546511767852375,2025-12-22 21:11:22.987937,2025-12-22 21:11:50.609069,0 days 00:00:27.621132,5.743921379695772e-05,COMPLETE
20,0.3312607274501979,2025-12-22 21:11:50.620849,2025-12-22 21:12:17.726569,0 days 00:00:27.105720,0.00041921001319826414,COMPLETE
21,0.28689167812307786,2025-12-22 21:12:17.738153,2025-12-22 21:12:44.972724,0 days 00:00:27.234571,0.000890302131857985,COMPLETE
22,0.23527254114246113,2025-12-22 21:12:44.988642,2025-12-22 21:13:12.644477,0 days 00:00:27.655835,0.0007073888873795032,COMPLETE
23,0.3343150763241759,2025-12-22 21:13:12.667972,2025-12-22 21:13:39.749671,0 days 00:00:27.081699,0.0006044277997968677,COMPLETE
24,0.4279925833135103,2025-12-22 21:13:39.761816,2025-12-22 21:14:06.779458,0 days 00:00:27.017642,0.00034207535235921316,COMPLETE
25,0.6824048891201409,2025-12-22 21:14:06.791294,2025-12-22 21:14:33.731216,0 days 00:00:26.939922,0.0002110157827977784,COMPLETE
26,0.29042750889647967,2025-12-22 21:14:33.742976,2025-12-22 21:15:01.256126,0 days 00:00:27.513150,0.0006486433827304194,COMPLETE
27,0.3188557026886016,2025-12-22 21:15:01.269350,2025-12-22 21:15:28.652565,0 days 00:00:27.383215,0.0004079615604397433,COMPLETE
28,0.22137894460105312,2025-12-22 21:15:28.665303,2025-12-22 21:15:55.988840,0 days 00:00:27.323537,0.0006631203807921704,COMPLETE
29,0.6026775289371304,2025-12-22 21:15:56.003472,2025-12-22 21:16:23.217880,0 days 00:00:27.214408,7.396153651063981e-05,COMPLETE
30,0.6988830978169963,2025-12-22 21:16:23.229642,2025-12-22 21:16:50.286570,0 days 00:00:27.056928,0.00020230486198944854,COMPLETE
31,0.23912421669030737,2025-12-22 21:16:50.298128,2025-12-22 21:17:17.035015,0 days 00:00:26.736887,0.0007006104795057098,COMPLETE
32,0.2327929192025507,2025-12-22 21:17:17.049996,2025-12-22 21:17:43.929798,0 days 00:00:26.879802,0.0007009652753801021,COMPLETE
33,0.3400637980512252,2025-12-22 21:17:43.941716,2025-12-22 21:18:11.024840,0 days 00:00:27.083124,0.0005068474136397001,COMPLETE
34,0.23252696534791273,2025-12-22 21:18:11.036911,2025-12-22 21:18:38.207931,0 days 00:00:27.171020,0.000712493476448692,COMPLETE
35,0.4980716597564963,2025-12-22 21:18:38.220888,2025-12-22 21:19:04.863766,0 days 00:00:26.642878,0.00032258944508778284,COMPLETE
36,0.5195056480036261,2025-12-22 21:19:04.877940,2025-12-22 21:19:31.769505,0 days 00:00:26.891565,3.7035713970787873e-05,COMPLETE
37,0.20481793230556863,2025-12-22 21:19:31.780657,2025-12-22 21:19:58.759274,0 days 00:00:26.978617,0.0006940715153939673,COMPLETE
38,0.3253496079860111,2025-12-22 21:19:58.771987,2025-12-22 21:20:25.528444,0 days 00:00:26.756457,0.00043718129486991475,COMPLETE
39,0.6956824764601836,2025-12-22 21:20:25.541080,2025-12-22 21:20:53.774842,0 days 00:00:28.233762,0.00010713733223183138,COMPLETE
40,0.6472431741110151,2025-12-22 21:20:53.791028,2025-12-22 21:21:21.838596,0 days 00:00:28.047568,0.00023860849650071285,COMPLETE
41,0.22976669517563345,2025-12-22 21:21:21.854315,2025-12-22 21:21:49.704814,0 days 00:00:27.850499,0.0007113497256538334,COMPLETE
42,0.34169012310501906,2025-12-22 21:21:49.716072,2025-12-22 21:22:16.421437,0 days 00:00:26.705365,0.0005789601992188713,COMPLETE
43,0.2707546854467131,2025-12-22 21:22:16.432408,2025-12-22 21:22:43.107410,0 days 00:00:26.675002,0.0009838525939931733,COMPLETE
44,0.41159866291520364,2025-12-22 21:22:43.117837,2025-12-22 21:23:09.706949,0 days 00:00:26.589112,0.0003491572166684211,COMPLETE
45,0.2836027421164249,2025-12-22 21:23:09.721139,2025-12-22 21:23:36.398765,0 days 00:00:26.677626,0.0007599263026129624,COMPLETE
46,0.3511916655212088,2025-12-22 21:23:36.409378,2025-12-22 21:24:03.207446,0 days 00:00:26.798068,0.0005205283084827584,COMPLETE
47,0.5186290358104433,2025-12-22 21:24:03.231425,2025-12-22 21:24:31.065580,0 days 00:00:27.834155,3.521211031940394e-05,COMPLETE
48,0.2850201842983679,2025-12-22 21:24:31.077152,2025-12-22 21:24:57.616918,0 days 00:00:26.539766,0.000822646733673852,COMPLETE
49,0.33526970315680155,2025-12-22 21:24:57.628048,2025-12-22 21:25:25.094315,0 days 00:00:27.466267,0.0004713649724847721,COMPLETE
50,0.7264553817062489,2025-12-22 21:25:25.105966,2025-12-22 21:25:52.590519,0 days 00:00:27.484553,0.000167085072238002,COMPLETE
51,0.21982254664710282,2025-12-22 21:25:52.601844,2025-12-22 21:26:19.108860,0 days 00:00:26.507016,0.0006860849435469213,COMPLETE
52,0.3337287921676704,2025-12-22 21:26:19.123584,2025-12-22 21:26:45.753895,0 days 00:00:26.630311,0.0006101475212820569,COMPLETE
53,0.30042373235361725,2025-12-22 21:26:45.765010,2025-12-22 21:27:12.378085,0 days 00:00:26.613075,0.0007846851081481734,COMPLETE
54,0.35186716844369437,2025-12-22 21:27:12.389726,2025-12-22 21:27:39.513981,0 days 00:00:27.124255,0.00037747073546209756,COMPLETE
55,0.3317808019989872,2025-12-22 21:27:39.525873,2025-12-22 21:28:07.593530,0 days 00:00:28.067657,0.000620084730980712,COMPLETE
56,0.2212928503289289,2025-12-22 21:28:07.606308,2025-12-22 21:28:34.803185,0 days 00:00:27.196877,0.0009874041510610592,COMPLETE
57,0.5272394225310177,2025-12-22 21:28:34.815334,2025-12-22 21:29:02.873810,0 days 00:00:28.058476,1.1723991339534382e-05,COMPLETE
58,0.3027196671932528,2025-12-22 21:29:02.886905,2025-12-22 21:29:30.280559,0 days 00:00:27.393654,0.0007878586974270198,COMPLETE
