treino_id,unique_id,ds,y,y_pred,diferença_%,flag,dataset,modelo,comentario,data_treino
V43_cluster_0_2020,Aguanil,2019-12-31T00:00:00,1.8000000000000005,1.4465421,19.64,validacao,V44,LSTM,"./Treinos/04_01_2026_teste_1_ajuste_parametros/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44.
Obs: 04_01_2026: Treinamento realizado com os parametros encontrado durante o ajsutes de hiperparametros realizados na data 04/01/2026 e salvos no diretorio Teste_reuniao_16_dez.
O dataset usado contem os 5 clusters. Foram ajustaos os parametros: learning_rate, n_layers, hidden_size e dropout

Hyperparams:
input_size: -1h: 1lr: 5.249544776445198e-05batch: 32encoder n layers: 4decoder layers: 1",2026-01-04T12:14:10
V43_cluster_0_2020,Alfenas,2019-12-31T00:00:00,1.7572173913043478,1.7693179,0.69,validacao,V44,LSTM,"./Treinos/04_01_2026_teste_1_ajuste_parametros/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44.
Obs: 04_01_2026: Treinamento realizado com os parametros encontrado durante o ajsutes de hiperparametros realizados na data 04/01/2026 e salvos no diretorio Teste_reuniao_16_dez.
O dataset usado contem os 5 clusters. Foram ajustaos os parametros: learning_rate, n_layers, hidden_size e dropout

Hyperparams:
input_size: -1h: 1lr: 5.249544776445198e-05batch: 32encoder n layers: 4decoder layers: 1",2026-01-04T12:14:10
V43_cluster_0_2020,Alto_Caparao,2019-12-31T00:00:00,1.32,1.3327018,0.96,validacao,V44,LSTM,"./Treinos/04_01_2026_teste_1_ajuste_parametros/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44.
Obs: 04_01_2026: Treinamento realizado com os parametros encontrado durante o ajsutes de hiperparametros realizados na data 04/01/2026 e salvos no diretorio Teste_reuniao_16_dez.
O dataset usado contem os 5 clusters. Foram ajustaos os parametros: learning_rate, n_layers, hidden_size e dropout

Hyperparams:
input_size: -1h: 1lr: 5.249544776445198e-05batch: 32encoder n layers: 4decoder layers: 1",2026-01-04T12:14:10
V43_cluster_0_2020,Alto_Jequitiba,2019-12-31T00:00:00,1.5,1.4110427,5.93,validacao,V44,LSTM,"./Treinos/04_01_2026_teste_1_ajuste_parametros/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44.
Obs: 04_01_2026: Treinamento realizado com os parametros encontrado durante o ajsutes de hiperparametros realizados na data 04/01/2026 e salvos no diretorio Teste_reuniao_16_dez.
O dataset usado contem os 5 clusters. Foram ajustaos os parametros: learning_rate, n_layers, hidden_size e dropout

Hyperparams:
input_size: -1h: 1lr: 5.249544776445198e-05batch: 32encoder n layers: 4decoder layers: 1",2026-01-04T12:14:10
V43_cluster_0_2020,Amparo_do_Serra,2019-12-31T00:00:00,1.260869565217391,1.1657009,7.55,validacao,V44,LSTM,"./Treinos/04_01_2026_teste_1_ajuste_parametros/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44.
Obs: 04_01_2026: Treinamento realizado com os parametros encontrado durante o ajsutes de hiperparametros realizados na data 04/01/2026 e salvos no diretorio Teste_reuniao_16_dez.
O dataset usado contem os 5 clusters. Foram ajustaos os parametros: learning_rate, n_layers, hidden_size e dropout

Hyperparams:
input_size: -1h: 1lr: 5.249544776445198e-05batch: 32encoder n layers: 4decoder layers: 1",2026-01-04T12:14:10
V43_cluster_0_2020,Araponga,2019-12-31T00:00:00,0.9,1.2965249,44.06,validacao,V44,LSTM,"./Treinos/04_01_2026_teste_1_ajuste_parametros/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44.
Obs: 04_01_2026: Treinamento realizado com os parametros encontrado durante o ajsutes de hiperparametros realizados na data 04/01/2026 e salvos no diretorio Teste_reuniao_16_dez.
O dataset usado contem os 5 clusters. Foram ajustaos os parametros: learning_rate, n_layers, hidden_size e dropout

Hyperparams:
input_size: -1h: 1lr: 5.249544776445198e-05batch: 32encoder n layers: 4decoder layers: 1",2026-01-04T12:14:10
V43_cluster_0_2020,Astolfo_Dutra,2019-12-31T00:00:00,1.2,1.2248476,2.07,validacao,V44,LSTM,"./Treinos/04_01_2026_teste_1_ajuste_parametros/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44.
Obs: 04_01_2026: Treinamento realizado com os parametros encontrado durante o ajsutes de hiperparametros realizados na data 04/01/2026 e salvos no diretorio Teste_reuniao_16_dez.
O dataset usado contem os 5 clusters. Foram ajustaos os parametros: learning_rate, n_layers, hidden_size e dropout

Hyperparams:
input_size: -1h: 1lr: 5.249544776445198e-05batch: 32encoder n layers: 4decoder layers: 1",2026-01-04T12:14:10
V43_cluster_0_2020,Bambui,2019-12-31T00:00:00,1.26,1.5943351,26.53,validacao,V44,LSTM,"./Treinos/04_01_2026_teste_1_ajuste_parametros/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44.
Obs: 04_01_2026: Treinamento realizado com os parametros encontrado durante o ajsutes de hiperparametros realizados na data 04/01/2026 e salvos no diretorio Teste_reuniao_16_dez.
O dataset usado contem os 5 clusters. Foram ajustaos os parametros: learning_rate, n_layers, hidden_size e dropout

Hyperparams:
input_size: -1h: 1lr: 5.249544776445198e-05batch: 32encoder n layers: 4decoder layers: 1",2026-01-04T12:14:10
V43_cluster_0_2020,Boa_Esperanca,2019-12-31T00:00:00,1.92,1.6335832,14.92,validacao,V44,LSTM,"./Treinos/04_01_2026_teste_1_ajuste_parametros/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44.
Obs: 04_01_2026: Treinamento realizado com os parametros encontrado durante o ajsutes de hiperparametros realizados na data 04/01/2026 e salvos no diretorio Teste_reuniao_16_dez.
O dataset usado contem os 5 clusters. Foram ajustaos os parametros: learning_rate, n_layers, hidden_size e dropout

Hyperparams:
input_size: -1h: 1lr: 5.249544776445198e-05batch: 32encoder n layers: 4decoder layers: 1",2026-01-04T12:14:10
V43_cluster_0_2020,Bom_Jesus_do_Galho,2019-12-31T00:00:00,1.080232558139535,1.0548213,2.35,validacao,V44,LSTM,"./Treinos/04_01_2026_teste_1_ajuste_parametros/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44.
Obs: 04_01_2026: Treinamento realizado com os parametros encontrado durante o ajsutes de hiperparametros realizados na data 04/01/2026 e salvos no diretorio Teste_reuniao_16_dez.
O dataset usado contem os 5 clusters. Foram ajustaos os parametros: learning_rate, n_layers, hidden_size e dropout

Hyperparams:
input_size: -1h: 1lr: 5.249544776445198e-05batch: 32encoder n layers: 4decoder layers: 1",2026-01-04T12:14:10
