treino_id,unique_id,ds,y,y_pred,diferença_%,flag,dataset,modelo,comentario,data_treino
V43_cluster_0_2020,Aguanil,2019-12-31T00:00:00,1.8,1.335984,25.78,validacao,V44,LSTM,"./Treinos/07_01_2026_Ajuste_seed_3_sem_log/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Não.
Obs: 07_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.

Hyperparams:
input_size: -1, h: 1, lr: 5.249544776445198e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-14T20:02:57
V43_cluster_0_2020,Alfenas,2019-12-31T00:00:00,1.757217391304348,1.6748542,4.69,validacao,V44,LSTM,"./Treinos/07_01_2026_Ajuste_seed_3_sem_log/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Não.
Obs: 07_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.

Hyperparams:
input_size: -1, h: 1, lr: 5.249544776445198e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-14T20:02:57
V43_cluster_0_2020,Alto_Caparao,2019-12-31T00:00:00,1.32,1.4097753,6.8,validacao,V44,LSTM,"./Treinos/07_01_2026_Ajuste_seed_3_sem_log/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Não.
Obs: 07_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.

Hyperparams:
input_size: -1, h: 1, lr: 5.249544776445198e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-14T20:02:57
V43_cluster_0_2020,Alto_Jequitiba,2019-12-31T00:00:00,1.5,1.4241573,5.06,validacao,V44,LSTM,"./Treinos/07_01_2026_Ajuste_seed_3_sem_log/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Não.
Obs: 07_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.

Hyperparams:
input_size: -1, h: 1, lr: 5.249544776445198e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-14T20:02:57
V43_cluster_0_2020,Amparo_do_Serra,2019-12-31T00:00:00,1.260869565217391,1.1730905,6.96,validacao,V44,LSTM,"./Treinos/07_01_2026_Ajuste_seed_3_sem_log/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Não.
Obs: 07_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.

Hyperparams:
input_size: -1, h: 1, lr: 5.249544776445198e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-14T20:02:57
V43_cluster_0_2020,Araponga,2019-12-31T00:00:00,0.9,1.2909169,43.44,validacao,V44,LSTM,"./Treinos/07_01_2026_Ajuste_seed_3_sem_log/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Não.
Obs: 07_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.

Hyperparams:
input_size: -1, h: 1, lr: 5.249544776445198e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-14T20:02:57
V43_cluster_0_2020,Astolfo_Dutra,2019-12-31T00:00:00,1.2,1.2989329,8.24,validacao,V44,LSTM,"./Treinos/07_01_2026_Ajuste_seed_3_sem_log/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Não.
Obs: 07_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.

Hyperparams:
input_size: -1, h: 1, lr: 5.249544776445198e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-14T20:02:57
V43_cluster_0_2020,Bambui,2019-12-31T00:00:00,1.26,1.6042919,27.32,validacao,V44,LSTM,"./Treinos/07_01_2026_Ajuste_seed_3_sem_log/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Não.
Obs: 07_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.

Hyperparams:
input_size: -1, h: 1, lr: 5.249544776445198e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-14T20:02:57
V43_cluster_0_2020,Boa_Esperanca,2019-12-31T00:00:00,1.92,1.4849901,22.66,validacao,V44,LSTM,"./Treinos/07_01_2026_Ajuste_seed_3_sem_log/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Não.
Obs: 07_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.

Hyperparams:
input_size: -1, h: 1, lr: 5.249544776445198e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-14T20:02:57
V43_cluster_0_2020,Bom_Jesus_do_Galho,2019-12-31T00:00:00,1.080232558139535,1.07423,0.56,validacao,V44,LSTM,"./Treinos/07_01_2026_Ajuste_seed_3_sem_log/Modelos/V43_cluster_0_2020_(2020)
Modelo LSTM. Treino: 2012 a 2018. Validação: 2019. Teste: 2020.
Dataset: V44. Log Transform: Não.
Obs: 07_01_2026: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 311 combinações de seed.
O dataset usado contem os 5 clusters.
Neste não sera usada a transformação logarítmica.

Hyperparams:
input_size: -1, h: 1, lr: 5.249544776445198e-05, batch: 32, encoder n layers: 4, decoder layers: 1",2026-01-14T20:02:57
