epoch,step,train_loss_epoch,train_loss_step
0,12,0.8195407390594482,
1,25,0.8325308561325073,
2,38,0.7384691834449768,
3,49,,0.9653951525688171
3,51,0.7263013124465942,
4,64,0.7172260880470276,
5,77,0.6168347001075745,
6,90,0.6333310008049011,
7,99,,0.6521173715591431
7,103,0.6350003480911255,
8,116,0.6048330664634705,
9,129,0.5639728903770447,
10,142,0.5270197987556458,
11,149,,0.9590320587158203
11,155,0.5383215546607971,
12,168,0.5252622961997986,
13,181,0.5230264663696289,
14,194,0.5215334296226501,
15,199,,0.4776758551597595
15,207,0.5713009238243103,
16,220,0.5705494284629822,
17,233,0.40792492032051086,
18,246,0.42119792103767395,
19,249,,0.4678417444229126
19,259,0.40014079213142395,
20,272,0.43528416752815247,
21,285,0.42857301235198975,
22,298,0.3864884078502655,
23,299,,0.17636287212371826
23,311,0.3700087368488312,
24,324,0.31652337312698364,
25,337,0.375102162361145,
26,349,,0.32336515188217163
26,350,0.3381153345108032,
27,363,0.3002794682979584,
28,376,0.2819458246231079,
29,389,0.2669575810432434,
30,399,,0.1469973921775818
30,402,0.29258114099502563,
31,415,0.22974132001399994,
32,428,0.257053941488266,
33,441,0.28091129660606384,
34,449,,0.34080207347869873
34,454,0.2658469080924988,
35,467,0.25101205706596375,
36,480,0.22015269100666046,
37,493,0.24721696972846985,
38,499,,0.1663169264793396
38,506,0.20041409134864807,
39,519,0.15085859596729279,
40,532,0.1709039807319641,
41,545,0.13683535158634186,
42,549,,0.08975882828235626
42,558,0.14090587198734283,
43,571,0.11145111173391342,
44,584,0.16277305781841278,
45,597,0.1414497047662735,
46,599,,0.08214372396469116
46,610,0.14475317299365997,
47,623,0.13723209500312805,
48,636,0.14099909365177155,
49,649,,0.062418825924396515
49,649,0.13071809709072113,
50,662,0.09495297819375992,
51,675,0.14132048189640045,
52,688,0.08723865449428558,
53,699,,0.15144984424114227
53,701,0.11733247339725494,
54,714,0.1136956661939621,
55,727,0.1394677311182022,
56,740,0.13339270651340485,
57,749,,0.07043381035327911
57,753,0.12259500473737717,
58,766,0.14241592586040497,
59,779,0.10501158237457275,
60,792,0.10158360749483109,
61,799,,0.07738576084375381
61,805,0.11364743113517761,
62,818,0.10790988057851791,
63,831,0.1393285095691681,
64,844,0.09949523955583572,
65,849,,0.4090258777141571
65,857,0.12448813021183014,
66,870,0.10049502551555634,
67,883,0.09056585282087326,
68,896,0.12143458425998688,
69,899,,0.027503889054059982
69,909,0.08894430845975876,
70,922,0.12641246616840363,
71,935,0.12819266319274902,
72,948,0.11153189837932587,
73,949,,0.10549897700548172
73,961,0.08884786814451218,
74,974,0.17592769861221313,
75,987,0.11626844108104706,
76,999,,0.03828908130526543
76,999,0.09104745835065842,
