treino_id,unique_id,ds,y,y_pred,diferença_%,flag,dataset,modelo,comentario,data_treino
IBGE - Cluster V5 Cluster 3 Teste (2022),Aguanil,2012-12-31T00:00:00,1.38,-,-,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Cluster 3 Teste (2022)
        Modelo LSTM treinado com dados de 2012 a 2020, validado com os dados de 2021 e testado com os dados de 2022.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Os dados incluem as safras de 2024 e 2025. Sendo que 2025 não possui dados reais, apenas previsão.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 4
        learning_rate: 0.0015883477260597609
        encoder_hidden_size: 64
        decoder_layers: 3
        decoder_hidden_size: 192
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 700
        ",2025-09-23T09:52:42
IBGE - Cluster V5 Cluster 3 Teste (2022),Aguanil,2013-12-31T00:00:00,1.2,-,-,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Cluster 3 Teste (2022)
        Modelo LSTM treinado com dados de 2012 a 2020, validado com os dados de 2021 e testado com os dados de 2022.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Os dados incluem as safras de 2024 e 2025. Sendo que 2025 não possui dados reais, apenas previsão.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 4
        learning_rate: 0.0015883477260597609
        encoder_hidden_size: 64
        decoder_layers: 3
        decoder_hidden_size: 192
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 700
        ",2025-09-23T09:52:42
IBGE - Cluster V5 Cluster 3 Teste (2022),Aguanil,2014-12-31T00:00:00,0.9,-,-,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Cluster 3 Teste (2022)
        Modelo LSTM treinado com dados de 2012 a 2020, validado com os dados de 2021 e testado com os dados de 2022.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Os dados incluem as safras de 2024 e 2025. Sendo que 2025 não possui dados reais, apenas previsão.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 4
        learning_rate: 0.0015883477260597609
        encoder_hidden_size: 64
        decoder_layers: 3
        decoder_hidden_size: 192
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 700
        ",2025-09-23T09:52:42
IBGE - Cluster V5 Cluster 3 Teste (2022),Aguanil,2015-12-31T00:00:00,0.9,1.126393437385559,25.15,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Cluster 3 Teste (2022)
        Modelo LSTM treinado com dados de 2012 a 2020, validado com os dados de 2021 e testado com os dados de 2022.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Os dados incluem as safras de 2024 e 2025. Sendo que 2025 não possui dados reais, apenas previsão.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 4
        learning_rate: 0.0015883477260597609
        encoder_hidden_size: 64
        decoder_layers: 3
        decoder_hidden_size: 192
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 700
        ",2025-09-23T09:52:42
IBGE - Cluster V5 Cluster 3 Teste (2022),Aguanil,2016-12-31T00:00:00,1.8,1.8185113668441772,1.03,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Cluster 3 Teste (2022)
        Modelo LSTM treinado com dados de 2012 a 2020, validado com os dados de 2021 e testado com os dados de 2022.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Os dados incluem as safras de 2024 e 2025. Sendo que 2025 não possui dados reais, apenas previsão.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 4
        learning_rate: 0.0015883477260597609
        encoder_hidden_size: 64
        decoder_layers: 3
        decoder_hidden_size: 192
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 700
        ",2025-09-23T09:52:42
IBGE - Cluster V5 Cluster 3 Teste (2022),Aguanil,2017-12-31T00:00:00,1.85,1.5574119091033936,15.82,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Cluster 3 Teste (2022)
        Modelo LSTM treinado com dados de 2012 a 2020, validado com os dados de 2021 e testado com os dados de 2022.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Os dados incluem as safras de 2024 e 2025. Sendo que 2025 não possui dados reais, apenas previsão.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 4
        learning_rate: 0.0015883477260597609
        encoder_hidden_size: 64
        decoder_layers: 3
        decoder_hidden_size: 192
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 700
        ",2025-09-23T09:52:42
IBGE - Cluster V5 Cluster 3 Teste (2022),Aguanil,2018-12-31T00:00:00,2.1,2.0167953968048096,3.96,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Cluster 3 Teste (2022)
        Modelo LSTM treinado com dados de 2012 a 2020, validado com os dados de 2021 e testado com os dados de 2022.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Os dados incluem as safras de 2024 e 2025. Sendo que 2025 não possui dados reais, apenas previsão.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 4
        learning_rate: 0.0015883477260597609
        encoder_hidden_size: 64
        decoder_layers: 3
        decoder_hidden_size: 192
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 700
        ",2025-09-23T09:52:42
IBGE - Cluster V5 Cluster 3 Teste (2022),Aguanil,2019-12-31T00:00:00,1.8,1.7853360176086426,0.81,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Cluster 3 Teste (2022)
        Modelo LSTM treinado com dados de 2012 a 2020, validado com os dados de 2021 e testado com os dados de 2022.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Os dados incluem as safras de 2024 e 2025. Sendo que 2025 não possui dados reais, apenas previsão.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 4
        learning_rate: 0.0015883477260597609
        encoder_hidden_size: 64
        decoder_layers: 3
        decoder_hidden_size: 192
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 700
        ",2025-09-23T09:52:42
IBGE - Cluster V5 Cluster 3 Teste (2022),Aguanil,2020-12-31T00:00:00,2.16,2.178560733795166,0.86,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Cluster 3 Teste (2022)
        Modelo LSTM treinado com dados de 2012 a 2020, validado com os dados de 2021 e testado com os dados de 2022.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Os dados incluem as safras de 2024 e 2025. Sendo que 2025 não possui dados reais, apenas previsão.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 4
        learning_rate: 0.0015883477260597609
        encoder_hidden_size: 64
        decoder_layers: 3
        decoder_hidden_size: 192
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 700
        ",2025-09-23T09:52:42
IBGE - Cluster V5 Cluster 3 Teste (2022),Aiuruoca,2012-12-31T00:00:00,1.0,-,-,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Cluster 3 Teste (2022)
        Modelo LSTM treinado com dados de 2012 a 2020, validado com os dados de 2021 e testado com os dados de 2022.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Os dados incluem as safras de 2024 e 2025. Sendo que 2025 não possui dados reais, apenas previsão.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 4
        learning_rate: 0.0015883477260597609
        encoder_hidden_size: 64
        decoder_layers: 3
        decoder_hidden_size: 192
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 700
        ",2025-09-23T09:52:42
