treino_id,unique_id,ds,y,y_pred,diferença_%,flag,dataset,modelo,comentario,data_treino
IBGE - Cluster V5 Metodo 1 Cluster 0 (2020),Abadia_dos_Dourados,2012-12-31T00:00:00,2.0,-,-,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Metodo 1 Cluster 0 (2020)
        Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Neste teste os cluster foram usados como features do tipo true/false.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 6
        learning_rate: 0.0019397366519644814
        encoder_hidden_size: 192
        decoder_layers: 3
        decoder_hidden_size: 128
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 100
        ",2025-09-17T10:23:08
IBGE - Cluster V5 Metodo 1 Cluster 0 (2020),Abadia_dos_Dourados,2013-12-31T00:00:00,1.97,-,-,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Metodo 1 Cluster 0 (2020)
        Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Neste teste os cluster foram usados como features do tipo true/false.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 6
        learning_rate: 0.0019397366519644814
        encoder_hidden_size: 192
        decoder_layers: 3
        decoder_hidden_size: 128
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 100
        ",2025-09-17T10:23:08
IBGE - Cluster V5 Metodo 1 Cluster 0 (2020),Abadia_dos_Dourados,2014-12-31T00:00:00,2.29,-,-,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Metodo 1 Cluster 0 (2020)
        Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Neste teste os cluster foram usados como features do tipo true/false.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 6
        learning_rate: 0.0019397366519644814
        encoder_hidden_size: 192
        decoder_layers: 3
        decoder_hidden_size: 128
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 100
        ",2025-09-17T10:23:08
IBGE - Cluster V5 Metodo 1 Cluster 0 (2020),Abadia_dos_Dourados,2015-12-31T00:00:00,1.97,2.225214958190918,12.96,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Metodo 1 Cluster 0 (2020)
        Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Neste teste os cluster foram usados como features do tipo true/false.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 6
        learning_rate: 0.0019397366519644814
        encoder_hidden_size: 192
        decoder_layers: 3
        decoder_hidden_size: 128
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 100
        ",2025-09-17T10:23:08
IBGE - Cluster V5 Metodo 1 Cluster 0 (2020),Abadia_dos_Dourados,2016-12-31T00:00:00,2.19,2.165462017059326,1.12,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Metodo 1 Cluster 0 (2020)
        Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Neste teste os cluster foram usados como features do tipo true/false.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 6
        learning_rate: 0.0019397366519644814
        encoder_hidden_size: 192
        decoder_layers: 3
        decoder_hidden_size: 128
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 100
        ",2025-09-17T10:23:08
IBGE - Cluster V5 Metodo 1 Cluster 0 (2020),Abadia_dos_Dourados,2017-12-31T00:00:00,0.83,2.0500855445861816,147.0,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Metodo 1 Cluster 0 (2020)
        Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Neste teste os cluster foram usados como features do tipo true/false.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 6
        learning_rate: 0.0019397366519644814
        encoder_hidden_size: 192
        decoder_layers: 3
        decoder_hidden_size: 128
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 100
        ",2025-09-17T10:23:08
IBGE - Cluster V5 Metodo 1 Cluster 0 (2020),Abadia_dos_Dourados,2018-12-31T00:00:00,1.2,1.7568615674972534,46.41,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Metodo 1 Cluster 0 (2020)
        Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Neste teste os cluster foram usados como features do tipo true/false.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 6
        learning_rate: 0.0019397366519644814
        encoder_hidden_size: 192
        decoder_layers: 3
        decoder_hidden_size: 128
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 100
        ",2025-09-17T10:23:08
IBGE - Cluster V5 Metodo 1 Cluster 0 (2020),Agua_Boa,2012-12-31T00:00:00,1.12,-,-,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Metodo 1 Cluster 0 (2020)
        Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Neste teste os cluster foram usados como features do tipo true/false.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 6
        learning_rate: 0.0019397366519644814
        encoder_hidden_size: 192
        decoder_layers: 3
        decoder_hidden_size: 128
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 100
        ",2025-09-17T10:23:08
IBGE - Cluster V5 Metodo 1 Cluster 0 (2020),Agua_Boa,2013-12-31T00:00:00,1.2,-,-,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Metodo 1 Cluster 0 (2020)
        Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Neste teste os cluster foram usados como features do tipo true/false.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 6
        learning_rate: 0.0019397366519644814
        encoder_hidden_size: 192
        decoder_layers: 3
        decoder_hidden_size: 128
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 100
        ",2025-09-17T10:23:08
IBGE - Cluster V5 Metodo 1 Cluster 0 (2020),Agua_Boa,2014-12-31T00:00:00,0.9,-,-,treino,V29 - Cluster V5,LSTM,"IBGE - Cluster V5 Metodo 1 Cluster 0 (2020)
        Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
        Para esse treinamento foi utilizado o dataset V29 - Cluster V5, dividido em 5 Clusters.
        Neste teste os cluster foram usados como features do tipo true/false.
        O modelo foi treinado com as seguintes configurações:
        input_size: 3

        encoder_n_layers = 6
        learning_rate: 0.0019397366519644814
        encoder_hidden_size: 192
        decoder_layers: 3
        decoder_hidden_size: 128
        batch_size: 32
        dropout: 0.3
        weight_decay: 0.0001
        steps: 100
        ",2025-09-17T10:23:08
