treino_id,unique_id,ds,y,y_pred,diferença_%,flag,dataset,modelo,comentario,data_treino
cluster 0 (2020-225),Agua_Boa,2012-12-31T00:00:00,1.12,-,-,treino,V29,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V28 V2, onde os cluster entraram como features.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.0019397366519644814
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 128
batch_size: 32
dropout: 0.3
weight_decay: 0.0001
steps: 100
",2025-09-23T22:55:31
cluster 0 (2020-225),Agua_Boa,2013-12-31T00:00:00,1.2,-,-,treino,V29,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V28 V2, onde os cluster entraram como features.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.0019397366519644814
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 128
batch_size: 32
dropout: 0.3
weight_decay: 0.0001
steps: 100
",2025-09-23T22:55:31
cluster 0 (2020-225),Agua_Boa,2014-12-31T00:00:00,0.9,-,-,treino,V29,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V28 V2, onde os cluster entraram como features.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.0019397366519644814
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 128
batch_size: 32
dropout: 0.3
weight_decay: 0.0001
steps: 100
",2025-09-23T22:55:31
cluster 0 (2020-225),Agua_Boa,2015-12-31T00:00:00,1.08,1.1613385677337646,7.53,treino,V29,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V28 V2, onde os cluster entraram como features.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.0019397366519644814
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 128
batch_size: 32
dropout: 0.3
weight_decay: 0.0001
steps: 100
",2025-09-23T22:55:31
cluster 0 (2020-225),Agua_Boa,2016-12-31T00:00:00,1.08,1.0853763818740845,0.5,treino,V29,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V28 V2, onde os cluster entraram como features.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.0019397366519644814
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 128
batch_size: 32
dropout: 0.3
weight_decay: 0.0001
steps: 100
",2025-09-23T22:55:31
cluster 0 (2020-225),Agua_Boa,2017-12-31T00:00:00,1.11,1.0237057209014893,7.77,treino,V29,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V28 V2, onde os cluster entraram como features.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.0019397366519644814
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 128
batch_size: 32
dropout: 0.3
weight_decay: 0.0001
steps: 100
",2025-09-23T22:55:31
cluster 0 (2020-225),Agua_Boa,2018-12-31T00:00:00,1.2,1.1119346618652344,7.34,treino,V29,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V28 V2, onde os cluster entraram como features.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.0019397366519644814
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 128
batch_size: 32
dropout: 0.3
weight_decay: 0.0001
steps: 100
",2025-09-23T22:55:31
cluster 0 (2020-225),Aguas_Vermelhas,2012-12-31T00:00:00,1.8,-,-,treino,V29,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V28 V2, onde os cluster entraram como features.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.0019397366519644814
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 128
batch_size: 32
dropout: 0.3
weight_decay: 0.0001
steps: 100
",2025-09-23T22:55:31
cluster 0 (2020-225),Aguas_Vermelhas,2013-12-31T00:00:00,1.5,-,-,treino,V29,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V28 V2, onde os cluster entraram como features.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.0019397366519644814
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 128
batch_size: 32
dropout: 0.3
weight_decay: 0.0001
steps: 100
",2025-09-23T22:55:31
cluster 0 (2020-225),Aguas_Vermelhas,2014-12-31T00:00:00,1.5,-,-,treino,V29,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V28 V2, onde os cluster entraram como features.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.0019397366519644814
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 128
batch_size: 32
dropout: 0.3
weight_decay: 0.0001
steps: 100
",2025-09-23T22:55:31
