treino_id,unique_id,ds,y,y_pred,diferença_%,flag,dataset,modelo,comentario,data_treino
IBGE Cluster 0 - Metodo 1 (2023),Alpinopolis,2012-12-31T00:00:00,2.7,-,-,treino,V22 - metodo 1,LSTM,"Modelo LSTM treinado com dados de 2012 a 2023, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V22, que possui duas versões, uma com o metodo 1 e outra com o metodo 2.
O metodo usado para esse modelo foi o metodo 1.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00023188514960436685
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 64
batch_size: 32
dropout: 0.5
weight_decay: 1e-05
steps: 100
",2025-08-25T15:22:16
IBGE Cluster 0 - Metodo 1 (2023),Alpinopolis,2013-12-31T00:00:00,2.71,-,-,treino,V22 - metodo 1,LSTM,"Modelo LSTM treinado com dados de 2012 a 2023, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V22, que possui duas versões, uma com o metodo 1 e outra com o metodo 2.
O metodo usado para esse modelo foi o metodo 1.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00023188514960436685
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 64
batch_size: 32
dropout: 0.5
weight_decay: 1e-05
steps: 100
",2025-08-25T15:22:16
IBGE Cluster 0 - Metodo 1 (2023),Alpinopolis,2014-12-31T00:00:00,1.68,-,-,treino,V22 - metodo 1,LSTM,"Modelo LSTM treinado com dados de 2012 a 2023, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V22, que possui duas versões, uma com o metodo 1 e outra com o metodo 2.
O metodo usado para esse modelo foi o metodo 1.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00023188514960436685
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 64
batch_size: 32
dropout: 0.5
weight_decay: 1e-05
steps: 100
",2025-08-25T15:22:16
IBGE Cluster 0 - Metodo 1 (2023),Alpinopolis,2015-12-31T00:00:00,1.82,3.0,64.84,treino,V22 - metodo 1,LSTM,"Modelo LSTM treinado com dados de 2012 a 2023, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V22, que possui duas versões, uma com o metodo 1 e outra com o metodo 2.
O metodo usado para esse modelo foi o metodo 1.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00023188514960436685
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 64
batch_size: 32
dropout: 0.5
weight_decay: 1e-05
steps: 100
",2025-08-25T15:22:16
IBGE Cluster 0 - Metodo 1 (2023),Alpinopolis,2016-12-31T00:00:00,2.4,2.0,16.67,treino,V22 - metodo 1,LSTM,"Modelo LSTM treinado com dados de 2012 a 2023, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V22, que possui duas versões, uma com o metodo 1 e outra com o metodo 2.
O metodo usado para esse modelo foi o metodo 1.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00023188514960436685
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 64
batch_size: 32
dropout: 0.5
weight_decay: 1e-05
steps: 100
",2025-08-25T15:22:16
IBGE Cluster 0 - Metodo 1 (2023),Alpinopolis,2017-12-31T00:00:00,2.06,2.0,2.91,treino,V22 - metodo 1,LSTM,"Modelo LSTM treinado com dados de 2012 a 2023, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V22, que possui duas versões, uma com o metodo 1 e outra com o metodo 2.
O metodo usado para esse modelo foi o metodo 1.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00023188514960436685
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 64
batch_size: 32
dropout: 0.5
weight_decay: 1e-05
steps: 100
",2025-08-25T15:22:16
IBGE Cluster 0 - Metodo 1 (2023),Alpinopolis,2018-12-31T00:00:00,2.23,2.0,10.31,treino,V22 - metodo 1,LSTM,"Modelo LSTM treinado com dados de 2012 a 2023, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V22, que possui duas versões, uma com o metodo 1 e outra com o metodo 2.
O metodo usado para esse modelo foi o metodo 1.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00023188514960436685
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 64
batch_size: 32
dropout: 0.5
weight_decay: 1e-05
steps: 100
",2025-08-25T15:22:16
IBGE Cluster 0 - Metodo 1 (2023),Alpinopolis,2019-12-31T00:00:00,2.1,2.0,4.76,treino,V22 - metodo 1,LSTM,"Modelo LSTM treinado com dados de 2012 a 2023, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V22, que possui duas versões, uma com o metodo 1 e outra com o metodo 2.
O metodo usado para esse modelo foi o metodo 1.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00023188514960436685
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 64
batch_size: 32
dropout: 0.5
weight_decay: 1e-05
steps: 100
",2025-08-25T15:22:16
IBGE Cluster 0 - Metodo 1 (2023),Alpinopolis,2020-12-31T00:00:00,2.77,2.0,27.8,treino,V22 - metodo 1,LSTM,"Modelo LSTM treinado com dados de 2012 a 2023, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V22, que possui duas versões, uma com o metodo 1 e outra com o metodo 2.
O metodo usado para esse modelo foi o metodo 1.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00023188514960436685
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 64
batch_size: 32
dropout: 0.5
weight_decay: 1e-05
steps: 100
",2025-08-25T15:22:16
IBGE Cluster 0 - Metodo 1 (2023),Alpinopolis,2021-12-31T00:00:00,1.68,2.0,19.05,treino,V22 - metodo 1,LSTM,"Modelo LSTM treinado com dados de 2012 a 2023, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V22, que possui duas versões, uma com o metodo 1 e outra com o metodo 2.
O metodo usado para esse modelo foi o metodo 1.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00023188514960436685
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 64
batch_size: 32
dropout: 0.5
weight_decay: 1e-05
steps: 100
",2025-08-25T15:22:16
