treino_id,unique_id,ds,y,y_pred,diferença_%,flag,dataset,modelo,comentario,data_treino
IBGE V5 Cluster 0 - Metodo 1 (2023),Abre_Campo,2012-12-31T00:00:00,1.08,-,-,treino,V25 - Cluster V5,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V25, que possui 7 clusters, sendo esse modelo referente ao Cluster 0.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00011328430808051102
encoder_hidden_size: 64
decoder_layers: 2
decoder_hidden_size: 192
batch_size: 32
dropout: 0.4
weight_decay: 0.0001
steps: 100
",2025-09-04T09:49:51
IBGE V5 Cluster 0 - Metodo 1 (2023),Abre_Campo,2013-12-31T00:00:00,1.08,-,-,treino,V25 - Cluster V5,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V25, que possui 7 clusters, sendo esse modelo referente ao Cluster 0.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00011328430808051102
encoder_hidden_size: 64
decoder_layers: 2
decoder_hidden_size: 192
batch_size: 32
dropout: 0.4
weight_decay: 0.0001
steps: 100
",2025-09-04T09:49:51
IBGE V5 Cluster 0 - Metodo 1 (2023),Abre_Campo,2014-12-31T00:00:00,0.8,-,-,treino,V25 - Cluster V5,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V25, que possui 7 clusters, sendo esse modelo referente ao Cluster 0.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00011328430808051102
encoder_hidden_size: 64
decoder_layers: 2
decoder_hidden_size: 192
batch_size: 32
dropout: 0.4
weight_decay: 0.0001
steps: 100
",2025-09-04T09:49:51
IBGE V5 Cluster 0 - Metodo 1 (2023),Abre_Campo,2015-12-31T00:00:00,1.2,1.0,16.67,treino,V25 - Cluster V5,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V25, que possui 7 clusters, sendo esse modelo referente ao Cluster 0.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00011328430808051102
encoder_hidden_size: 64
decoder_layers: 2
decoder_hidden_size: 192
batch_size: 32
dropout: 0.4
weight_decay: 0.0001
steps: 100
",2025-09-04T09:49:51
IBGE V5 Cluster 0 - Metodo 1 (2023),Abre_Campo,2016-12-31T00:00:00,1.2,1.0,16.67,treino,V25 - Cluster V5,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V25, que possui 7 clusters, sendo esse modelo referente ao Cluster 0.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00011328430808051102
encoder_hidden_size: 64
decoder_layers: 2
decoder_hidden_size: 192
batch_size: 32
dropout: 0.4
weight_decay: 0.0001
steps: 100
",2025-09-04T09:49:51
IBGE V5 Cluster 0 - Metodo 1 (2023),Abre_Campo,2017-12-31T00:00:00,0.96,1.0,4.17,treino,V25 - Cluster V5,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V25, que possui 7 clusters, sendo esse modelo referente ao Cluster 0.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00011328430808051102
encoder_hidden_size: 64
decoder_layers: 2
decoder_hidden_size: 192
batch_size: 32
dropout: 0.4
weight_decay: 0.0001
steps: 100
",2025-09-04T09:49:51
IBGE V5 Cluster 0 - Metodo 1 (2023),Abre_Campo,2018-12-31T00:00:00,1.2,1.0,16.67,treino,V25 - Cluster V5,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V25, que possui 7 clusters, sendo esse modelo referente ao Cluster 0.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00011328430808051102
encoder_hidden_size: 64
decoder_layers: 2
decoder_hidden_size: 192
batch_size: 32
dropout: 0.4
weight_decay: 0.0001
steps: 100
",2025-09-04T09:49:51
IBGE V5 Cluster 0 - Metodo 1 (2023),Abre_Campo,2019-12-31T00:00:00,1.5,1.0,33.33,treino,V25 - Cluster V5,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V25, que possui 7 clusters, sendo esse modelo referente ao Cluster 0.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00011328430808051102
encoder_hidden_size: 64
decoder_layers: 2
decoder_hidden_size: 192
batch_size: 32
dropout: 0.4
weight_decay: 0.0001
steps: 100
",2025-09-04T09:49:51
IBGE V5 Cluster 0 - Metodo 1 (2023),Abre_Campo,2020-12-31T00:00:00,1.5,2.0,33.33,treino,V25 - Cluster V5,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V25, que possui 7 clusters, sendo esse modelo referente ao Cluster 0.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00011328430808051102
encoder_hidden_size: 64
decoder_layers: 2
decoder_hidden_size: 192
batch_size: 32
dropout: 0.4
weight_decay: 0.0001
steps: 100
",2025-09-04T09:49:51
IBGE V5 Cluster 0 - Metodo 1 (2023),Abre_Campo,2021-12-31T00:00:00,1.2,1.0,16.67,treino,V25 - Cluster V5,LSTM,"Modelo LSTM treinado com dados de 2012 a 2021, validado com os dados de 2022 e testado com os dados de 2023.
Para esse treinamento foi utilizado o dataset V25, que possui 7 clusters, sendo esse modelo referente ao Cluster 0.
O modelo foi treinado com as seguintes configurações:
input_size: 3

encoder_n_layers = 3
learning_rate: 0.00011328430808051102
encoder_hidden_size: 64
decoder_layers: 2
decoder_hidden_size: 192
batch_size: 32
dropout: 0.4
weight_decay: 0.0001
steps: 100
",2025-09-04T09:49:51
