treino_id,unique_id,ds,y,y_pred,diferença_%,flag,dataset,modelo,comentario,data_treino
Predicao_2021-2024 V1,3100302,2012-12-31T00:00:00,5702.0,-,-,treino,V17,LSTM,"Modelo LSTM treinado com dados de 2012 a 2019, validado com os dados de 2020 e testado com os dados de 2021-2024.
Para este teste apenas a taxa de aprendizado foi ajustada.
Hiperparametros usados:
encoder_n_layers = 3
learning_rate: 0.0001000756431037174
input_size: 3
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 192
batch_size: 32
dropout: 0.2
weight_decay: 0.0001
steps: 1000
",2025-07-01T16:58:31
Predicao_2021-2024 V1,3100302,2013-12-31T00:00:00,5702.0,-,-,treino,V17,LSTM,"Modelo LSTM treinado com dados de 2012 a 2019, validado com os dados de 2020 e testado com os dados de 2021-2024.
Para este teste apenas a taxa de aprendizado foi ajustada.
Hiperparametros usados:
encoder_n_layers = 3
learning_rate: 0.0001000756431037174
input_size: 3
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 192
batch_size: 32
dropout: 0.2
weight_decay: 0.0001
steps: 1000
",2025-07-01T16:58:31
Predicao_2021-2024 V1,3100302,2014-12-31T00:00:00,4320.0,-,-,treino,V17,LSTM,"Modelo LSTM treinado com dados de 2012 a 2019, validado com os dados de 2020 e testado com os dados de 2021-2024.
Para este teste apenas a taxa de aprendizado foi ajustada.
Hiperparametros usados:
encoder_n_layers = 3
learning_rate: 0.0001000756431037174
input_size: 3
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 192
batch_size: 32
dropout: 0.2
weight_decay: 0.0001
steps: 1000
",2025-07-01T16:58:31
Predicao_2021-2024 V1,3100302,2015-12-31T00:00:00,6300.0,5307.0,15.76,treino,V17,LSTM,"Modelo LSTM treinado com dados de 2012 a 2019, validado com os dados de 2020 e testado com os dados de 2021-2024.
Para este teste apenas a taxa de aprendizado foi ajustada.
Hiperparametros usados:
encoder_n_layers = 3
learning_rate: 0.0001000756431037174
input_size: 3
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 192
batch_size: 32
dropout: 0.2
weight_decay: 0.0001
steps: 1000
",2025-07-01T16:58:31
Predicao_2021-2024 V1,3100302,2016-12-31T00:00:00,6300.0,6350.0,0.79,treino,V17,LSTM,"Modelo LSTM treinado com dados de 2012 a 2019, validado com os dados de 2020 e testado com os dados de 2021-2024.
Para este teste apenas a taxa de aprendizado foi ajustada.
Hiperparametros usados:
encoder_n_layers = 3
learning_rate: 0.0001000756431037174
input_size: 3
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 192
batch_size: 32
dropout: 0.2
weight_decay: 0.0001
steps: 1000
",2025-07-01T16:58:31
Predicao_2021-2024 V1,3100302,2017-12-31T00:00:00,3140.0,4799.0,52.83,treino,V17,LSTM,"Modelo LSTM treinado com dados de 2012 a 2019, validado com os dados de 2020 e testado com os dados de 2021-2024.
Para este teste apenas a taxa de aprendizado foi ajustada.
Hiperparametros usados:
encoder_n_layers = 3
learning_rate: 0.0001000756431037174
input_size: 3
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 192
batch_size: 32
dropout: 0.2
weight_decay: 0.0001
steps: 1000
",2025-07-01T16:58:31
Predicao_2021-2024 V1,3100302,2018-12-31T00:00:00,4200.0,5247.0,24.93,treino,V17,LSTM,"Modelo LSTM treinado com dados de 2012 a 2019, validado com os dados de 2020 e testado com os dados de 2021-2024.
Para este teste apenas a taxa de aprendizado foi ajustada.
Hiperparametros usados:
encoder_n_layers = 3
learning_rate: 0.0001000756431037174
input_size: 3
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 192
batch_size: 32
dropout: 0.2
weight_decay: 0.0001
steps: 1000
",2025-07-01T16:58:31
Predicao_2021-2024 V1,3100302,2019-12-31T00:00:00,5250.0,3800.0,27.62,treino,V17,LSTM,"Modelo LSTM treinado com dados de 2012 a 2019, validado com os dados de 2020 e testado com os dados de 2021-2024.
Para este teste apenas a taxa de aprendizado foi ajustada.
Hiperparametros usados:
encoder_n_layers = 3
learning_rate: 0.0001000756431037174
input_size: 3
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 192
batch_size: 32
dropout: 0.2
weight_decay: 0.0001
steps: 1000
",2025-07-01T16:58:31
Predicao_2021-2024 V1,3101607,2012-12-31T00:00:00,16350.0,-,-,treino,V17,LSTM,"Modelo LSTM treinado com dados de 2012 a 2019, validado com os dados de 2020 e testado com os dados de 2021-2024.
Para este teste apenas a taxa de aprendizado foi ajustada.
Hiperparametros usados:
encoder_n_layers = 3
learning_rate: 0.0001000756431037174
input_size: 3
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 192
batch_size: 32
dropout: 0.2
weight_decay: 0.0001
steps: 1000
",2025-07-01T16:58:31
Predicao_2021-2024 V1,3101607,2013-12-31T00:00:00,20206.0,-,-,treino,V17,LSTM,"Modelo LSTM treinado com dados de 2012 a 2019, validado com os dados de 2020 e testado com os dados de 2021-2024.
Para este teste apenas a taxa de aprendizado foi ajustada.
Hiperparametros usados:
encoder_n_layers = 3
learning_rate: 0.0001000756431037174
input_size: 3
encoder_hidden_size: 128
decoder_layers: 4
decoder_hidden_size: 192
batch_size: 32
dropout: 0.2
weight_decay: 0.0001
steps: 1000
",2025-07-01T16:58:31
