epoch,step,train_loss_epoch,train_loss_step
0,0,0.021401340141892433,
1,1,0.010546908713877201,
2,2,0.003628957085311413,
3,3,0.0003987463715020567,
4,4,0.00024824426509439945,
5,5,0.0019154699984937906,
6,6,0.0037968698889017105,
7,7,0.004794478416442871,
8,8,0.004675612784922123,
9,9,0.0037471605464816093,
10,10,0.002476605586707592,
11,11,0.0012617831816896796,
12,12,0.00040750292828306556,
13,13,2.2352311134454794e-05,
14,14,8.928513852879405e-05,
15,15,0.00046313388156704605,
16,16,0.0009379624971188605,
17,17,0.0013063522055745125,
18,18,0.0014626095071434975,
19,19,0.0013712667860090733,
20,20,0.001090476755052805,
21,21,0.0007145545678213239,
22,22,0.0003529441310092807,
23,23,9.955998393706977e-05,
24,24,2.259855364172836e-06,
25,25,4.544424155028537e-05,
26,26,0.00018275949696544558,
27,27,0.0003451111842878163,
28,28,0.0004657292156480253,
29,29,0.0004959339275956154,
30,30,0.0004429907421581447,
31,31,0.00032541214022785425,
32,32,0.00018640834605321288,
33,33,7.136645581340417e-05,
34,34,9.13970416149823e-06,
35,35,5.634867648041109e-06,
36,36,4.758969953400083e-05,
37,37,0.00010794500121846795,
38,38,0.00015991588588804007,
39,39,0.00018031272338703275,
40,40,0.00016464658256154507,
41,41,0.000122576835565269,
42,42,7.133486360544339e-05,
43,43,2.6390876882942393e-05,
44,44,2.54961742029991e-06,
45,45,3.39469420396199e-06,
46,46,2.248310556751676e-05,
47,47,4.5915010559838265e-05,
48,48,6.345435394905508e-05,
49,49,,6.800431583542377e-05
49,49,6.800431583542377e-05,
50,50,5.7559496781323105e-05,
51,51,3.860001015709713e-05,
52,52,1.8143187844543718e-05,
53,53,4.2986898733943235e-06,
54,54,2.6436947564434377e-07,
55,55,5.387592864281032e-06,
56,56,1.5129626262933016e-05,
57,57,2.3658534701098688e-05,
58,58,2.7100770239485428e-05,
59,59,2.3862055968493223e-05,
60,60,1.6938553017098457e-05,
61,61,8.416325727012008e-06,
62,62,2.1148230189282913e-06,
63,63,2.1474694733569777e-07,
64,64,2.296660341016832e-06,
65,65,6.220254363142885e-06,
66,66,1.0019650289905258e-05,
67,67,1.0814566849148832e-05,
68,68,9.112245606957003e-06,
69,69,6.083347216190305e-06,
70,70,2.6449445158505114e-06,
71,71,6.90256456437055e-07,
72,72,3.329687956465932e-07,
73,73,1.4058116448723013e-06,
74,74,3.3435826480854303e-06,
75,75,4.485100816964405e-06,
76,76,4.5474721446225885e-06,
77,77,3.6402525438461453e-06,
78,78,1.891513193186256e-06,
79,79,7.786746891724761e-07,
80,80,2.223314936600218e-07,
81,81,5.869936785529717e-07,
82,82,1.3572224588642712e-06,
83,83,1.8812108919519233e-06,
84,84,2.0173160919512156e-06,
85,85,1.561576596031955e-06,
86,86,1.1071308563259663e-06,
87,87,4.5625148459293996e-07,
88,88,2.3641005952868e-07,
89,89,2.378705943328896e-07,
90,90,5.120651280776656e-07,
91,91,7.944761364342412e-07,
92,92,9.703186378828832e-07,
93,93,7.722928216935543e-07,
94,94,5.326746759237722e-07,
95,95,3.169700448779622e-07,
96,96,2.6074616243931814e-07,
97,97,1.9395392314436322e-07,
98,98,3.0149274721225083e-07,
99,99,,3.3381857633685286e-07
99,99,3.3381857633685286e-07,
100,100,6.058126587049628e-07,
101,101,4.394081543068751e-07,
102,102,3.41072791343322e-07,
103,103,2.511634704660537e-07,
104,104,2.1362743041208887e-07,
105,105,1.7015803166486876e-07,
106,106,3.4512163438193966e-07,
107,107,3.2505545277672354e-07,
108,108,3.1326385396823753e-07,
109,109,2.3356699330179254e-07,
110,110,2.55039083185693e-07,
111,111,2.47446052981104e-07,
112,112,1.6996361296151008e-07,
113,113,1.842167307586351e-07,
114,114,2.590319923001516e-07,
115,115,3.1597377869729826e-07,
116,116,2.9577120130852563e-07,
117,117,2.3782200742061832e-07,
118,118,2.651468946623936e-07,
119,119,1.752252671849419e-07,
120,120,2.2694845824844379e-07,
121,121,1.436525138842626e-07,
122,122,2.6661868446353765e-07,
123,123,2.4628545247651346e-07,
124,124,1.944989946878195e-07,
125,125,2.0317673943281989e-07,
126,126,2.0586475102390978e-07,
127,127,1.6613017805866548e-07,
128,128,2.4816375798764057e-07,
129,129,1.8370694476743665e-07,
130,130,2.598431194655859e-07,
131,131,2.3062378318172705e-07,
132,132,2.1251530313293188e-07,
133,133,1.9277781859727838e-07,
134,134,2.1758221180334658e-07,
135,135,2.0931165067850088e-07,
136,136,2.0948792212038825e-07,
137,137,1.7504797256151505e-07,
138,138,1.9233172565691348e-07,
139,139,2.146441602235427e-07,
140,140,1.8994327888322005e-07,
141,141,2.0911203080231644e-07,
142,142,2.0949826762262092e-07,
143,143,2.080016372474347e-07,
144,144,2.0777846998498717e-07,
145,145,2.2158904755542608e-07,
146,146,1.9433508668953436e-07,
147,147,1.926973425270262e-07,
148,148,1.7922113215718127e-07,
149,149,,1.967630822719002e-07
149,149,1.967630822719002e-07,
150,150,1.6719656059649424e-07,
151,151,2.057756773865549e-07,
152,152,1.9655547589536582e-07,
153,153,1.650046073109479e-07,
154,154,1.921623606904177e-07,
155,155,2.0845055814788793e-07,
156,156,1.679346439686924e-07,
157,157,2.272160202210216e-07,
158,158,1.6685160630913742e-07,
159,159,1.982286619295337e-07,
160,160,1.6415788195445202e-07,
161,161,1.6663304336361762e-07,
162,162,2.2731134663445118e-07,
163,163,1.873405608421308e-07,
164,164,2.1147113216102298e-07,
165,165,2.104377330169882e-07,
166,166,2.4184618041545036e-07,
167,167,1.6985326567464654e-07,
168,168,1.546079175795967e-07,
169,169,1.8071078500270232e-07,
170,170,1.7047267419911805e-07,
171,171,2.2292809376267542e-07,
172,172,1.563209650612407e-07,
173,173,2.0697187608220702e-07,
174,174,2.140166230901741e-07,
175,175,2.0516174004114873e-07,
176,176,2.427920264835848e-07,
177,177,1.715419557513087e-07,
178,178,1.8765206277748803e-07,
179,179,1.9637209902612085e-07,
180,180,1.736627268655866e-07,
181,181,1.5385919027721684e-07,
182,182,1.9009331708730315e-07,
183,183,1.7740200064508826e-07,
184,184,1.347164868548134e-07,
185,185,2.2987292425113992e-07,
186,186,1.9483837832012796e-07,
187,187,2.1324649424059317e-07,
188,188,1.538632545816654e-07,
189,189,1.6831712912335206e-07,
190,190,2.3050419883929862e-07,
191,191,1.980665729206521e-07,
192,192,1.831633085203066e-07,
193,193,1.4578805007658957e-07,
194,194,1.4455821428782656e-07,
195,195,2.2222897655410634e-07,
196,196,1.7913707495154085e-07,
197,197,1.8688277236833528e-07,
198,198,2.0430584868336155e-07,
199,199,,1.8497033238418226e-07
199,199,1.8497033238418226e-07,
200,200,2.2325485815599677e-07,
201,201,2.037325828041503e-07,
