treino_id,unique_id,ds,y,y_pred,diferença_%,flag,dataset,modelo,comentario,data_treino
Ano Safra 2024 Educampo,Alfenas,2019-12-31T00:00:00,12.53,-,-,treino,V21,LSTM,"Modelo LSTM treinado com dados de 2019 a 2022, validado com os dados de 2023 e testado com os dados de 2024.
Para esse treinamento foi utilizado o dataset V21, que utiliza os dados do Educampo para 47 municipios o ano safra (Jun-Maio) aon inves do ano normal (jan-dez). 
Para este teste todos os parametros foram otimizados com o Optuna.
Hiperparametros usados:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.00015724195792242237
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 64
batch_size: 32
dropout: 0.2
weight_decay: 0.01
steps: 1000
",2025-08-07T10:17:08
Ano Safra 2024 Educampo,Alfenas,2020-12-31T00:00:00,16.98,-,-,treino,V21,LSTM,"Modelo LSTM treinado com dados de 2019 a 2022, validado com os dados de 2023 e testado com os dados de 2024.
Para esse treinamento foi utilizado o dataset V21, que utiliza os dados do Educampo para 47 municipios o ano safra (Jun-Maio) aon inves do ano normal (jan-dez). 
Para este teste todos os parametros foram otimizados com o Optuna.
Hiperparametros usados:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.00015724195792242237
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 64
batch_size: 32
dropout: 0.2
weight_decay: 0.01
steps: 1000
",2025-08-07T10:17:08
Ano Safra 2024 Educampo,Alfenas,2021-12-31T00:00:00,12.76,-,-,treino,V21,LSTM,"Modelo LSTM treinado com dados de 2019 a 2022, validado com os dados de 2023 e testado com os dados de 2024.
Para esse treinamento foi utilizado o dataset V21, que utiliza os dados do Educampo para 47 municipios o ano safra (Jun-Maio) aon inves do ano normal (jan-dez). 
Para este teste todos os parametros foram otimizados com o Optuna.
Hiperparametros usados:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.00015724195792242237
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 64
batch_size: 32
dropout: 0.2
weight_decay: 0.01
steps: 1000
",2025-08-07T10:17:08
Ano Safra 2024 Educampo,Alfenas,2022-12-31T00:00:00,3.84,5.0,30.21,treino,V21,LSTM,"Modelo LSTM treinado com dados de 2019 a 2022, validado com os dados de 2023 e testado com os dados de 2024.
Para esse treinamento foi utilizado o dataset V21, que utiliza os dados do Educampo para 47 municipios o ano safra (Jun-Maio) aon inves do ano normal (jan-dez). 
Para este teste todos os parametros foram otimizados com o Optuna.
Hiperparametros usados:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.00015724195792242237
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 64
batch_size: 32
dropout: 0.2
weight_decay: 0.01
steps: 1000
",2025-08-07T10:17:08
Ano Safra 2024 Educampo,Andradas,2019-12-31T00:00:00,2.19,-,-,treino,V21,LSTM,"Modelo LSTM treinado com dados de 2019 a 2022, validado com os dados de 2023 e testado com os dados de 2024.
Para esse treinamento foi utilizado o dataset V21, que utiliza os dados do Educampo para 47 municipios o ano safra (Jun-Maio) aon inves do ano normal (jan-dez). 
Para este teste todos os parametros foram otimizados com o Optuna.
Hiperparametros usados:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.00015724195792242237
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 64
batch_size: 32
dropout: 0.2
weight_decay: 0.01
steps: 1000
",2025-08-07T10:17:08
Ano Safra 2024 Educampo,Andradas,2020-12-31T00:00:00,1.58,-,-,treino,V21,LSTM,"Modelo LSTM treinado com dados de 2019 a 2022, validado com os dados de 2023 e testado com os dados de 2024.
Para esse treinamento foi utilizado o dataset V21, que utiliza os dados do Educampo para 47 municipios o ano safra (Jun-Maio) aon inves do ano normal (jan-dez). 
Para este teste todos os parametros foram otimizados com o Optuna.
Hiperparametros usados:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.00015724195792242237
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 64
batch_size: 32
dropout: 0.2
weight_decay: 0.01
steps: 1000
",2025-08-07T10:17:08
Ano Safra 2024 Educampo,Andradas,2021-12-31T00:00:00,1.77,-,-,treino,V21,LSTM,"Modelo LSTM treinado com dados de 2019 a 2022, validado com os dados de 2023 e testado com os dados de 2024.
Para esse treinamento foi utilizado o dataset V21, que utiliza os dados do Educampo para 47 municipios o ano safra (Jun-Maio) aon inves do ano normal (jan-dez). 
Para este teste todos os parametros foram otimizados com o Optuna.
Hiperparametros usados:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.00015724195792242237
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 64
batch_size: 32
dropout: 0.2
weight_decay: 0.01
steps: 1000
",2025-08-07T10:17:08
Ano Safra 2024 Educampo,Andradas,2022-12-31T00:00:00,1.08,1.0,7.41,treino,V21,LSTM,"Modelo LSTM treinado com dados de 2019 a 2022, validado com os dados de 2023 e testado com os dados de 2024.
Para esse treinamento foi utilizado o dataset V21, que utiliza os dados do Educampo para 47 municipios o ano safra (Jun-Maio) aon inves do ano normal (jan-dez). 
Para este teste todos os parametros foram otimizados com o Optuna.
Hiperparametros usados:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.00015724195792242237
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 64
batch_size: 32
dropout: 0.2
weight_decay: 0.01
steps: 1000
",2025-08-07T10:17:08
Ano Safra 2024 Educampo,Arapuá,2019-12-31T00:00:00,8.07,-,-,treino,V21,LSTM,"Modelo LSTM treinado com dados de 2019 a 2022, validado com os dados de 2023 e testado com os dados de 2024.
Para esse treinamento foi utilizado o dataset V21, que utiliza os dados do Educampo para 47 municipios o ano safra (Jun-Maio) aon inves do ano normal (jan-dez). 
Para este teste todos os parametros foram otimizados com o Optuna.
Hiperparametros usados:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.00015724195792242237
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 64
batch_size: 32
dropout: 0.2
weight_decay: 0.01
steps: 1000
",2025-08-07T10:17:08
Ano Safra 2024 Educampo,Arapuá,2020-12-31T00:00:00,10.13,-,-,treino,V21,LSTM,"Modelo LSTM treinado com dados de 2019 a 2022, validado com os dados de 2023 e testado com os dados de 2024.
Para esse treinamento foi utilizado o dataset V21, que utiliza os dados do Educampo para 47 municipios o ano safra (Jun-Maio) aon inves do ano normal (jan-dez). 
Para este teste todos os parametros foram otimizados com o Optuna.
Hiperparametros usados:
input_size: 3

encoder_n_layers = 6
learning_rate: 0.00015724195792242237
encoder_hidden_size: 192
decoder_layers: 3
decoder_hidden_size: 64
batch_size: 32
dropout: 0.2
weight_decay: 0.01
steps: 1000
",2025-08-07T10:17:08
