epoch,step,train_loss_epoch,train_loss_step
0,3,336.05731201171875,
1,7,418.7262878417969,
2,11,433.86712646484375,
3,15,115.09396362304688,
4,19,336.27020263671875,
5,23,336.1142578125,
6,27,1707.1287841796875,
7,31,114.85253143310547,
8,35,433.5790710449219,
9,39,531.5457763671875,
10,43,113.53412628173828,
11,47,433.1413879394531,
12,49,,1720.6907958984375
12,51,433.2195129394531,
13,55,433.628662109375,
14,59,461.549560546875,
15,63,433.7160339355469,
16,67,433.0938415527344,
17,71,336.04327392578125,
18,75,335.71295166015625,
19,79,337.71734619140625,
20,83,432.9134521484375,
21,87,530.932861328125,
22,91,322.11785888671875,
23,95,433.94952392578125,
24,99,,2.3468666076660156
24,99,418.32135009765625,
25,103,115.01160430908203,
26,107,115.04114532470703,
27,111,432.8046569824219,
28,115,335.84515380859375,
29,119,418.751220703125,
30,123,113.5018310546875,
31,127,336.0186462402344,
32,131,461.2728271484375,
33,135,434.3860778808594,
34,139,516.3515625,
35,143,336.8476257324219,
36,147,324.8886413574219,
37,149,,58.654571533203125
37,151,436.44757080078125,
38,155,433.5169372558594,
39,159,432.3708801269531,
40,163,434.00714111328125,
41,167,465.16607666015625,
42,171,419.35089111328125,
43,175,433.552978515625,
44,179,337.4808349609375,
45,183,433.4299011230469,
46,187,712.0911865234375,
47,191,433.4058532714844,
48,195,1387.9342041015625,
49,199,,2.2625913619995117
49,199,419.35614013671875,
50,203,630.115234375,
51,207,432.8069763183594,
52,211,419.9082946777344,
53,215,335.71173095703125,
54,219,614.3751220703125,
55,223,433.1610412597656,
56,227,114.80258178710938,
57,231,4.789467811584473,
58,235,1374.0789794921875,
59,239,419.57489013671875,
60,243,421.5413818359375,
61,247,433.3288879394531,
62,249,,60.04127883911133
62,251,336.034912109375,
63,255,447.3377990722656,
64,259,102.17047119140625,
65,263,116.52279663085938,
66,267,17.697011947631836,
67,271,102.13460540771484,
68,275,432.8861999511719,
69,279,462.59661865234375,
70,283,433.2701110839844,
71,287,419.4948425292969,
72,291,447.2865905761719,
73,295,419.7753601074219,
74,299,,1.777742862701416
74,299,334.8857421875,
75,303,114.87347412109375,
76,307,737.9630126953125,
77,311,432.9009704589844,
78,315,335.8733215332031,
79,319,433.2895202636719,
80,323,334.92938232421875,
81,327,432.98004150390625,
82,331,432.8681335449219,
83,335,433.384033203125,
84,339,432.5933837890625,
85,343,3.6806414127349854,
86,347,211.09323120117188,
87,349,,1720.742431640625
87,351,433.2707214355469,
88,355,115.49797821044922,
89,359,751.9514770507812,
90,363,419.4063415527344,
91,367,2025.166259765625,
92,371,114.92679595947266,
93,375,419.0324401855469,
94,379,114.04327392578125,
95,383,475.2287292480469,
96,387,433.8286437988281,
97,391,419.04217529296875,
98,395,322.66546630859375,
99,399,,1.574076533317566
99,399,419.3705749511719,
