epoch,step,train_loss_epoch,train_loss_step
0,2,1.5301141738891602,
1,5,13.506630897521973,
2,8,11.539204597473145,
3,11,3.381805658340454,
4,14,1.5508133172988892,
5,17,11.439566612243652,
6,20,13.237835884094238,
7,23,1.596221923828125,
8,26,2.9310808181762695,
9,29,13.091282844543457,
10,32,3.0252392292022705,
11,35,11.854474067687988,
12,38,13.172377586364746,
13,41,13.120854377746582,
14,44,1.3589292764663696,
15,47,13.659892082214355,
16,49,,31.493350982666016
16,50,11.380269050598145,
17,53,13.303545951843262,
18,56,51.50478744506836,
19,59,1.2506589889526367,
20,62,91.83309173583984,
21,65,13.035393714904785,
22,68,1.3098626136779785,
23,71,3.0840914249420166,
24,74,1.3774548768997192,
25,77,3.117753744125366,
26,80,1.2765055894851685,
27,83,3.0668694972991943,
28,86,3.018354654312134,
29,89,13.00393295288086,
30,92,13.112977027893066,
31,95,11.12584400177002,
32,98,3.0815370082855225,
33,99,,6.437735557556152
33,99,6.437735557556152,
